""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_2483"	7953.03843693147	18797.3269166475	75.5880006856953	8924.92561158409	-7.94226782260107	0.363542433040272	-21.8468797608593	8.3228807333187e-106	3.05616180527463e-102
"Tery_1664"	496.60858829232	1295.99429793607	8.69301554134416	429.096237775036	-7.28616076791636	0.385575223641808	-18.8968593445855	1.210468711066e-79	2.22242055351718e-76
"Tery_1663"	298.03931301358	784.171979369331	6.00398548577139	249.959637949541	-7.00382151712886	0.411714532119041	-17.0113536704209	6.76563162249931e-65	6.30610188390031e-62
"Tery_1687"	20690.3229238234	46492.7543333338	630.629904007498	24977.4310440369	-6.20226609077776	0.364614793322973	-17.0104620118467	6.86939203039249e-65	6.30610188390031e-62
"Tery_4280"	5309.756243623	10775.1724026522	1007.28768897045	6298.04291657264	-3.41918312585729	0.215808692221145	-15.8435839199357	1.55688756925913e-56	1.14337823086391e-53
"Tery_4281"	1173.79781900941	2316.09267603571	151.838872212175	1564.44138217897	-3.92305450236643	0.250940512577053	-15.6334043557906	4.31139876588258e-55	2.63857604472014e-52
"Tery_1665"	3923.41595461409	8976.59902161179	272.100061151249	4347.20672781064	-5.04586587859198	0.326317261837213	-15.463067599253	6.15940417737338e-54	3.23104744847358e-51
"Tery_1885"	2411.21956763276	135.928678727004	5267.50592844498	402.080915320178	5.28034128630804	0.349019675635867	15.1290647918	1.04165179993127e-51	4.78118176168454e-49
"Tery_1686"	200.589761198393	541.102586792164	23.3046073041783	126.004666445945	-4.55469018097681	0.302755847351004	-15.0441030976894	3.77414036917482e-51	1.53984927062333e-48
"Tery_2486"	1129.46801432534	2641.90616644653	95.7046135081507	1167.67496342993	-4.78477043466038	0.364520559992944	-13.1262018108197	2.33055837804665e-39	8.55781036418731e-37
"Tery_3404"	334.557003366783	689.137433078783	91.5662321208854	344.46273052363	-2.91281137281597	0.234244046629141	-12.4349430208896	1.6886116260503e-35	5.63689262805155e-33
"Tery_0847"	1362.78180237484	262.960108764054	2358.81323356683	968.55634919763	3.15777101087428	0.266846810354894	11.8336472025826	2.61526069225542e-32	8.00269771830158e-30
"Tery_1667"	26269.6488510135	58982.837220559	555.933889215782	32127.0329241644	-6.72921441072384	0.598732317084355	-11.2391033834503	2.62030090986711e-29	7.40134226233234e-27
"Tery_2484"	9612.60989929685	20010.9854897685	69.5299677304552	13528.8542061748	-8.16364923549418	0.777135210769298	-10.5047990650338	8.2097446670728e-26	2.15329874410652e-23
"Tery_0831"	436.427149032464	694.569032191622	166.850828242539	582.649747058195	-2.05024254551895	0.211717501428515	-9.68385953775863	3.5312756173422e-22	8.48314234637265e-20
"Tery_1662"	79.0297871094994	198.422202202181	17.6613015991751	51.690100282304	-3.51501843552691	0.363152158197626	-9.67918916680112	3.69635832085954e-22	8.48314234637265e-20
"Tery_2485"	9262.07698630275	21453.2766984411	67.0134584341262	10863.4725659673	-8.31726867331492	0.862887188518938	-9.63888302431597	5.47807891869659e-22	1.18326504643846e-19
"Tery_3032"	1954.03455017039	3108.90218151714	886.26373025769	2400.82314869269	-1.80990009041	0.190224995542668	-9.51452297447439	1.82548484631086e-21	3.72398908647416e-19
"Tery_4138"	23275.6606217579	8090.97873803586	37590.3134486934	16988.3632650767	2.21606490511348	0.233882522713206	9.47511972850952	2.6645496051381e-21	5.14959271056163e-19
"Tery_3822"	2801.95141311588	6564.87555250816	946.928142470876	1821.56217969113	-2.79444049165021	0.318609019273049	-8.77075136801248	1.7747795186773e-18	3.25849519629152e-16
"Tery_3820"	4129.03958841161	9516.83992729614	1341.24672612006	2922.92854296442	-2.82746992691525	0.323040335517469	-8.75268384793499	2.08337730867731e-18	3.64293403688718e-16
"Tery_3818"	1445.34336259432	3049.43547192008	514.33533128533	1237.76330023203	-2.56795737365032	0.301314751176771	-8.52250798748246	1.56134880113077e-17	2.60603308988736e-15
"Tery_3824"	599.969264042162	1319.76426150947	228.888501885076	436.795409810485	-2.52861661049009	0.297506933123021	-8.49935355773538	1.90649402344745e-17	3.0437591539561e-15
"Tery_4141"	1260.68849273121	508.537142051851	1840.04126542858	1143.81068436451	1.85204005820149	0.223850659829241	8.27355192794282	1.30026132896733e-16	1.98939983332001e-14
"Tery_3819"	6630.17113589347	14806.7194303417	2292.00576003002	4960.87090524048	-2.69201508405764	0.325910400732179	-8.25998519227939	1.45690540195654e-16	2.13990265439376e-14
