""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_2483"	7953.03843693147	-6.86785408741099	0.36362346122496	-18.8872688914924	1.45164289025529e-79	6.04754428080354e-76	40	167	71	11739	24142	15391	4037	"    10.97"	"    25.69"	"    13.01"	"  3867.62"	"  4384.86"	"  2757.16"	"  1137.97"	" 3.58"	" 4.74"	" 3.81"	"11.92"	"12.10"	"11.43"	"10.15"	"Tery_2483"	"gene2505"	"CDS"	3826052	3827158	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4002 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000932,NCBI_GP:ABG51691.1"
"Tery_1664"	496.60858829232	-5.69549392183607	0.387666721026876	-14.6917277468375	7.28327826154819e-49	1.51710686188049e-45	10	11	7	771	1734	669	239	"     2.74"	"     1.69"	"     1.28"	"   254.02"	"   314.94"	"   119.85"	"    67.37"	" 1.90"	" 1.43"	" 1.19"	" 7.99"	" 8.30"	" 6.92"	" 6.10"	"Tery_1664"	"gene1674"	"CDS"	2530383	2530733	"-"	"CP000393.1"	"hypothetical protein"	"KEGG: ava:Ava_3337 hypothetical protein"	"NCBI_GP:ABG50935.1"
"Tery_1687"	20690.3229238234	-5.3059759100876	0.364639556873715	-14.5512899247111	5.7312058995116e-48	7.95873459245511e-45	343	1243	705	30891	56348	45509	9757	"    94.07"	"   191.21"	"   129.18"	" 10177.58"	" 10234.38"	"  8152.52"	"  2750.36"	" 6.57"	" 7.59"	" 7.02"	"13.31"	"13.32"	"12.99"	"11.43"	"Tery_1687"	"gene1697"	"CDS"	2569444	2570484	"+"	"CP000393.1"	"fructose-bisphosphate aldolase"	"PFAM: fructose-bisphosphate aldolase%2C class-I~KEGG: xcb:XC_0979 fructose-bisphosphate aldolase"	"InterPro:IPR000741,NCBI_GP:ABG50958.1"
"Tery_4281"	1173.79781900941	-3.35820403498666	0.251298980057056	-13.3633810778866	9.89647773703923e-41	1.03071815631264e-37	102	274	162	1540	2805	2269	979	"    27.97"	"    42.15"	"    29.68"	"   507.38"	"   509.47"	"   406.47"	"   275.97"	" 4.86"	" 5.43"	" 4.94"	" 8.99"	" 9.00"	" 8.67"	" 8.11"	"Tery_4281"	"gene4323"	"CDS"	6602327	6602572	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_4530 hypothetical protein"	"NCBI_GP:ABG53278.1"
"Tery_1663"	298.03931301358	-5.36020640138297	0.415126395307294	-12.9122273649092	3.8402950679856e-38	3.1997338506456e-35	4	9	8	460	1061	379	146	"     1.10"	"     1.38"	"     1.47"	"   151.56"	"   192.71"	"    67.89"	"    41.16"	" 1.07"	" 1.25"	" 1.30"	" 7.25"	" 7.60"	" 6.11"	" 5.40"	"Tery_1663"	"gene1673"	"CDS"	2529480	2530019	"-"	"CP000393.1"	"putative transcriptional regulator%2C Crp/Fnr family"	"PFAM: regulatory protein%2C Crp~KEGG: ana:all4500 transcriptional regulator"	"InterPro:IPR001808,InterPro:IPR012318,NCBI_GP:ABG50934.1"
"Tery_1665"	3923.41595461409	-4.0004477439324	0.326498291254423	-12.2525840137248	1.62727007771853e-34	1.05906162582323e-31	253	375	283	6327	10222	7766	1796	"    69.39"	"    57.69"	"    51.85"	"  2084.54"	"  1856.60"	"  1391.21"	"   506.27"	" 6.14"	" 5.87"	" 5.72"	"11.03"	"10.86"	"10.44"	" 8.99"	"Tery_1665"	"gene1675"	"CDS"	2531396	2532139	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr2406 hypothetical protein"	"NCBI_GP:ABG50936.1"
"Tery_4280"	5309.756243623	-2.64441732510446	0.215953120913164	-12.2453304398773	1.77950825270347e-34	1.05906162582323e-31	826	1640	1001	6403	14430	8256	4497	"   226.53"	"   252.28"	"   183.42"	"  2109.58"	"  2620.89"	"  1478.99"	"  1267.64"	" 7.83"	" 7.98"	" 7.53"	"11.04"	"11.36"	"10.53"	"10.31"	"Tery_4280"	"gene4322"	"CDS"	6601516	6602184	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_4529 hypothetical protein"	"NCBI_GP:ABG53277.1"
"Tery_1885"	2411.21956763276	3.71518170942632	0.340150453498266	10.9221718543005	9.03100408312131e-28	4.70289537628542e-25	6450	5001	5059	99	149	336	408	"  1768.91"	"   769.30"	"   926.97"	"    32.62"	"    27.06"	"    60.19"	"   115.01"	"10.79"	" 9.59"	" 9.86"	" 5.07"	" 4.81"	" 5.94"	" 6.86"	"Tery_1885"	"gene1896"	"CDS"	2883011	2883310	"+"	"CP000393.1"	"4Fe-4S ferredoxin%2C iron-sulfur binding"	"PFAM: 4Fe-4S ferredoxin%2C iron-sulfur binding~KEGG: ava:Ava_0445 4Fe-4S ferredoxin%2C iron-sulfur binding"	"InterPro:IPR001450,NCBI_GP:ABG51141.1"
"Tery_2486"	1129.46801432534	-3.60916100126808	0.365181773227254	-9.88319041602901	4.92397394101845e-23	2.27925282647588e-20	70	133	127	1864	3005	2202	409	"    19.20"	"    20.46"	"    23.27"	"   614.13"	"   545.79"	"   394.47"	"   115.29"	" 4.34"	" 4.42"	" 4.60"	" 9.26"	" 9.09"	" 8.63"	" 6.86"	"Tery_2486"	"gene2508"	"CDS"	3831730	3832440	"+"	"CP000393.1"	"Phycobilisome linker polypeptide"	"PFAM: Phycobilisome linker polypeptide~KEGG: syn:sll1471 phycobilisome rod-core linker polypeptide"	"InterPro:IPR001297,NCBI_GP:ABG51694.1"
"Tery_1667"	26269.6488510135	-5.85274685502972	0.598744037857337	-9.77503989179472	1.44100551222741e-22	5.45748087630854e-20	452	852	603	40970	68259	64135	9007	"   123.96"	"   131.06"	"   110.49"	" 13498.28"	" 12397.75"	" 11489.20"	"  2538.94"	" 6.97"	" 7.05"	" 6.80"	"13.72"	"13.60"	"13.49"	"11.31"	"Tery_1667"	"gene1677"	"CDS"	2534182	2535216	"-"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4001 photosystem II chlorophyll a-binding protein"	"InterPro:IPR000169,InterPro:IPR000932,NCBI_GP:ABG50938.1"
