""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_2483"	7953.03843693147	-6.86785408741104	0.363623461225675	-18.8872688914554	1.4516428912732e-79	6.04754428504413e-76
"Tery_1664"	496.60858829232	-5.6954939218365	0.387666721024881	-14.6917277469142	7.28327825330336e-49	1.51710686016309e-45
"Tery_1687"	20690.3229238234	-5.30597591008762	0.364639556874776	-14.5512899246688	5.731205903057e-48	7.95873459737849e-45
"Tery_4281"	1173.79781900941	-3.35820403498647	0.251298980053151	-13.3633810780935	9.89647770952231e-41	1.03071815344675e-37
"Tery_1663"	298.03931301358	-5.36020640138303	0.41512639530511	-12.9122273649773	3.84029506458969e-38	3.19973384781613e-35
"Tery_1665"	3923.41595461409	-4.0004477439324	0.326498291254089	-12.2525840137373	1.62727007746674e-34	1.05906162183663e-31
"Tery_4280"	5309.756243623	-2.64441732510447	0.215953120907779	-12.2453304401827	1.7795082460049e-34	1.05906162183663e-31
"Tery_1885"	2411.21956763276	3.71518170942632	0.340150453498424	10.9221718542954	9.0310040836248e-28	4.70289537654761e-25
"Tery_2486"	1129.46801432534	-3.60916100126806	0.365181773228107	-9.88319041600589	4.92397394215484e-23	2.27925282700189e-20
"Tery_1667"	26269.6488510135	-5.85274685502971	0.598744037857337	-9.77503989179471	1.44100551222756e-22	5.45748087630912e-20
"Tery_2484"	9612.60989929685	-7.59894909432138	0.777149170369462	-9.77798006360708	1.39976136954262e-22	5.45748087630912e-20
"Tery_2559"	3549.07417420557	-2.06201867068853	0.231229312808474	-8.91763524980283	4.76350322995716e-19	1.65372953800013e-16
"Tery_2485"	9262.07698630275	-7.33559832379347	0.862913948664264	-8.50096157924959	1.88026600854798e-17	6.02552937816221e-15
"Tery_0831"	436.427149032464	-1.79731445611669	0.212065872542785	-8.47526494747084	2.34545125136709e-17	6.9793927951395e-15
"Tery_3404"	334.557003366783	-1.91317284138103	0.237271481442987	-8.06322289449162	7.43088552052039e-16	2.06380460523253e-13
"Tery_1686"	200.589761198393	-2.46806176427601	0.313042227409964	-7.88411769458761	3.16765626437829e-15	8.24778499837496e-13
"Tery_3032"	1954.03455017039	-1.43775074019672	0.190405689915757	-7.55098621702346	4.31974560474159e-14	1.05859177584432e-11
