""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_1686"	200.589761198393	-2.08662841670121	0.292457905672253	-7.13479914965821	9.69285903623274e-13	3.08039060171477e-09
"Tery_0847"	1362.78180237484	1.87352229780504	0.292142519379176	6.41304217471118	1.4264403673733e-10	2.26661374375618e-07
"Tery_1046"	25349.2545798152	-1.36651081203271	0.22357045399346	-6.11221557958049	9.82573249396976e-10	1.04087259552786e-06
"Tery_1663"	298.03931301358	-1.64361511574597	0.294493662382355	-5.58115615273238	2.38925012619878e-08	1.89825922526493e-05
"Tery_1657"	122.797637838762	-1.46584102812528	0.273905753458576	-5.35162554862858	8.71676284426592e-08	5.54037446381542e-05
"Tery_1664"	496.60858829232	-1.59066684607993	0.30251582831208	-5.25812766543565	1.45529480022661e-07	5.78115859390021e-05
"Tery_3822"	2801.95141311588	-1.84817281194119	0.348659908621735	-5.30078958388731	1.15302918034365e-07	5.78115859390021e-05
"Tery_4984"	871.750948631706	-1.09962216422746	0.208339358259352	-5.27803374943007	1.30577419753641e-07	5.78115859390021e-05
"Tery_1662"	79.0297871094994	-1.90463663242429	0.366332353723106	-5.19920398257783	2.00143790628046e-07	6.3605696661593e-05
"Tery_2985"	1156.36600695507	1.36341060580636	0.261694048487179	5.20994120305014	1.88900485693758e-07	6.3605696661593e-05
"Tery_0107"	3144.86268305658	1.10358665289874	0.213501477812092	5.16898835646484	2.35364559567707e-07	6.79989609369248e-05
"Tery_3108"	619.110961321895	1.08847748036983	0.219380389022837	4.96159882484537	6.99152827875852e-07	0.000185158973915788
"Tery_1530"	3310.4096632854	1.16880737370391	0.237412062110124	4.92311706202085	8.51764648746864e-07	0.000193350575265538
"Tery_1881"	728.921016980932	1.55245544570449	0.314843896556979	4.93087356204645	8.18627089701235e-07	0.000193350575265538
"Tery_3824"	599.969264042162	-1.58909513993605	0.324292919448133	-4.90018450800684	9.57466944338399e-07	0.000202855329940496
"Tery_3820"	4129.03958841161	-1.70214062856132	0.353553613461782	-4.81437768912892	1.4765930790748e-06	0.000293288300331231
"Tery_2405"	560.90756004173	-1.02160608975642	0.21346518776073	-4.78582058495423	1.70290129961413e-06	0.000300656685009649
"Tery_4133"	8086.24021070469	1.29503012015655	0.270096707446871	4.79469051066194	1.62926166003367e-06	0.000300656685009649
"Tery_2334"	555.43083886788	1.12311968807445	0.23635033501258	4.75192763325119	2.01486490611188e-06	0.000310037084951697
"Tery_4141"	1260.68849273121	1.16714557869726	0.245354619561516	4.75697413312663	1.96516338992507e-06	0.000310037084951697
"Tery_4957"	746.361608176268	1.07934803377825	0.227300082703063	4.74855979347913	2.04870320452663e-06	0.000310037084951697
"Tery_0262"	6335.33884879966	1.08654087381199	0.232545571107381	4.67237827251619	2.97731973494261e-06	0.000430087368983983
"Tery_3243"	907.952523306984	1.09901000586176	0.237909924551365	4.61943741075201	3.84781925717694e-06	0.000531668243448187
"Tery_0149"	3976.23588843492	1.26597190153116	0.279125237701592	4.53549780003982	5.74677773055639e-06	0.000732806694980754
"Tery_2289"	1347.60056780979	1.13069829623999	0.249335809094311	4.53484118605804	5.76468451054716e-06	0.000732806694980754
"Tery_0624"	128.926060755536	-2.02837296047965	0.448925655744369	-4.51828255864856	6.23432520416705e-06	0.000733803166623811
"Tery_1945"	757.879087986051	1.16315567004712	0.257288210078853	4.52082771181253	6.15983065412151e-06	0.000733803166623811
"Tery_0192"	956.049223764127	-1.08577193814144	0.242140351227903	-4.48406030897142	7.3235948775683e-06	0.000750786597448776
"Tery_1773"	455.459571690603	-1.05232552424677	0.234071703941947	-4.49574000840256	6.93284071244601e-06	0.000750786597448776
"Tery_2404"	372.851319869988	-1.00756154963264	0.223798953138155	-4.50208339004454	6.72905678918196e-06	0.000750786597448776
"Tery_3963"	1803.09520373301	0.994544014252478	0.221503987645591	4.48995986403532	7.1236595146094e-06	0.000750786597448776
"Tery_0174"	1394.94255459424	-1.12477569932066	0.254345684486846	-4.42223229220479	9.76863485427492e-06	0.000872860488101332
"Tery_0324"	1612.00787366533	0.943061481529743	0.213166509332731	4.42406025450143	9.68629854769899e-06	0.000872860488101332
"Tery_0425"	3250.95967267308	0.943240421405676	0.212490603595715	4.43897473791495	9.03884239877834e-06	0.000872860488101332
"Tery_0697"	546.117299888497	1.05688794833761	0.238789638540351	4.42602097309599	9.59871956893147e-06	0.000872860488101332
"Tery_3819"	6630.17113589347	-1.57705962002866	0.356831845343434	-4.41961568343435	9.88765814085839e-06	0.000872860488101332
"Tery_1532"	3086.93723398466	0.898980073907908	0.206218258887885	4.35936215714371	1.30442087164101e-05	0.00112039176488517
"Tery_3366"	209.814406978629	1.29696670832474	0.298663414541177	4.34256974633874	1.40825757107147e-05	0.00117774804233293
"Tery_0169"	1274.18683215443	1.19634024022399	0.276885595116699	4.32070234538482	1.55533358657238e-05	0.00126739747131462
"Tery_0948"	7876.22818350592	1.17577584774645	0.274016793827696	4.29088973461162	1.77958667379927e-05	0.00141388161233352
"Tery_2245"	313.363529264038	-1.05375973266361	0.246354438858346	-4.27741321628679	1.89077632208367e-05	0.00143245468204736
"Tery_3504"	2308.52946212631	1.14573424005157	0.267874021610448	4.27713830987962	1.89311191460004e-05	0.00143245468204736
"Tery_1047"	21742.7215376826	-0.985731866597458	0.23109250430045	-4.26552938002645	1.99428766939834e-05	0.0014739177240344
"Tery_0998"	31843.7929590558	1.20958802441491	0.286145968203766	4.22717130004628	2.36647508682526e-05	0.00170924041498425
"Tery_3658"	4792.80795396908	0.956582228623181	0.227508730995727	4.20459568490648	2.61549274641776e-05	0.00184711909958125
"Tery_4138"	23275.6606217579	1.07023368851394	0.256233331167893	4.17679340792976	2.95647313880919e-05	0.002042537311986
"Tery_3003"	1665.03046815502	1.12401851342346	0.269517983894853	4.17047685345542	3.03962929063838e-05	0.00205530678418059
"Tery_4134"	4244.03458363833	1.16244284167885	0.280312173704816	4.14695810857992	3.36921677957327e-05	0.00223070227614247
"Tery_3821"	3735.66094253573	-1.6905947857816	0.411021152799908	-4.11315761795989	3.90283715112067e-05	0.00253126866658397
"Tery_3650"	17136.2777501279	1.34143992728338	0.326728522374357	4.10567133085	4.03142348171395e-05	0.00256237276497738
"Tery_1885"	2411.21956763276	1.56515957688172	0.383406262635983	4.08224833397604	4.46020997770322e-05	0.00277932300179232
"Tery_2218"	1647.69587407255	-0.894043037060924	0.220030158707421	-4.06327497245391	4.83889702402241e-05	0.00285903204558889
"Tery_3368"	316.463735557938	1.38589238986645	0.341154931173942	4.06235485178972	4.85801543303335e-05	0.00285903204558889
"Tery_3404"	334.557003366783	-0.999638531434971	0.245684210833072	-4.06879436022922	4.72570317602239e-05	0.00285903204558889
"Tery_4136"	30722.431022931	1.14736745039374	0.282818382737037	4.05690549281078	4.97271917893522e-05	0.00287332755466475
"Tery_1859"	1449.37655268415	0.90789858486533	0.224596428866425	4.04235539027777	5.29169478541481e-05	0.00300303679072291
"Tery_2370"	634.020466797681	-0.886372557085507	0.219702832837109	-4.03441569523447	5.47383381467021e-05	0.00305190243210911
"Tery_4057"	855.63061660121	0.898071105708347	0.224045905020597	4.00842454864679	6.11251613225145e-05	0.00334923728763709
"Tery_2364"	606.937980650893	1.03760058896357	0.259376016088559	4.00037214161426	6.32429501755183e-05	0.00340654399419995
"Tery_0172"	275.769305038748	-0.923028937773038	0.231400008472062	-3.98888895410078	6.63834862405686e-05	0.00351611198787545
"Tery_0702"	179.535504253048	1.02194447595599	0.256883929988095	3.97823435667364	6.94289220248678e-05	0.00361713301959066
"Tery_2536"	1499.52849771602	0.954593410675023	0.240543110862192	3.96849199818452	7.23288855795129e-05	0.00370743868341439
"Tery_3818"	1445.34336259432	-1.2986148955567	0.329021537363258	-3.94689936094656	7.91698150268006e-05	0.00393129116575715
"Tery_4661"	16246.6710066594	0.899903764939448	0.228002766614294	3.94689844470961	7.91701178755373e-05	0.00393129116575715
"Tery_4137"	29002.4049465404	1.03932953541752	0.263990467741794	3.93699645410711	8.25078256742861e-05	0.00403399799989048
"Tery_0270"	3564.63987509719	1.22512471998805	0.313198697733505	3.91165330141472	9.16664406843304e-05	0.004413878007497
"Tery_0279"	309.662436917325	1.29938528624365	0.333700501439863	3.89386674768846	9.86588583478358e-05	0.00467966943028988
