""	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"
"Tery_0001"	328	518	394	303	537	473	262	"    89.95"	"    79.68"	"    72.19"	"    99.83"	"    97.53"	"    84.73"	"    73.85"	" 6.4913"	" 6.3164"	" 6.1740"	" 6.6415"	" 6.6080"	" 6.4050"	" 6.2068"
"Tery_0002"	20	35	34	17	31	17	18	"     5.49"	"     5.38"	"     6.23"	"     5.60"	"     5.63"	"     3.05"	"     5.07"	" 2.4581"	" 2.4314"	" 2.6415"	" 2.4882"	" 2.4958"	" 1.6114"	" 2.3459"
"Tery_0006"	20	48	66	18	21	17	49	"     5.49"	"     7.38"	"    12.09"	"     5.93"	"     3.81"	"     3.05"	"    13.81"	" 2.4581"	" 2.8863"	" 3.5973"	" 2.5706"	" 1.9352"	" 1.6114"	" 3.7889"
"Tery_0008"	405	784	565	361	598	645	382	"   111.07"	"   120.60"	"   103.53"	"   118.94"	"   108.61"	"   115.55"	"   107.68"	" 6.7955"	" 6.9142"	" 6.6940"	" 6.8942"	" 6.7632"	" 6.8524"	" 6.7507"
"Tery_0011"	208	320	217	114	239	343	147	"    57.04"	"    49.23"	"    39.76"	"    37.56"	"    43.41"	"    61.45"	"    41.44"	" 5.8343"	" 5.6216"	" 5.3137"	" 5.2315"	" 5.4403"	" 5.9415"	" 5.3732"
"Tery_0012"	307	558	414	291	355	537	211	"    84.19"	"    85.84"	"    75.86"	"    95.88"	"    64.48"	"    96.20"	"    59.48"	" 6.3958"	" 6.4237"	" 6.2454"	" 6.5832"	" 6.0110"	" 6.5881"	" 5.8945"
"Tery_0013"	638	1002	828	569	970	1078	566	"   174.97"	"   154.14"	"   151.72"	"   187.47"	"   176.18"	"   193.11"	"   159.55"	" 7.4511"	" 7.2682"	" 7.2453"	" 7.5506"	" 7.4610"	" 7.5934"	" 7.3179"
"Tery_0014"	66	107	89	36	58	112	54	"    18.10"	"    16.46"	"    16.31"	"    11.86"	"    10.53"	"    20.06"	"    15.22"	" 4.1788"	" 4.0417"	" 4.0284"	" 3.5693"	" 3.3984"	" 4.3272"	" 3.9290"
"Tery_0015"	78	125	89	48	120	88	51	"    21.39"	"    19.23"	"    16.31"	"    15.81"	"    21.80"	"    15.76"	"    14.38"	" 4.4196"	" 4.2659"	" 4.0284"	" 3.9841"	" 4.4466"	" 3.9795"	" 3.8466"
"Tery_0017"	1017	1250	1346	886	1739	768	634	"   278.91"	"   192.29"	"   246.63"	"   291.91"	"   315.85"	"   137.58"	"   178.72"	" 8.1237"	" 7.5872"	" 7.9463"	" 8.1894"	" 8.3031"	" 7.1042"	" 7.4816"
"Tery_0018"	1126	1890	1749	1185	1894	2020	1329	"   308.81"	"   290.74"	"   320.47"	"   390.42"	"   344.00"	"   361.86"	"   374.63"	" 8.2706"	" 8.1836"	" 8.3241"	" 8.6089"	" 8.4263"	" 8.4993"	" 8.5493"
"Tery_0019"	1190	2062	1834	683	1081	1366	1056	"   326.36"	"   317.20"	"   336.05"	"   225.03"	"   196.34"	"   244.71"	"   297.67"	" 8.3504"	" 8.3093"	" 8.3926"	" 7.8140"	" 7.6173"	" 7.9350"	" 8.2176"
"Tery_0020"	26	58	52	25	43	40	28	"     7.13"	"     8.92"	"     9.53"	"     8.24"	"     7.81"	"     7.17"	"     7.89"	" 2.8360"	" 3.1590"	" 3.2537"	" 3.0438"	" 2.9672"	" 2.8431"	" 2.9824"
"Tery_0021"	2003	3523	2675	1788	3357	2137	1859	"   549.32"	"   541.94"	"   490.15"	"   589.09"	"   609.73"	"   382.82"	"   524.03"	" 9.1015"	" 9.0820"	" 8.9371"	" 9.2024"	" 9.2520"	" 8.5806"	" 9.0335"
"Tery_0022"	91	130	128	41	83	74	56	"    24.96"	"    20.00"	"    23.45"	"    13.51"	"    15.08"	"    13.26"	"    15.79"	" 4.6419"	" 4.3225"	" 4.5524"	" 3.7568"	" 3.9151"	" 3.7297"	" 3.9815"
"Tery_0023"	29	46	36	23	44	53	22	"     7.95"	"     7.08"	"     6.60"	"     7.58"	"     7.99"	"     9.49"	"     6.20"	" 2.9934"	" 2.8250"	" 2.7239"	" 2.9237"	" 3.0003"	" 3.2486"	" 2.6349"
"Tery_0024"	14	45	27	13	52	38	13	"     3.84"	"     6.92"	"     4.95"	"     4.28"	"     9.44"	"     6.81"	"     3.66"	" 1.9447"	" 2.7933"	" 2.3095"	" 2.1020"	" 3.2410"	" 2.7692"	" 1.8776"
"Tery_0025"	10	32	19	5	23	19	12	"     2.74"	"     4.92"	"     3.48"	"     1.65"	"     4.18"	"     3.40"	"     3.38"	" 1.4607"	" 2.3023"	" 1.8038"	" 0.7289"	" 2.0661"	" 1.7713"	" 1.7624"
"Tery_0027"	1243	2287	1873	1164	2115	2355	1268	"   340.89"	"   351.81"	"   343.19"	"   383.50"	"   384.14"	"   421.88"	"   357.43"	" 8.4132"	" 8.4587"	" 8.4229"	" 8.5831"	" 8.5855"	" 8.7207"	" 8.4816"
"Tery_0028"	569	1080	1035	390	860	682	540	"   156.05"	"   166.14"	"   189.65"	"   128.49"	"   156.20"	"   122.17"	"   152.22"	" 7.2859"	" 7.3763"	" 7.5672"	" 7.0057"	" 7.2873"	" 6.9329"	" 7.2501"
"Tery_0033"	1016	2303	1833	784	1657	1832	1200	"   278.64"	"   354.27"	"   335.86"	"   258.30"	"   300.96"	"   328.19"	"   338.26"	" 8.1223"	" 8.4687"	" 8.3918"	" 8.0130"	" 8.2335"	" 8.3584"	" 8.4020"
"Tery_0034"	493	910	852	546	977	845	468	"   135.21"	"   139.98"	"   156.11"	"   179.89"	"   177.45"	"   151.37"	"   131.92"	" 7.0791"	" 7.1292"	" 7.2865"	" 7.4910"	" 7.4714"	" 7.2421"	" 7.0437"
"Tery_0035"	18	30	30	6	27	31	9	"     4.94"	"     4.61"	"     5.50"	"     1.98"	"     4.90"	"     5.55"	"     2.54"	" 2.3064"	" 2.2094"	" 2.4613"	" 0.9905"	" 2.2969"	" 2.4760"	" 1.3488"
"Tery_0037"	3	5	6	4	2	2	3	"     0.82"	"     0.77"	"     1.10"	"     1.32"	"     0.36"	"     0.36"	"     0.85"	"-0.2640"	"-0.3600"	" 0.1498"	" 0.4091"	"-1.4218"	"-1.4411"	"-0.2249"
"Tery_0040"	51	157	123	44	104	127	85	"    13.99"	"    24.15"	"    22.54"	"    14.50"	"    18.89"	"    22.75"	"    23.96"	" 3.8070"	" 4.5946"	" 4.4949"	" 3.8586"	" 4.2403"	" 4.5085"	" 4.5832"
"Tery_0041"	349	432	383	91	155	230	113	"    95.71"	"    66.45"	"    70.18"	"    29.98"	"    28.15"	"    41.20"	"    31.85"	" 6.5808"	" 6.0545"	" 6.1331"	" 4.9065"	" 4.8157"	" 5.3650"	" 4.9938"
"Tery_0043"	165	255	255	111	186	226	148	"    45.25"	"    39.23"	"    46.72"	"    36.57"	"    33.78"	"    40.49"	"    41.72"	" 5.5002"	" 5.2941"	" 5.5464"	" 5.1930"	" 5.0786"	" 5.3397"	" 5.3830"
"Tery_0045"	1429	2250	2315	1263	2468	2042	1555	"   391.90"	"   346.12"	"   424.18"	"   416.12"	"   448.26"	"   365.81"	"   438.33"	" 8.6144"	" 8.4352"	" 8.7286"	" 8.7009"	" 8.8082"	" 8.5150"	" 8.7759"
"Tery_0046"	29	75	59	30	56	30	44	"     7.95"	"    11.54"	"    10.81"	"     9.88"	"    10.17"	"     5.37"	"    12.40"	" 2.9934"	" 3.5295"	" 3.4357"	" 3.3066"	" 3.3478"	" 2.4287"	" 3.6338"
"Tery_0047"	122	138	133	50	128	97	74	"    33.46"	"    21.23"	"    24.37"	"    16.47"	"    23.25"	"    17.38"	"    20.86"	" 5.0647"	" 4.4086"	" 4.6076"	" 4.0429"	" 4.5397"	" 4.1199"	" 4.3833"
"Tery_0050"	5	8	14	4	7	2	4	"     1.37"	"     1.23"	"     2.57"	"     1.32"	"     1.27"	"     0.36"	"     1.13"	" 0.4660"	" 0.3111"	" 1.3647"	" 0.4091"	" 0.3577"	"-1.4411"	" 0.1859"
"Tery_0054"	27	39	37	13	38	40	18	"     7.40"	"     6.00"	"     6.78"	"     4.28"	"     6.90"	"     7.17"	"     5.07"	" 2.8904"	" 2.5872"	" 2.7633"	" 2.1020"	" 2.7891"	" 2.8431"	" 2.3459"
"Tery_0057"	48	85	69	40	74	62	40	"    13.16"	"    13.08"	"    12.64"	"    13.18"	"    13.44"	"    11.11"	"    11.28"	" 3.7196"	" 3.7099"	" 3.6614"	" 3.7212"	" 3.7496"	" 3.4747"	" 3.4964"
"Tery_0058"	67	145	136	61	121	105	64	"    18.37"	"    22.31"	"    24.92"	"    20.10"	"    21.98"	"    18.81"	"    18.04"	" 4.2004"	" 4.4800"	" 4.6398"	" 4.3297"	" 4.4586"	" 4.2342"	" 4.1740"
"Tery_0059"	1949	4534	3816	1506	3315	2748	2371	"   534.51"	"   697.46"	"   699.21"	"   496.18"	"   602.10"	"   492.28"	"   668.35"	" 9.0621"	" 9.4460"	" 9.4496"	" 8.9547"	" 9.2339"	" 8.9434"	" 9.3845"
"Tery_0060"	515	947	751	402	752	961	519	"   141.24"	"   145.68"	"   137.61"	"   132.45"	"   136.58"	"   172.15"	"   146.30"	" 7.1421"	" 7.1867"	" 7.1045"	" 7.0494"	" 7.0938"	" 7.4276"	" 7.1929"
"Tery_0064"	15	38	21	16	29	28	10	"     4.11"	"     5.85"	"     3.85"	"     5.27"	"     5.27"	"     5.02"	"     2.82"	" 2.0440"	" 2.5498"	" 1.9478"	" 2.4009"	" 2.3998"	" 2.3294"	" 1.5002"
"Tery_0065"	26	30	18	13	30	14	11	"     7.13"	"     4.61"	"     3.30"	"     4.28"	"     5.45"	"     2.51"	"     3.10"	" 2.8360"	" 2.2094"	" 1.7260"	" 2.1020"	" 2.4486"	" 1.3323"	" 1.6373"
"Tery_0066"	29	48	33	28	63	37	16	"     7.95"	"     7.38"	"     6.05"	"     9.23"	"    11.44"	"     6.63"	"     4.51"	" 2.9934"	" 2.8863"	" 2.5985"	" 3.2071"	" 3.5176"	" 2.7308"	" 2.1764"
"Tery_0068"	2696	6654	4827	2729	7094	3131	2626	"   739.38"	"  1023.58"	"   884.46"	"   899.12"	"  1288.47"	"   560.89"	"   740.23"	" 9.5302"	" 9.9994"	" 9.7887"	" 9.8124"	"10.3315"	" 9.1316"	" 9.5319"
"Tery_0069"	1467	2969	2301	1276	2363	2570	1565	"   402.32"	"   456.72"	"   421.62"	"   420.40"	"   429.19"	"   460.39"	"   441.15"	" 8.6523"	" 8.8352"	" 8.7198"	" 8.7157"	" 8.7455"	" 8.8468"	" 8.7852"
"Tery_0070"	3	11	3	6	11	12	4	"     0.82"	"     1.69"	"     0.55"	"     1.98"	"     2.00"	"     2.15"	"     1.13"	"-0.2640"	" 0.7673"	"-0.8373"	" 0.9905"	" 1.0057"	" 1.1108"	" 0.1859"
"Tery_0071"	357	714	601	262	408	732	396	"    97.91"	"   109.83"	"   110.12"	"    86.32"	"    74.10"	"   131.13"	"   111.63"	" 6.6135"	" 6.7793"	" 6.7831"	" 6.4318"	" 6.2117"	" 7.0350"	" 6.8027"
"Tery_0072"	297	560	380	244	455	378	222	"    81.45"	"    86.14"	"    69.63"	"    80.39"	"    82.64"	"    67.72"	"    62.58"	" 6.3481"	" 6.4288"	" 6.1218"	" 6.3291"	" 6.3690"	" 6.0816"	" 5.9678"
"Tery_0073"	1518	2728	2706	791	1751	1723	1264	"   416.31"	"   419.65"	"   495.83"	"   260.61"	"   318.03"	"   308.66"	"   356.30"	" 8.7016"	" 8.7131"	" 8.9537"	" 8.0258"	" 8.3131"	" 8.2699"	" 8.4770"
"Tery_0075"	164	277	323	163	253	117	196	"    44.98"	"    42.61"	"    59.18"	"    53.70"	"    45.95"	"    20.96"	"    55.25"	" 5.4914"	" 5.4135"	" 5.8874"	" 5.7472"	" 5.5224"	" 4.3902"	" 5.7882"
"Tery_0076"	94	286	198	97	262	166	131	"    25.78"	"    44.00"	"    36.28"	"    31.96"	"    47.59"	"    29.74"	"    36.93"	" 4.6887"	" 5.4596"	" 5.1815"	" 4.9986"	" 5.5728"	" 4.8947"	" 5.2070"
"Tery_0080"	278	679	510	348	582	345	327	"    76.24"	"   104.45"	"    93.45"	"   114.65"	"   105.71"	"    61.80"	"    92.18"	" 6.2527"	" 6.7068"	" 6.5463"	" 6.8413"	" 6.7241"	" 5.9499"	" 6.5265"
"Tery_0081"	56	77	53	47	72	69	52	"    15.36"	"    11.84"	"     9.71"	"    15.48"	"    13.08"	"    12.36"	"    14.66"	" 3.9419"	" 3.5674"	" 3.2811"	" 3.9537"	" 3.7101"	" 3.6289"	" 3.8746"
"Tery_0082"	241	467	390	328	388	593	243	"    66.09"	"    71.84"	"    71.46"	"   108.07"	"    70.47"	"   106.23"	"    68.50"	" 6.0467"	" 6.1669"	" 6.1593"	" 6.7559"	" 6.1392"	" 6.7312"	" 6.0982"
"Tery_0085"	27	70	48	39	60	53	32	"     7.40"	"    10.77"	"     8.80"	"    12.85"	"    10.90"	"     9.49"	"     9.02"	" 2.8904"	" 3.4300"	" 3.1383"	" 3.6847"	" 3.4473"	" 3.2486"	" 3.1748"
"Tery_0087"	354	652	594	371	514	827	441	"    97.08"	"   100.30"	"   108.84"	"   122.23"	"    93.36"	"   148.15"	"   124.31"	" 6.6013"	" 6.6483"	" 6.7662"	" 6.9336"	" 6.5448"	" 7.2110"	" 6.9579"
"Tery_0088"	53	74	52	38	55	47	35	"    14.54"	"    11.38"	"     9.53"	"    12.52"	"     9.99"	"     8.42"	"     9.87"	" 3.8625"	" 3.5101"	" 3.2537"	" 3.6473"	" 3.3219"	" 3.0755"	" 3.3039"
"Tery_0089"	434	823	618	467	783	961	432	"   119.02"	"   126.60"	"   113.24"	"   153.86"	"   142.21"	"   172.15"	"   121.77"	" 6.8952"	" 6.9843"	" 6.8233"	" 7.2656"	" 7.1520"	" 7.4276"	" 6.9282"
"Tery_0090"	258	480	375	271	425	565	258	"    70.76"	"    73.84"	"    68.71"	"    89.29"	"    77.19"	"   101.21"	"    72.73"	" 6.1450"	" 6.2065"	" 6.1027"	" 6.4805"	" 6.2706"	" 6.6614"	" 6.1846"
"Tery_0091"	20	24	23	8	18	15	9	"     5.49"	"     3.69"	"     4.21"	"     2.64"	"     3.27"	"     2.69"	"     2.54"	" 2.4581"	" 1.8883"	" 2.0787"	" 1.4037"	" 1.7134"	" 1.4314"	" 1.3488"
"Tery_0093"	102	196	157	138	344	135	109	"    27.97"	"    30.15"	"    28.77"	"    45.47"	"    62.48"	"    24.18"	"    30.73"	" 4.8065"	" 4.9146"	" 4.8469"	" 5.5070"	" 5.9656"	" 4.5966"	" 4.9418"
