""	"HFe_d5_rep1"	"HFe_d5_rep2"	"HFe_d5_rep3"	"LFe_d5_rep1"	"LFe_d5_rep2"	"MFe_d5_rep1"	"MFe_d5_rep2"
"Tery_0001"	8.64912575297202	8.54200209422853	8.45097348346691	8.74403102107172	8.72532678952936	8.59898743247253	8.48015176097252
"Tery_0002"	4.58405047725105	4.57991658013138	4.65282716376378	4.59170391967411	4.6000041231654	4.34056521318823	4.5533606591902
"Tery_0006"	4.86452984075637	5.0171293350529	5.33414634953882	4.90389207035831	4.6920048998517	4.60961858046886	5.41012247691308
"Tery_0008"	8.98934537861428	9.06976454316209	8.92533449850247	9.05195350868512	8.96895343202455	9.0303501985289	8.96927464845282
"Tery_0011"	7.90856427558572	7.78309739827789	7.59572936093306	7.55342950065705	7.6701078328083	7.98383308549198	7.63988056387305
"Tery_0012"	8.55262958990316	8.57482827689468	8.45891606797153	8.67090076237265	8.3133718205483	8.68168781884907	8.25460941735975
"Tery_0013"	9.62661271724193	9.51131378637018	9.49421051108301	9.69112276414038	9.63367375142149	9.72502148677095	9.54887345700495
"Tery_0014"	6.24634770799332	6.18353568342983	6.17374152028657	5.96532310615804	5.87444509631095	6.33548684706567	6.12925075796422
"Tery_0015"	6.4758576648989	6.40172856349741	6.27520594999753	6.25794409178229	6.49657888787598	6.25317203543354	6.19863087473175
"Tery_0017"	10.2129135663448	9.8626518817059	10.0955552449992	10.256404147416	10.3361338728008	9.5598448075089	9.80129327166758
"Tery_0018"	10.5070142250073	10.4533550182293	10.5428097568854	10.7308507458819	10.6099405053346	10.6627183330407	10.700189168203
"Tery_0019"	10.4537472586462	10.4304414411201	10.4837784988957	10.1010299770663	9.97492622431283	10.1829216650801	10.3735469281832
"Tery_0020"	5.13941061924507	5.26844596833808	5.30621320671598	5.21529148071279	5.18557317218317	5.13907467899748	5.19756823292392
"Tery_0021"	11.2661279992081	11.2568506012903	11.1575273588743	11.3334472288701	11.3682357238765	10.9284394715907	11.229427379381
"Tery_0022"	6.59672974193585	6.43186168016172	6.55553672868302	6.15534415867643	6.21718181702228	6.13053345636129	6.26046092350984
"Tery_0023"	5.13245529950064	5.06913623791759	5.03025529223467	5.10613137156071	5.13772233664216	5.24625752223869	5.01094846956153
"Tery_0024"	4.53174834497018	4.80187098527998	4.62480990347211	4.5782683200479	4.9848854508964	4.79032823045941	4.52044299892077
"Tery_0025"	3.89390296638752	4.12640391392459	3.97051999711494	3.78583872925419	4.04504149185285	3.96328609274736	3.96275528275374
"Tery_0027"	10.6398071712216	10.6731849100661	10.6469103043446	10.7516956129979	10.7542649131296	10.8491706725013	10.693449398716
"Tery_0028"	9.46068302827902	9.52396966485774	9.64806343238857	9.28157140124432	9.46217366054681	9.23822543252301	9.44591643940096
"Tery_0033"	10.3673280926515	10.6005231950468	10.5460175276555	10.2966295825681	10.4403460088579	10.5273168164846	10.5604401405094
"Tery_0034"	9.32933887956097	9.36410086810812	9.4636831292236	9.59595739250977	9.58504354392095	9.43815622286205	9.31525930782709
"Tery_0035"	4.3501777588602	4.32740486290315	4.40880270833746	4.07495045426293	4.35301937335148	4.41627208959039	4.12468566653063
"Tery_0037"	1.82198215210285	1.81492025374563	1.86733949055766	1.88329927268317	1.74602965471379	1.74519146877819	1.82604957882299
"Tery_0040"	6.26060721330843	6.66225941775951	6.6025223306635	6.28963761233766	6.46477790691261	6.61316504101127	6.65266001235982
"Tery_0041"	8.41099722181614	8.07328497620284	8.12030602530897	7.3962720386931	7.33107052035111	7.6449279044708	7.44496058608908
"Tery_0043"	7.62165275484246	7.5027153125454	7.6527463053651	7.44305759356316	7.37443135491691	7.53074900306442	7.55968811688509
"Tery_0045"	10.8167708497433	10.7022665085189	10.8937007163906	10.8737650181463	10.9466607654377	10.7555092039822	10.9330819379251
"Tery_0046"	5.3449019398323	5.57578221471044	5.5277919465327	5.46691848935959	5.48763715516593	5.13362014334691	5.61615660518913
"Tery_0047"	6.989246175919	6.62516120171976	6.7327006625956	6.44777662376571	6.69447796085224	6.47485927917891	6.6175569352733
"Tery_0050"	2.57605974124204	2.55672400897518	2.74154550809941	2.5689862635165	2.56270188281996	2.41697020562887	2.54616687492032
"Tery_0054"	4.91722235457042	4.81099066035619	4.87519536852764	4.67660410814824	4.88485689015838	4.90841382362699	4.74093381988608
"Tery_0057"	5.86956779735194	5.86973945401849	5.84399880543371	5.86910835639303	5.88611848341216	5.75963746150173	5.77670906520526
"Tery_0058"	6.47030310029425	6.61969808229824	6.70586025514582	6.53556854813244	6.60457838339555	6.48768589014058	6.46411574332096
"Tery_0059"	11.3016429888503	11.5625260591007	11.5621165611168	11.2311471064115	11.4160170258572	11.227937649091	11.5256256124161
"Tery_0060"	9.34148198815906	9.37394706522221	9.31793476018131	9.28209437270991	9.31048283684826	9.53352251694245	9.38272945604062
"Tery_0064"	4.34443367871397	4.51056210100023	4.31250602844159	4.44400922768992	4.45279357780024	4.43124307264609	4.22321392100078
"Tery_0065"	4.51687969932122	4.31463411079886	4.17280848285778	4.27740549008734	4.3920419878873	4.08058675674082	4.16733855871492
"Tery_0066"	5.12477264192749	5.08630104177929	4.97686516842889	5.20461576052693	5.36041281814625	5.02688967656182	4.86666416506324
"Tery_0068"	11.7886514772043	12.1071967811172	11.9614759551761	11.9760228150511	12.3331697431218	11.5347746444392	11.7983930813627
"Tery_0069"	10.8767347818049	11.0018836923974	10.9221738255711	10.9182182218694	10.9387173206605	11.0104251115884	10.9733960136229
"Tery_0070"	2.65532901524516	2.77347768611177	2.59823731319243	2.79688818102972	2.81345184205998	2.83536060898088	2.69743699914258
"Tery_0071"	8.82279357615199	8.93278439638648	8.93236778869374	8.71011808342038	8.57264890941446	9.10138015709267	8.9517980340302
"Tery_0072"	8.49536974163283	8.55193433099502	8.35456727818316	8.48269871086767	8.50993689646667	8.3329252351475	8.26951214888527
"Tery_0073"	10.8226118250139	10.8345610591921	10.995797223158	10.3808233194489	10.5651193851057	10.5409419757554	10.6813757239507
"Tery_0075"	7.6745714049342	7.6308489909904	7.92157506018636	7.82735048002882	7.69384651800829	7.06975569528072	7.86245706858137
