#chromosome	start	end	gene_name
CP000393.1	27	1397	Tery_0001
CP000393.1	10371	10973	Tery_0008
CP000393.1	12895	15912	Tery_0011
CP000393.1	17126	20872	Tery_0012
CP000393.1	28954	30639	Tery_0019
CP000393.1	33065	35353	Tery_0021
CP000393.1	36830	38158	Tery_0022
CP000393.1	39907	40488	Tery_0023
CP000393.1	40836	41411	Tery_0024
CP000393.1	41475	41900	Tery_0025
CP000393.1	48918	49433	Tery_0028
CP000393.1	54556	55059	Tery_0031
CP000393.1	55816	56544	Tery_0033
CP000393.1	59088	59294	Tery_0037
CP000393.1	64428	64763	Tery_0041
CP000393.1	71135	71347	Tery_0046
CP000393.1	71367	72836	Tery_0047
CP000393.1	73849	74169	Tery_0050
CP000393.1	74354	74533	Tery_0051
CP000393.1	76285	76875	Tery_0054
CP000393.1	77526	78212	Tery_0056
CP000393.1	78349	81126	Tery_0057
CP000393.1	84932	85924	Tery_0060
CP000393.1	94221	94430	Tery_0068
CP000393.1	94683	96173	Tery_0069
CP000393.1	98280	99698	Tery_0071
CP000393.1	100518	101846	Tery_0072
CP000393.1	116114	116977	Tery_0085
CP000393.1	119376	121190	Tery_0087
CP000393.1	124516	125490	Tery_0089
CP000393.1	125895	127244	Tery_0090
CP000393.1	127898	128116	Tery_0091
CP000393.1	129597	129836	Tery_0093
CP000393.1	130201	130701	Tery_0094
CP000393.1	131093	131992	Tery_0096
CP000393.1	135778	138564	Tery_0100
CP000393.1	146668	146931	Tery_0107
CP000393.1	147658	148572	Tery_0108
CP000393.1	163385	163648	Tery_0118
CP000393.1	196262	197389	Tery_0134
CP000393.1	197382	197672	Tery_0135
CP000393.1	197814	198488	Tery_0136
CP000393.1	198506	199444	Tery_0137
CP000393.1	202233	202853	Tery_0139
CP000393.1	207239	207502	Tery_0141
CP000393.1	207806	208861	Tery_0142
CP000393.1	209440	210882	Tery_0143
CP000393.1	210882	211856	Tery_0144
CP000393.1	215800	216867	Tery_0147
CP000393.1	217777	218829	Tery_0148
CP000393.1	221200	222018	Tery_0151
CP000393.1	222270	224264	Tery_0152
CP000393.1	224551	225456	Tery_0153
CP000393.1	238306	239277	Tery_0157
CP000393.1	240062	241228	Tery_0159
CP000393.1	241221	242240	Tery_0160
CP000393.1	248855	249184	Tery_0165
CP000393.1	251225	251584	Tery_0168
CP000393.1	251672	251941	Tery_0169
CP000393.1	251952	252425	Tery_0170
CP000393.1	254069	255130	Tery_0171
CP000393.1	258358	259317	Tery_0173
CP000393.1	259770	261428	Tery_0174
CP000393.1	262109	262288	Tery_0175
CP000393.1	263727	264146	Tery_0177
CP000393.1	264281	265960	Tery_0178
CP000393.1	268161	269534	Tery_0181
CP000393.1	269811	270872	Tery_0182
CP000393.1	271328	272389	Tery_0183
CP000393.1	277765	279303	Tery_0186
CP000393.1	279451	280641	Tery_0187
CP000393.1	280981	281054	Tery_R0002
CP000393.1	281404	284049	Tery_0188
CP000393.1	284158	284673	Tery_0189
CP000393.1	289075	289680	Tery_0192
CP000393.1	294991	295656	Tery_0197
CP000393.1	298526	300574	Tery_0199
CP000393.1	302330	303367	Tery_0200
CP000393.1	304605	306062	Tery_0201
CP000393.1	306604	307140	Tery_0202
CP000393.1	307162	308481	Tery_0203
CP000393.1	309201	310238	Tery_0204
CP000393.1	312998	314122	Tery_0207
CP000393.1	315196	317253	Tery_0209
CP000393.1	320516	321466	Tery_0212
CP000393.1	324132	325088	Tery_0213
CP000393.1	325107	326174	Tery_0214
CP000393.1	330834	331637	Tery_0217
CP000393.1	339480	340676	Tery_0221
CP000393.1	340839	341948	Tery_0222
CP000393.1	352378	353694	Tery_0227
CP000393.1	354244	356607	Tery_0228
CP000393.1	356894	357769	Tery_0229
CP000393.1	358803	359048	Tery_0230
CP000393.1	361712	362587	Tery_0232
CP000393.1	362733	362966	Tery_0233
CP000393.1	373560	375467	Tery_0239
CP000393.1	382366	383226	Tery_0244
CP000393.1	383619	384155	Tery_0245
CP000393.1	384785	385255	Tery_0246
CP000393.1	392348	392641	Tery_0250
CP000393.1	397560	398477	Tery_0255
CP000393.1	401387	401554	Tery_0257
CP000393.1	401698	402621	Tery_0258
CP000393.1	413407	415158	Tery_0269
CP000393.1	415937	417622	Tery_0270
CP000393.1	417849	420950	Tery_0271
CP000393.1	422371	423588	Tery_0273
CP000393.1	423919	424896	Tery_0274
CP000393.1	436168	437337	Tery_0283
