#chromosome	start	end	geneName
CP000393.1	3826052	3827158	Tery_2483
CP000393.1	3828573	3830141	Tery_2485
CP000393.1	3827539	3828570	Tery_2484
CP000393.1	2569444	2570484	Tery_1687
CP000393.1	3831730	3832440	Tery_2486
CP000393.1	4682776	4683933	Tery_3032
CP000393.1	2528196	2528942	Tery_1662
CP000393.1	4684202	4685209	Tery_3033
CP000393.1	5868027	5869220	Tery_3818
CP000393.1	5867650	5867856	Tery_3817
CP000393.1	5876968	5881329	Tery_3820
CP000393.1	5897089	5899005	Tery_3826
CP000393.1	4685403	4685561	Tery_3034
CP000393.1	2526786	2527910	Tery_1661
CP000393.1	5892400	5893881	Tery_3824
CP000393.1	5894131	5895816	Tery_3825
CP000393.1	5887337	5891401	Tery_3822
CP000393.1	269811	270872	Tery_0182
CP000393.1	5869316	5876971	Tery_3819
CP000393.1	5881443	5887172	Tery_3821
CP000393.1	6716835	6718196	Tery_4357
CP000393.1	5891768	5892256	Tery_3823
CP000393.1	5867072	5867284	Tery_3816
CP000393.1	5176866	5177915	Tery_3377
CP000393.1	6716014	6716829	Tery_4356
CP000393.1	2539184	2541211	Tery_1669
CP000393.1	6713998	6715434	Tery_4355
CP000393.1	6738117	6738773	Tery_4370
CP000393.1	2541678	2542307	Tery_1670
CP000393.1	6662635	6662988	Tery_4320
CP000393.1	259770	261428	Tery_0174
CP000393.1	6739030	6739482	Tery_4371
CP000393.1	2786301	2786687	Tery_1825
CP000393.1	271328	272389	Tery_0183
CP000393.1	5865822	5866112	Tery_3815
CP000393.1	2537397	2538692	Tery_1668
CP000393.1	727178	728614	Tery_0459
CP000393.1	446241	447479	Tery_0291
CP000393.1	3955556	3956104	Tery_2559
CP000393.1	6718583	6719845	Tery_4358
CP000393.1	3487533	3487862	Tery_2241
CP000393.1	258358	259317	Tery_0173
CP000393.1	5743982	5744932	Tery_3743
CP000393.1	6117291	6117749	Tery_3955
CP000393.1	129597	129836	Tery_0093
CP000393.1	3599249	3599467	Tery_2325
CP000393.1	6416012	6417022	Tery_4158
CP000393.1	5241202	5242893	Tery_3425
CP000393.1	3490104	3490517	Tery_2245
CP000393.1	3457034	3458482	Tery_2218
CP000393.1	3326951	3327271	Tery_2130
CP000393.1	7597822	7598313	Tery_4975
CP000393.1	5476434	5477198	Tery_3559
CP000393.1	289075	289680	Tery_0192
CP000393.1	131093	131992	Tery_0096
CP000393.1	3489228	3489707	Tery_2243
CP000393.1	966890	968791	Tery_0600
CP000393.1	659042	662110	Tery_0419
CP000393.1	4182225	4183586	Tery_2704
CP000393.1	5282994	5284496	Tery_3457
CP000393.1	5963776	5964636	Tery_3860
CP000393.1	2447515	2447886	Tery_1600
CP000393.1	6895590	6896672	Tery_4470
CP000393.1	5216566	5217576	Tery_3407
CP000393.1	3975715	3976170	Tery_2579
CP000393.1	7066918	7068804	Tery_4594
CP000393.1	461870	463597	Tery_0302
CP000393.1	4065176	4065517	Tery_2626
CP000393.1	3605596	3605820	Tery_2331
CP000393.1	3456683	3456907	Tery_2217
CP000393.1	4929944	4931611	Tery_3223
CP000393.1	2546360	2547577	Tery_1672
CP000393.1	7726233	7726496	Tery_5065
