""	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_0001"	328	518	394	303	537	473	262	"    89.95"	"    79.68"	"    72.19"	"    99.83"	"    97.53"	"    84.73"	"    73.85"	" 6.51"	" 6.33"	" 6.19"	" 6.66"	" 6.62"	" 6.42"	" 6.23"	"Tery_0001"	"gene0"	"CDS"	27	1397	"+"	"CP000393.1"	"chromosomal replication initiator protein DnaA"	"KEGG: ana:alr2009 chromosomal replication initiator protein~TIGRFAM: chromosomal replication initiator protein DnaA~PFAM: Chromosomal replication initiator%2C DnaA-like Chromosomal replication initiator%2C DnaA~SMART: ATPase"	"InterPro:IPR001957,InterPro:IPR003593,InterPro:IPR013159,InterPro:IPR013317,NCBI_GP:ABG49531.1"
"Tery_0002"	20	35	34	17	31	17	18	"     5.49"	"     5.38"	"     6.23"	"     5.60"	"     5.63"	"     3.05"	"     5.07"	" 2.70"	" 2.67"	" 2.85"	" 2.72"	" 2.73"	" 2.02"	" 2.60"	"Tery_0002"	"gene1"	"CDS"	1489	1689	"-"	"CP000393.1"	"putative transposase gene of IS630 family insertion sequence ISY100h"	"KEGG: syn:sll0431 putative transposase gene of IS630 family insertion sequence ISY100h"	"NCBI_GP:ABG49532.1"
"Tery_0006"	20	48	66	18	21	17	49	"     5.49"	"     7.38"	"    12.09"	"     5.93"	"     3.81"	"     3.05"	"    13.81"	" 2.70"	" 3.07"	" 3.71"	" 2.79"	" 2.27"	" 2.02"	" 3.89"	"Tery_0006"	"gene5"	"CDS"	9478	9756	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49533.1"
"Tery_0008"	405	784	565	361	598	645	382	"   111.07"	"   120.60"	"   103.53"	"   118.94"	"   108.61"	"   115.55"	"   107.68"	" 6.81"	" 6.93"	" 6.71"	" 6.91"	" 6.78"	" 6.86"	" 6.76"	"Tery_0008"	"gene7"	"CDS"	10371	10973	"+"	"CP000393.1"	"DNA polymerase III%2C beta subunit"	"PFAM: DNA polymerase III%2C beta chain~KEGG: ava:Ava_0002 DNA polymerase III subunit beta"	"InterPro:IPR001001,NCBI_GP:ABG49534.1"
"Tery_0011"	208	320	217	114	239	343	147	"    57.04"	"    49.23"	"    39.76"	"    37.56"	"    43.41"	"    61.45"	"    41.44"	" 5.86"	" 5.65"	" 5.35"	" 5.27"	" 5.47"	" 5.96"	" 5.41"	"Tery_0011"	"gene10"	"CDS"	12895	15912	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_C0237 hypothetical protein"	"NCBI_GP:ABG49536.1"
"Tery_0012"	307	558	414	291	355	537	211	"    84.19"	"    85.84"	"    75.86"	"    95.88"	"    64.48"	"    96.20"	"    59.48"	" 6.41"	" 6.44"	" 6.26"	" 6.60"	" 6.03"	" 6.60"	" 5.92"	"Tery_0012"	"gene11"	"CDS"	17126	20872	"+"	"CP000393.1"	"helicase-like"	"KEGG: ava:Ava_C0236 helicase-like"	"NCBI_GP:ABG49537.1"
"Tery_0013"	638	1002	828	569	970	1078	566	"   174.97"	"   154.14"	"   151.72"	"   187.47"	"   176.18"	"   193.11"	"   159.55"	" 7.46"	" 7.28"	" 7.25"	" 7.56"	" 7.47"	" 7.60"	" 7.33"	"Tery_0013"	"gene12"	"CDS"	21246	22433	"-"	"CP000393.1"	"arsenite-activated ATPase ArsA"	"KEGG: syn:sll0086 arsenical pump-driving ATPase~TIGRFAM: arsenite-activated ATPase ArsA~PFAM: Anion-transporting ATPase"	"InterPro:IPR003348,NCBI_GP:ABG49538.1"
"Tery_0014"	66	107	89	36	58	112	54	"    18.10"	"    16.46"	"    16.31"	"    11.86"	"    10.53"	"    20.06"	"    15.22"	" 4.26"	" 4.13"	" 4.11"	" 3.68"	" 3.53"	" 4.40"	" 4.02"	"Tery_0014"	"gene13"	"CDS"	22680	23072	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_4269 hypothetical protein"	"NCBI_GP:ABG49539.1"
"Tery_0015"	78	125	89	48	120	88	51	"    21.39"	"    19.23"	"    16.31"	"    15.81"	"    21.80"	"    15.76"	"    14.38"	" 4.48"	" 4.34"	" 4.11"	" 4.07"	" 4.51"	" 4.07"	" 3.94"	"Tery_0015"	"gene14"	"CDS"	23799	24329	"-"	"CP000393.1"	"pentapeptide repeat"	"PFAM: pentapeptide repeat~KEGG: ana:all0664 WD-40 repeat protein"	"InterPro:IPR001646,NCBI_GP:ABG49540.1"
"Tery_0017"	1017	1250	1346	886	1739	768	634	"   278.91"	"   192.29"	"   246.63"	"   291.91"	"   315.85"	"   137.58"	"   178.72"	" 8.13"	" 7.59"	" 7.95"	" 8.19"	" 8.31"	" 7.11"	" 7.49"	"Tery_0017"	"gene16"	"CDS"	24984	25247	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49541.1"
