""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_1885"	2411.21956763276	3.71518170942632	0.340150453498424	10.9221718542954	9.0310040836248e-28	4.70289537654761e-25	6450	5001	5059	99	149	336	408	"  1768.91"	"   769.30"	"   926.97"	"    32.62"	"    27.06"	"    60.19"	"   115.01"	"10.7887"	" 9.5874"	" 9.8564"	" 5.0280"	" 4.7588"	" 5.9117"	" 6.8457"	"Tery_1885"	"gene1896"	"CDS"	2883011	2883310	"+"	"CP000393.1"	"4Fe-4S ferredoxin%2C iron-sulfur binding"	"PFAM: 4Fe-4S ferredoxin%2C iron-sulfur binding~KEGG: ava:Ava_0445 4Fe-4S ferredoxin%2C iron-sulfur binding"	"InterPro:IPR001450,NCBI_GP:ABG51141.1"
"Tery_4282"	5187.10469189675	1.40403515962646	0.270713231531024	5.1864297570012	2.14363823466554e-07	3.57215875424665e-05	7047	10717	10381	2224	2002	4236	2182	"  1932.64"	"  1648.59"	"  1902.13"	"   732.74"	"   363.62"	"   758.84"	"   615.07"	"10.9164"	"10.6870"	"10.8934"	" 9.5172"	" 8.5063"	" 9.5677"	" 9.2646"	"Tery_4282"	"gene4324"	"CDS"	6602856	6603398	"+"	"CP000393.1"	"Ferritin and Dps"	"PFAM: Ferritin and Dps~KEGG: ava:Ava_1894 ferritin and Dps"	"InterPro:IPR002024,InterPro:IPR002177,InterPro:IPR008331,InterPro:IPR009040,NCBI_GP:ABG53279.1"
"Tery_3062"	56.8826632376994	1.97424427456244	0.382538582222287	5.16090236726825	2.45762333046794e-07	3.93786876720363e-05	114	116	119	7	10	24	28	"    31.26"	"    17.84"	"    21.80"	"     2.31"	"     1.82"	"     4.30"	"     7.89"	" 4.9669"	" 4.1582"	" 4.4472"	" 1.2118"	" 0.8689"	" 2.1075"	" 2.9824"	"Tery_3062"	"gene3088"	"CDS"	4721367	4721714	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: syf:Synpcc7942_2401 molecular chaperon"	"NCBI_GP:ABG52206.1"
"Tery_3063"	57.8315052857663	2.02278346921915	0.40944743181816	4.94027636279691	7.80119215299136e-07	0.00012036950559023	96	130	147	4	9	16	34	"    26.33"	"    20.00"	"    26.94"	"     1.32"	"     1.63"	"     2.87"	"     9.58"	" 4.7191"	" 4.3225"	" 4.7520"	" 0.4091"	" 0.7178"	" 1.5242"	" 3.2621"	"Tery_3063"	"gene3089"	"CDS"	4722059	4722535	"+"	"CP000393.1"	"heat shock protein Hsp20"	"PFAM: heat shock protein Hsp20~KEGG: ava:Ava_C0143 heat shock protein HSP20"	"InterPro:IPR002068,NCBI_GP:ABG52207.1"
"Tery_0847"	1362.78180237484	1.2842487130694	0.260385236591168	4.9321103219297	8.1345948503552e-07	0.000121031150523499	1379	4202	2870	142	378	1269	692	"   378.19"	"   646.39"	"   525.88"	"    46.78"	"    68.66"	"   227.33"	"   195.06"	" 8.5630"	" 9.3363"	" 9.0386"	" 5.5483"	" 6.1015"	" 7.8287"	" 7.6079"	"Tery_0847"	"gene853"	"CDS"	1341178	1343412	"-"	"CP000393.1"	"methionine synthase (B12-independent)"	"PFAM: Methionine synthase%2C vitamin-B12 independent Cobalamin-independent synthase MetE-like~KEGG: cya:CYA_0148 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"	"InterPro:IPR002629,InterPro:IPR013215,NCBI_GP:ABG50257.1"
"Tery_4138"	23275.6606217579	1.14583121659954	0.233701019361264	4.90297911293346	9.43940246878421e-07	0.000135601898913638	35772	39961	47842	5777	9079	18703	14387	"  9810.47"	"  6147.16"	"  8766.19"	"  1903.33"	"  1649.00"	"  3350.47"	"  4055.49"	"13.2601"	"12.5857"	"13.0977"	"10.8943"	"10.6874"	"11.7102"	"11.9857"	"Tery_4138"	"gene4178"	"CDS"	6383569	6385107	"+"	"CP000393.1"	"nitrogenase molybdenum-iron protein beta chain"	"KEGG: ana:all1440 nitrogenase molybdenum-iron protein beta chain~TIGRFAM: nitrogenase molybdenum-iron protein beta chain~PFAM: oxidoreductase/nitrogenase%2C component 1"	"InterPro:IPR000318,InterPro:IPR000510,InterPro:IPR005976,NCBI_GP:ABG53146.1"
"Tery_3064"	175.695913857044	1.96186998457068	0.402291333806647	4.87673936698228	1.07853789707227e-06	0.000149772962640102	361	342	359	33	21	59	95	"    99.00"	"    52.61"	"    65.78"	"    10.87"	"     3.81"	"    10.57"	"    26.78"	" 6.6296"	" 5.7175"	" 6.0398"	" 3.4439"	" 1.9352"	" 3.4032"	" 4.7436"	"Tery_3064"	"gene3090"	"CDS"	4722704	4723204	"+"	"CP000393.1"	"heat shock protein Hsp20"	"PFAM: heat shock protein Hsp20~KEGG: ava:Ava_3076 heat shock protein HSP20"	"InterPro:IPR002068,NCBI_GP:ABG52208.1"
"Tery_2560"	105.959485901289	1.24885264389279	0.273662750428938	4.56347326019102	5.03142207449099e-06	0.00063517892007059	136	210	153	56	106	76	48	"    37.30"	"    32.30"	"    28.03"	"    18.45"	"    19.25"	"    13.61"	"    13.53"	" 5.2214"	" 5.0141"	" 4.8096"	" 4.2063"	" 4.2677"	" 3.7682"	" 3.7592"	"Tery_2560"	"gene2581"	"CDS"	3956896	3957825	"-"	"CP000393.1"	"Tetratricopeptide TPR_2"	"PFAM: TPR repeat Tetratricopeptide TPR_2~SMART: Tetratricopeptide region~KEGG: ava:Ava_B0147 TPR repeat"	"InterPro:IPR001440,InterPro:IPR013026,InterPro:IPR013105,NCBI_GP:ABG51760.1"
"Tery_3061"	64.4459432896028	1.81976465193261	0.412221938683365	4.41452645083599	1.01231338654782e-05	0.00117147154676617	124	125	156	2	3	22	42	"    34.01"	"    19.23"	"    28.58"	"     0.66"	"     0.54"	"     3.94"	"    11.84"	" 5.0882"	" 4.2659"	" 4.8377"	"-0.5801"	"-0.8497"	" 1.9823"	" 3.5667"	"Tery_3061"	"gene3087"	"CDS"	4720723	4721199	"+"	"CP000393.1"	"heat shock protein Hsp20"	"PFAM: heat shock protein Hsp20~KEGG: ava:Ava_C0143 heat shock protein HSP20"	"InterPro:IPR002068,NCBI_GP:ABG52205.1"
"Tery_0041"	237.099269944091	1.06542932303152	0.251531715408327	4.23576534395253	2.2777454950341e-05	0.00243309941854156	349	432	383	91	155	230	113	"    95.71"	"    66.45"	"    70.18"	"    29.98"	"    28.15"	"    41.20"	"    31.85"	" 6.5808"	" 6.0545"	" 6.1331"	" 4.9065"	" 4.8157"	" 5.3650"	" 4.9938"	"Tery_0041"	"gene40"	"CDS"	64428	64763	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr3811 hypothetical protein"	"NCBI_GP:ABG49559.1"
