#chromosome	start	end	baseMean_HFe
CP000393.1	6602327	6602572	163.42100045691998
CP000393.1	2534182	2535216	598.149022477613
CP000393.1	2531396	2532139	292.68306307658503
CP000393.1	2530383	2530733	9.34568088175516
CP000393.1	6601516	6602184	1083.74916174019
CP000393.1	1318857	1319852	179.568047788814
CP000393.1	2529480	2530019	6.46222391726205
CP000393.1	2568704	2569144	25.066534811072696
CP000393.1	5213167	5213691	98.53645946660141
CP000393.1	4928195	4929331	229.738540895708
CP000393.1	1318026	1318814	149.949780873181
CP000393.1	431615	432115	1062.2442579833
CP000393.1	2532407	2532922	5077.2136021632705
CP000393.1	641535	642221	697.0676178068339
CP000393.1	3472646	3473185	37.3854180931214
CP000393.1	256583	257716	201.39960075000099
CP000393.1	5170315	5170887	4164.3690753478
CP000393.1	5163224	5164828	536.724833533439
CP000393.1	430086	430994	766.8560796052279
CP000393.1	7096147	7097130	2255.70755711479
CP000393.1	428293	429981	1881.23647172965
CP000393.1	2392917	2393282	1338.16523034621
CP000393.1	2521887	2523671	80.2023621278118
CP000393.1	427229	427843	623.689795722581
CP000393.1	1636298	1636651	17143.2643668853
CP000393.1	5165518	5166480	616.885636725288
CP000393.1	425178	426698	517.043214020229
CP000393.1	2322739	2323605	4187.01136694894
CP000393.1	6423763	6424380	572.412406014624
CP000393.1	5647774	5648262	78.3493419549589
CP000393.1	3047084	3047227	541.914025347318
CP000393.1	3825145	3825366	2.6388069098103197
CP000393.1	431013	431618	492.423928513082
CP000393.1	2321453	2322700	3625.01525540151
CP000393.1	504317	505921	904.274174296265
CP000393.1	3963239	3963814	211.29266497215
CP000393.1	2783783	2785003	7729.241534311791
CP000393.1	7609930	7610943	230.219735566123
CP000393.1	2319290	2320687	4481.41125055276
CP000393.1	2897004	2898995	859.7617722837421
CP000393.1	4056388	4057014	195.22936235267503
CP000393.1	4307061	4311179	517.8609981259381
CP000393.1	3958010	3958405	1077.3073146445
CP000393.1	1027704	1029122	184.79455634840699
CP000393.1	5920770	5922191	7587.953169926271
CP000393.1	3791090	3792550	925.1510952027589
CP000393.1	6712499	6712870	141.67413246581
CP000393.1	4059509	4061926	685.905652405391
CP000393.1	5977433	5977909	1164.8814632210401
CP000393.1	3314390	3315124	2677.57149768137
CP000393.1	4627682	4629046	37.8890115689453
CP000393.1	6713061	6713747	225.610427349326
CP000393.1	7095389	7096027	6254.98972501338
CP000393.1	2391936	2392385	603.5356093521799
CP000393.1	506652	507881	133.176964122046
CP000393.1	5900218	5901993	59.32506257604221
CP000393.1	3711695	3712375	321.740974448777
CP000393.1	212926	214536	460.58926305229403
CP000393.1	3935162	3935752	926.108833215602
CP000393.1	6609186	6609947	745.2140557153509
CP000393.1	3659861	3660556	558.145211286222
CP000393.1	4629834	4630664	87.54538762833108
CP000393.1	6486600	6487574	441.48194853319
CP000393.1	2582888	2583367	542.4688198037439
CP000393.1	4054788	4055312	48.5603991789087
CP000393.1	4640787	4641197	3275.03817393055
CP000393.1	1105112	1105870	2151.82285698773
CP000393.1	3712586	3713398	509.72222167484495
CP000393.1	6422438	6423289	467.754275556289
CP000393.1	1977141	1978658	2552.65135926677
CP000393.1	297094	297624	254.085904287334
CP000393.1	1086982	1089591	972.9020528978349
CP000393.1	1712154	1715477	379.008693792909
CP000393.1	7320747	7322795	120.72237334163201
CP000393.1	5171618	5172202	220.026273459258
CP000393.1	359583	361217	848.409143857872
CP000393.1	6373903	6374769	1863.3003726884601
CP000393.1	7698675	7699313	617.093692595324
CP000393.1	2687863	2688063	1674.2325145079599
CP000393.1	973082	974287	1250.60201250255
CP000393.1	1715631	1719581	649.461276075235
CP000393.1	3861798	3862712	1851.9439942566
CP000393.1	6468582	6470834	535.224459222596
CP000393.1	4637845	4638954	1998.74766593429
CP000393.1	4510029	4510775	266.777285618218
CP000393.1	5161799	5162062	268.182945523424
CP000393.1	5974812	5977262	533.36534910329
CP000393.1	1562383	1562916	39601.5700336679
CP000393.1	2899102	2902572	3236.139478764
CP000393.1	1312665	1313972	13.7335888838618
CP000393.1	7100809	7101771	620.716086209664
CP000393.1	7439656	7440087	788.315402199133
CP000393.1	5158360	5158881	59.8558018996688
CP000393.1	772170	774218	1788.9580133689499
CP000393.1	6106686	6106904	3541.5330528034
CP000393.1	2508813	2509298	471.88488996714403
CP000393.1	3353978	3355360	2517.72007279974
CP000393.1	6373632	6373910	508.011939204468
CP000393.1	3956896	3957825	159.721535435811
CP000393.1	4384041	4384712	469.061964865041
CP000393.1	4835143	4836300	2130.9279079581
CP000393.1	4576166	4577068	257.971278792975
CP000393.1	7169309	7170043	980.8093539569
CP000393.1	4196545	4197528	3876.2100261687397
CP000393.1	6511382	6511732	52.1538251545765
CP000393.1	102724	103299	2179.57821153262
CP000393.1	5471840	5472277	37.2163245801685
CP000393.1	6821260	6822414	1074.1970465863
CP000393.1	5162136	5162609	322.198732075073
CP000393.1	2902686	2905277	4455.3198185988595
CP000393.1	5285155	5294736	142.749068694253
CP000393.1	5160194	5161171	126.298526265138
CP000393.1	675849	677618	3686.49381650021
CP000393.1	2416673	2417824	1228.83360323195
CP000393.1	1076583	1078646	1676.9722630075303
CP000393.1	4986242	4987276	609.274443660874
CP000393.1	4774821	4776155	238.62788978696702
CP000393.1	4174532	4176070	290.041905516466
CP000393.1	4022248	4023663	466.892634103586
CP000393.1	1172915	1173760	72.74919262926541
CP000393.1	7704154	7704384	199.29043619449502
CP000393.1	2294607	2296907	3749.9038295738897
CP000393.1	219182	219649	4808.0471724435
CP000393.1	2493403	2494218	1242.91170853774
CP000393.1	4820301	4822412	527.865192351714
CP000393.1	3436077	3437288	693.859794787419
CP000393.1	1154358	1157420	499.516906074904
CP000393.1	6073309	6073470	50.3969167973452
CP000393.1	5053846	5054205	83.767201370563
CP000393.1	3976704	3978320	429.527144443863
CP000393.1	682941	683198	484.65774809804606
CP000393.1	6249775	6250944	488.257897351995
CP000393.1	1359705	1361627	1216.4291012135
CP000393.1	4166810	4167943	164.183014985779
CP000393.1	3375683	3376036	24.531884230321303
CP000393.1	2565356	2565520	236.114789171944
CP000393.1	1446531	1447538	361.97800884930604
CP000393.1	4170843	4171718	874.583933423383
CP000393.1	3933902	3935035	92.83275671679189
CP000393.1	6487704	6487964	325.08615253596804
CP000393.1	7263602	7263862	1059.42939483886
CP000393.1	7051997	7054231	410.077664159304
CP000393.1	285862	287871	434.350448256819
CP000393.1	3659573	3659785	112.384767436071
CP000393.1	5229829	5231175	125.436086017129
CP000393.1	6549951	6551546	51.180008968201896
CP000393.1	3489738	3490052	457.36761906189497
CP000393.1	1942378	1942674	16.972952119700903
CP000393.1	4646309	4646422	768.554919986913
CP000393.1	498095	498529	2049.19330685506
CP000393.1	2843174	2843704	262.24354919246497
CP000393.1	4655520	4655879	2220.5896431046303
CP000393.1	3907419	3909845	976.359257765013
CP000393.1	5159483	5159773	84.55836199040749
CP000393.1	5468356	5468850	2968.3906666186303
CP000393.1	2144836	2145510	79.6300638682219
CP000393.1	4966841	4967251	1096.38586623886
CP000393.1	272764	274590	179.977618915272
CP000393.1	7317337	7317684	592.979321727413
CP000393.1	310956	311729	657.201908245414
CP000393.1	2711932	2713704	1065.76463704586
CP000393.1	3376185	3377561	81.5844282772328
CP000393.1	4631340	4632689	508.47076557427005
CP000393.1	4845808	4846593	508.652987995767
CP000393.1	5918586	5919080	577.016690761827
CP000393.1	6484797	6485912	258.436007898937
CP000393.1	214536	215744	302.431598297851
CP000393.1	4966377	4966664	2343.9139611936
CP000393.1	6371022	6371294	451.27154855429603
CP000393.1	3471091	3472485	218.06836344956298
CP000393.1	4625247	4626683	51.0596918056167
CP000393.1	6600206	6601207	61.1681707683897
CP000393.1	498617	499183	244.523204576841
CP000393.1	6879044	6879727	312.42882104396
CP000393.1	3895366	3898830	443.33768501279195
CP000393.1	1760505	1761014	223.853257808042
CP000393.1	1738000	1738806	376.513580098712
CP000393.1	2415284	2416402	3017.7566635005
CP000393.1	683916	684992	789.6113272440491
CP000393.1	3837647	3841321	535.753960114551
CP000393.1	5559755	5560525	936.4246802168269
CP000393.1	3859190	3859936	162.721361315802
CP000393.1	1165895	1167805	1567.89270128867
CP000393.1	4780564	4781691	1540.70374030918
CP000393.1	4645837	4646220	2346.3797393507
CP000393.1	1543881	1544885	284.811141783956
CP000393.1	3346524	3347168	247.689220458908
CP000393.1	3462170	3462343	3657.77395068541
CP000393.1	1341178	1343412	2539.2836648936604
CP000393.1	1866982	1867335	3779.731900189
CP000393.1	5168831	5170021	183.040671223754
CP000393.1	5608746	5609231	46046.5000369379
CP000393.1	3650672	3650887	685.6713039887819
CP000393.1	5547340	5548521	244.396631998157
CP000393.1	666287	669340	117.26502052077
CP000393.1	4777278	4778384	1121.60451961299
CP000393.1	7129472	7130017	371.279242533536
CP000393.1	931529	932113	2786.38532070976
CP000393.1	1340262	1340720	145.949791754319
CP000393.1	4641197	4641652	1345.31704222222
CP000393.1	407544	407945	7412.15676818272
CP000393.1	3919312	3920388	440.13777599734595
CP000393.1	7167561	7168823	18466.9762766366
CP000393.1	2561721	2562938	200.759433491914
CP000393.1	716384	717634	1586.42978754044
CP000393.1	5650391	5652385	164.273752918514
CP000393.1	7170231	7171403	2585.95973856874
CP000393.1	4656467	4657330	4122.1546816687605
CP000393.1	7703059	7704045	244.846941524624
CP000393.1	4964016	4965701	2215.5036105425
CP000393.1	7707694	7708563	2046.6961799350102
CP000393.1	4656018	4656293	3136.14482652599
CP000393.1	7705715	7705858	33.9996888162161
CP000393.1	4827852	4828892	687.398415413406
CP000393.1	1636808	1638328	22012.153693626
CP000393.1	4642259	4643077	13382.9396775206
CP000393.1	7336544	7337947	106.67516843526899
CP000393.1	5173187	5174044	235.535989561516
CP000393.1	679466	679681	661.850962365286
CP000393.1	56599	56982	705.877662102238
CP000393.1	2300636	2301247	1213.6587005158901
CP000393.1	2563253	2564455	423.29347067327103
CP000393.1	408165	408737	1889.9694296899104
CP000393.1	6152058	6153338	710.9400026435851
CP000393.1	2097863	2098603	52.7872821170502
CP000393.1	1881938	1882150	40.0403619009075
CP000393.1	1561195	1561689	43837.622934445695
CP000393.1	669642	675599	3719.32116886189
CP000393.1	1137030	1138022	204.850713404078
CP000393.1	262379	262978	100.86669557031999
CP000393.1	5273214	5274002	210.53313605844798
CP000393.1	1138145	1139647	214.666027145853
CP000393.1	2713791	2714810	721.755137968919
CP000393.1	6897392	6900367	97.8819988420561
CP000393.1	311780	312592	501.70271765012706
CP000393.1	5401277	5401999	1182.81699189187
CP000393.1	6284592	6284990	811.255329642628
CP000393.1	4319925	4320788	515.0925149397721
CP000393.1	7704492	7705079	283.65561904668897
CP000393.1	3487893	3488798	640.02899271196
CP000393.1	4564109	4566127	1194.52033764368
CP000393.1	3031977	3033209	832.9012952759241
CP000393.1	2427881	2428261	55.3938152309091
CP000393.1	3321810	3322571	134.046114665669
CP000393.1	4657692	4658330	1668.9939022835401
CP000393.1	230297	232696	201.334687501657
CP000393.1	2695073	2697295	329.706552434331
CP000393.1	2517954	2520014	8.278813102300349
CP000393.1	2048695	2049441	474.50905310337004
CP000393.1	6765304	6766785	369.405344911648
CP000393.1	2580918	2581874	282.26171465350603
