""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_1686"	200.589761198393	-2.0866284167008	0.292457905668115	-7.13479914975774	9.69285902921872e-13	3.08039059948571e-09	22	33	23	371	635	192	73	"     6.03"	"     5.08"	"     4.21"	"   122.23"	"   115.33"	"    34.40"	"    20.58"	" 2.5954"	" 2.3466"	" 2.0787"	" 6.9336"	" 6.8498"	" 5.1045"	" 4.3637"	"Tery_1686"	"gene1696"	"CDS"	2568704	2569144	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr1356 hypothetical protein"	"NCBI_GP:ABG50957.1"
"Tery_0847"	1362.78180237484	1.87352229780488	0.292142519375951	6.41304217478144	1.42644036671564e-10	2.26661374271114e-07	1379	4202	2870	142	378	1269	692	"   378.19"	"   646.39"	"   525.88"	"    46.78"	"    68.66"	"   227.33"	"   195.06"	" 8.5630"	" 9.3363"	" 9.0386"	" 5.5483"	" 6.1015"	" 7.8287"	" 7.6079"	"Tery_0847"	"gene853"	"CDS"	1341178	1343412	"-"	"CP000393.1"	"methionine synthase (B12-independent)"	"PFAM: Methionine synthase%2C vitamin-B12 independent Cobalamin-independent synthase MetE-like~KEGG: cya:CYA_0148 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"	"InterPro:IPR002629,InterPro:IPR013215,NCBI_GP:ABG50257.1"
"Tery_1046"	25349.2545798152	-1.3665108120327	0.223570453986823	-6.1122155797619	9.82573248279696e-10	1.04087259434429e-06	14892	19343	18674	32325	54259	23717	12949	"  4084.13"	"  2975.51"	"  3421.68"	" 10650.04"	"  9854.95"	"  4248.69"	"  3650.14"	"11.9958"	"11.5389"	"11.7405"	"13.3786"	"13.2666"	"12.0528"	"11.8337"	"Tery_1046"	"gene1052"	"CDS"	1636298	1636651	"-"	"CP000393.1"	"protein of unknown function DUF1257"	"PFAM: protein of unknown function DUF1257~KEGG: ava:Ava_4766 protein of unknown function DUF1257"	"InterPro:IPR009666,NCBI_GP:ABG50418.1"
"Tery_1663"	298.03931301358	-1.64361511574584	0.294493662378726	-5.58115615280069	2.38925012526028e-08	1.89825922451929e-05	4	9	8	460	1061	379	146	"     1.10"	"     1.38"	"     1.47"	"   151.56"	"   192.71"	"    67.89"	"    41.16"	" 0.1467"	" 0.4797"	" 0.5616"	" 7.2438"	" 7.5903"	" 6.0854"	" 5.3634"	"Tery_1663"	"gene1673"	"CDS"	2529480	2530019	"-"	"CP000393.1"	"putative transcriptional regulator%2C Crp/Fnr family"	"PFAM: regulatory protein%2C Crp~KEGG: ana:all4500 transcriptional regulator"	"InterPro:IPR001808,InterPro:IPR012318,NCBI_GP:ABG50934.1"
"Tery_1657"	122.797637838762	-1.46584102812533	0.273905753452518	-5.35162554874716	8.71676283855259e-08	5.54037446018402e-05	64	95	92	155	283	102	66	"    17.55"	"    14.61"	"    16.86"	"    51.07"	"    51.40"	"    18.27"	"    18.60"	" 4.1344"	" 3.8702"	" 4.0762"	" 5.6746"	" 5.6840"	" 4.1924"	" 4.2184"	"Tery_1657"	"gene1667"	"CDS"	2521887	2523671	"-"	"CP000393.1"	"TPR repeat"	"PFAM: TPR repeat Tetratricopeptide TPR_2~SMART: Tetratricopeptide region~KEGG: pmt:PMT0296 TPR repeat"	"InterPro:IPR001023,InterPro:IPR001440,InterPro:IPR013026,InterPro:IPR013105,NCBI_GP:ABG50930.1"
"Tery_1664"	496.60858829232	-1.59066684607986	0.302515828309013	-5.25812766548872	1.45529479980675e-07	5.78115859223232e-05	10	11	7	771	1734	669	239	"     2.74"	"     1.69"	"     1.28"	"   254.02"	"   314.94"	"   119.85"	"    67.37"	" 1.4607"	" 0.7673"	" 0.3703"	" 7.9889"	" 8.2990"	" 6.9051"	" 6.0743"	"Tery_1664"	"gene1674"	"CDS"	2530383	2530733	"-"	"CP000393.1"	"hypothetical protein"	"KEGG: ava:Ava_3337 hypothetical protein"	"NCBI_GP:ABG50935.1"
"Tery_3822"	2801.95141311588	-1.84817281194119	0.34865990862116	-5.30078958389602	1.15302918028862e-07	5.78115859223232e-05	984	1254	873	4846	7079	3108	845	"   269.86"	"   192.90"	"   159.96"	"  1596.60"	"  1285.74"	"   556.77"	"   238.19"	" 8.0761"	" 7.5918"	" 7.3217"	"10.6408"	"10.3284"	" 9.1210"	" 7.8960"	"Tery_3822"	"gene3859"	"CDS"	5887337	5891401	"+"	"CP000393.1"	"beta-ketoacyl synthase"	"PFAM: beta-ketoacyl synthase  Thioesterase  acyl transferase region phosphopantetheine-binding~KEGG: ava:Ava_3986 short-chain dehydrogenase/reductase SDR"	"InterPro:IPR000379,InterPro:IPR000794,InterPro:IPR001031,InterPro:IPR001227,InterPro:IPR003965,InterPro:IPR006162,InterPro:IPR006163,NCBI_GP:ABG52866.1"
"Tery_4984"	871.750948631706	-1.09962216422764	0.208339358250803	-5.27803374964749	1.30577419598743e-07	5.78115859223232e-05	652	1069	898	812	1645	704	485	"   178.81"	"   164.44"	"   164.54"	"   267.53"	"   298.78"	"   126.12"	"   136.71"	" 7.4824"	" 7.3615"	" 7.3624"	" 8.0636"	" 8.2230"	" 6.9787"	" 7.0951"	"Tery_4984"	"gene5029"	"CDS"	7616499	7616936	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_B0254 hypothetical protein"	"NCBI_GP:ABG53898.1"
"Tery_1662"	79.0297871094994	-1.90463663242402	0.366332353721598	-5.1992039825985	2.00143790605794e-07	6.36056966545213e-05	17	19	22	147	213	85	26	"     4.66"	"     2.92"	"     4.03"	"    48.43"	"    38.69"	"    15.23"	"     7.33"	" 2.2241"	" 1.5523"	" 2.0147"	" 5.5982"	" 5.2741"	" 3.9295"	" 2.8756"	"Tery_1662"	"gene1672"	"CDS"	2528196	2528942	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_1216 hypothetical protein"	"NCBI_GP:ABG50933.1"
"Tery_2985"	1156.36600695507	1.36341060580642	0.26169404848262	5.20994120314117	1.88900485601082e-07	6.36056966545213e-05	754	1936	1730	423	704	2151	1053	"   206.78"	"   297.81"	"   316.99"	"   139.36"	"   127.87"	"   385.33"	"   296.83"	" 7.6921"	" 8.2183"	" 8.3083"	" 7.1228"	" 6.9986"	" 8.5900"	" 8.2135"	"Tery_2985"	"gene3011"	"CDS"	4641197	4641652	"-"	"CP000393.1"	"LSU ribosomal protein L13P"	"PFAM: ribosomal protein L13~KEGG: syn:sll1821 50S ribosomal protein L13"	"InterPro:IPR005822,InterPro:IPR005823,NCBI_GP:ABG52140.1"
