#chromosome	start	end	padj
CP000393.1	6602327	6602572	2.4117668389234895e-107
CP000393.1	2534182	2535216	5.185949732289148e-95
CP000393.1	2531396	2532139	9.024192506484658e-82
CP000393.1	2530383	2530733	1.8356780815591598e-76
CP000393.1	6601516	6602184	9.30484737031091e-72
CP000393.1	1318857	1319852	3.48886544975239e-64
CP000393.1	2529480	2530019	4.36183976180325e-61
CP000393.1	2568704	2569144	2.0638295129278697e-50
CP000393.1	5213167	5213691	4.70009445372939e-42
CP000393.1	4928195	4929331	1.34127852304721e-28
CP000393.1	1318026	1318814	6.68751904915505e-21
CP000393.1	431615	432115	3.4644917615336305e-17
CP000393.1	2532407	2532922	1.42262739891805e-16
CP000393.1	641535	642221	3.89850473558738e-15
CP000393.1	3472646	3473185	3.9531063836607905e-14
CP000393.1	256583	257716	1.44099674080456e-13
CP000393.1	5170315	5170887	2.2979398146041397e-13
CP000393.1	5163224	5164828	9.78361529229112e-13
CP000393.1	430086	430994	5.0827150068923e-12
CP000393.1	7096147	7097130	5.5356557330324406e-12
CP000393.1	428293	429981	5.53876256382809e-12
CP000393.1	2392917	2393282	2.53161511642512e-11
CP000393.1	2521887	2523671	3.9621031989786894e-11
CP000393.1	427229	427843	4.2449140382257293e-11
CP000393.1	1636298	1636651	8.70940416181155e-11
CP000393.1	5165518	5166480	9.54707726812442e-11
CP000393.1	425178	426698	1.97699452608819e-10
CP000393.1	2322739	2323605	2.5106516020303804e-10
CP000393.1	6423763	6424380	6.38350530010522e-10
CP000393.1	5647774	5648262	7.03203038438179e-10
CP000393.1	3047084	3047227	7.07169521925979e-10
CP000393.1	3825145	3825366	4.0001225253157795e-09
CP000393.1	431013	431618	4.03538298111377e-09
CP000393.1	2321453	2322700	4.3536888978387604e-09
CP000393.1	504317	505921	1.28397402811821e-08
CP000393.1	3963239	3963814	1.3460786418729699e-08
CP000393.1	2783783	2785003	3.58036279418235e-08
CP000393.1	7609930	7610943	1.1375676790070698e-07
CP000393.1	2319290	2320687	1.26438178129245e-07
CP000393.1	2897004	2898995	1.26438178129245e-07
CP000393.1	4056388	4057014	1.32025639535518e-07
CP000393.1	4307061	4311179	1.49107792361816e-07
CP000393.1	3958010	3958405	4.0942906582768897e-07
CP000393.1	1027704	1029122	4.38387675697132e-07
CP000393.1	5920770	5922191	1.14606961525438e-06
CP000393.1	3791090	3792550	1.43254531116485e-06
CP000393.1	6712499	6712870	2.3396818610884103e-06
CP000393.1	4059509	4061926	3.72358859730335e-06
CP000393.1	5977433	5977909	7.25268962913886e-06
CP000393.1	3314390	3315124	1.1544390366659699e-05
CP000393.1	4627682	4629046	1.66883098641609e-05
CP000393.1	6713061	6713747	3.0049188240044703e-05
CP000393.1	7095389	7096027	3.32930904641719e-05
CP000393.1	2391936	2392385	3.33191005470904e-05
CP000393.1	506652	507881	4.09065393571672e-05
CP000393.1	5900218	5901993	4.63106167752303e-05
CP000393.1	3711695	3712375	4.8013223079164295e-05
CP000393.1	212926	214536	6.0643374676791005e-05
CP000393.1	3935162	3935752	7.565901203000391e-05
CP000393.1	6609186	6609947	7.743355803206679e-05
CP000393.1	3659861	3660556	9.061178470856709e-05
CP000393.1	4629834	4630664	9.143461714359971e-05
CP000393.1	6486600	6487574	0.000101332862213968
CP000393.1	2582888	2583367	0.000103360971097663
CP000393.1	4054788	4055312	0.000115819916152733
CP000393.1	4640787	4641197	0.00011730376021898601
CP000393.1	1105112	1105870	0.000123192074092707
CP000393.1	3712586	3713398	0.00012574745869118202
CP000393.1	6422438	6423289	0.000129888413132554
CP000393.1	1977141	1978658	0.000152774585842924
CP000393.1	297094	297624	0.000154336715429316
CP000393.1	1086982	1089591	0.00017801206807245202
CP000393.1	1712154	1715477	0.00021040336719417802
CP000393.1	7320747	7322795	0.000214603601650837
CP000393.1	5171618	5172202	0.00022947102854652202
CP000393.1	359583	361217	0.00024114220204393398
CP000393.1	6373903	6374769	0.000262996063655985
