Geneid	Chr	Start	End	Strand	Length	HFe_d5_rep1	HFe_d5_rep2	HFe_d5_rep3	LFe_d5_rep1	LFe_d5_rep2	MFe_d5_rep1	MFe_d5_rep2
Tery_0001	CP000393.1	27	1397	+	1371	328	518	394	303	537	473	262
Tery_0002	CP000393.1	1489	1689	-	201	20	35	34	17	31	17	18
Tery_0006	CP000393.1	9478	9756	-	279	20	48	66	18	21	17	49
Tery_0008	CP000393.1	10371	10973	+	603	405	784	565	361	598	645	382
Tery_0010	CP000393.1	11838	12341	-	504	0	0	0	0	0	0	0
Tery_0011	CP000393.1	12895	15912	+	3018	208	320	217	114	239	343	147
Tery_0012	CP000393.1	17126	20872	+	3747	307	558	414	291	355	537	211
Tery_0013	CP000393.1	21246	22433	-	1188	638	1002	828	569	970	1078	566
Tery_0014	CP000393.1	22680	23072	-	393	66	107	89	36	58	112	54
Tery_0015	CP000393.1	23799	24329	-	531	78	125	89	48	120	88	51
Tery_0017	CP000393.1	24984	25247	-	264	1017	1250	1346	886	1739	768	634
Tery_0018	CP000393.1	25441	27636	-	2196	1126	1890	1749	1185	1894	2020	1329
Tery_0019	CP000393.1	28954	30639	+	1686	1190	2062	1834	683	1081	1366	1056
Tery_0020	CP000393.1	31434	32471	-	1038	26	58	52	25	43	40	28
Tery_0021	CP000393.1	33065	35353	+	2289	2003	3523	2675	1788	3357	2137	1859
Tery_0022	CP000393.1	36830	38158	+	1329	91	130	128	41	83	74	56
Tery_0023	CP000393.1	39907	40488	+	582	29	46	36	23	44	53	22
Tery_0024	CP000393.1	40836	41411	+	576	14	45	27	13	52	38	13
Tery_0025	CP000393.1	41475	41900	+	426	10	32	19	5	23	19	12
Tery_0027	CP000393.1	45501	48125	-	2625	1243	2287	1873	1164	2115	2355	1268
Tery_0028	CP000393.1	48918	49433	+	516	569	1080	1035	390	860	682	540
Tery_0031	CP000393.1	54556	55059	+	504	2	3	3	0	1	0	1
Tery_0033	CP000393.1	55816	56544	+	729	1016	2303	1833	784	1657	1832	1200
Tery_0034	CP000393.1	56599	56982	-	384	493	910	852	546	977	845	468
Tery_0035	CP000393.1	57894	58106	-	213	18	30	30	6	27	31	9
Tery_0037	CP000393.1	59088	59294	+	207	3	5	6	4	2	2	3
Tery_0039	CP000393.1	59829	60332	-	504	0	0	0	0	0	0	0
Tery_0040	CP000393.1	63117	63416	-	300	51	157	123	44	104	127	85
Tery_0041	CP000393.1	64428	64763	+	336	349	432	383	91	155	230	113
Tery_0043	CP000393.1	66565	67806	-	1242	165	255	255	111	186	226	148
Tery_0045	CP000393.1	68747	70330	-	1584	1429	2250	2315	1263	2468	2042	1555
Tery_0046	CP000393.1	71135	71347	+	213	29	75	59	30	56	30	44
Tery_0047	CP000393.1	71367	72836	+	1470	122	138	133	50	128	97	74
Tery_0049	CP000393.1	73445	73846	-	402	0	5	0	0	0	1	0
Tery_0050	CP000393.1	73849	74169	+	321	5	8	14	4	7	2	4
Tery_0051	CP000393.1	74354	74533	+	180	0	0	0	0	0	0	0
Tery_0053	CP000393.1	75227	75730	-	504	0	0	0	0	0	0	0
Tery_0054	CP000393.1	76285	76875	+	591	27	39	37	13	38	40	18
Tery_0056	CP000393.1	77526	78212	+	687	2	1	4	0	1	3	0
Tery_0057	CP000393.1	78349	81126	+	2778	48	85	69	40	74	62	40
Tery_0058	CP000393.1	81365	81982	-	618	67	145	136	61	121	105	64
Tery_0059	CP000393.1	82492	84570	-	2079	1949	4534	3816	1506	3315	2748	2371
Tery_0060	CP000393.1	84932	85924	+	993	515	947	751	402	752	961	519
Tery_0064	CP000393.1	90562	90864	-	303	15	38	21	16	29	28	10
Tery_0065	CP000393.1	92566	92754	-	189	26	30	18	13	30	14	11
Tery_0066	CP000393.1	92879	93088	-	210	29	48	33	28	63	37	16
Tery_0068	CP000393.1	94221	94430	+	210	2696	6654	4827	2729	7094	3131	2626
Tery_0069	CP000393.1	94683	96173	+	1491	1467	2969	2301	1276	2363	2570	1565
Tery_0070	CP000393.1	96964	97182	-	219	3	11	3	6	11	12	4
Tery_0071	CP000393.1	98280	99698	+	1419	357	714	601	262	408	732	396
Tery_0072	CP000393.1	100518	101846	+	1329	297	560	380	244	455	378	222
Tery_0073	CP000393.1	102724	103299	-	576	1518	2728	2706	791	1751	1723	1264
Tery_0075	CP000393.1	105037	105312	-	276	164	277	323	163	253	117	196
Tery_0076	CP000393.1	105879	106097	-	219	94	286	198	97	262	166	131
Tery_0077	CP000393.1	106852	107070	-	219	0	0	0	0	0	0	0
Tery_0078	CP000393.1	107825	108043	-	219	0	0	0	0	0	0	0
Tery_0079	CP000393.1	108798	109016	-	219	0	0	0	0	0	0	0
Tery_0080	CP000393.1	109771	110394	-	624	278	679	510	348	582	345	327
Tery_0081	CP000393.1	110607	111539	-	933	56	77	53	47	72	69	52
Tery_0082	CP000393.1	113289	115082	-	1794	241	467	390	328	388	593	243
Tery_0084	CP000393.1	115731	115994	-	264	2	3	5	0	1	2	2
Tery_0085	CP000393.1	116114	116977	+	864	27	70	48	39	60	53	32
Tery_0087	CP000393.1	119376	121190	+	1815	354	652	594	371	514	827	441
Tery_0088	CP000393.1	122033	123379	-	1347	53	74	52	38	55	47	35
Tery_0089	CP000393.1	124516	125490	+	975	434	823	618	467	783	961	432
Tery_0090	CP000393.1	125895	127244	+	1350	258	480	375	271	425	565	258
Tery_0091	CP000393.1	127898	128116	+	219	20	24	23	8	18	15	9
