""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_1885"	2411.21956763276	135.928678727004	5267.50592844498	402.080915320178	5.28034128630804	0.349019675635713	15.1290647918067	1.04165179982584e-51	4.7811817612006e-49	6450	5001	5059	99	149	336	408	"  1768.91"	"   769.30"	"   926.97"	"    32.62"	"    27.06"	"    60.19"	"   115.01"	"10.79"	" 9.59"	" 9.86"	" 5.07"	" 4.81"	" 5.94"	" 6.86"	"Tery_1885"	"gene1896"	"CDS"	2883011	2883310	"+"	"CP000393.1"	"4Fe-4S ferredoxin%2C iron-sulfur binding"	"PFAM: 4Fe-4S ferredoxin%2C iron-sulfur binding~KEGG: ava:Ava_0445 4Fe-4S ferredoxin%2C iron-sulfur binding"	"InterPro:IPR001450,NCBI_GP:ABG51141.1"
"Tery_0847"	1362.78180237484	262.960108764054	2358.81323356683	968.55634919763	3.15777101087444	0.266846810357837	11.8336472024527	2.61526069630509e-32	8.00269773069358e-30	1379	4202	2870	142	378	1269	692	"   378.19"	"   646.39"	"   525.88"	"    46.78"	"    68.66"	"   227.33"	"   195.06"	" 8.57"	" 9.34"	" 9.04"	" 5.58"	" 6.12"	" 7.83"	" 7.62"	"Tery_0847"	"gene853"	"CDS"	1341178	1343412	"-"	"CP000393.1"	"methionine synthase (B12-independent)"	"PFAM: Methionine synthase%2C vitamin-B12 independent Cobalamin-independent synthase MetE-like~KEGG: cya:CYA_0148 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"	"InterPro:IPR002629,InterPro:IPR013215,NCBI_GP:ABG50257.1"
"Tery_4138"	23275.6606217579	8090.97873803586	37590.3134486934	16988.3632650767	2.21606490511347	0.23388252271738	9.47511972834041	2.66454960945409e-21	5.14959271890285e-19	35772	39961	47842	5777	9079	18703	14387	"  9810.47"	"  6147.16"	"  8766.19"	"  1903.33"	"  1649.00"	"  3350.47"	"  4055.49"	"13.26"	"12.59"	"13.10"	"10.90"	"10.69"	"11.71"	"11.99"	"Tery_4138"	"gene4178"	"CDS"	6383569	6385107	"+"	"CP000393.1"	"nitrogenase molybdenum-iron protein beta chain"	"KEGG: ana:all1440 nitrogenase molybdenum-iron protein beta chain~TIGRFAM: nitrogenase molybdenum-iron protein beta chain~PFAM: oxidoreductase/nitrogenase%2C component 1"	"InterPro:IPR000318,InterPro:IPR000510,InterPro:IPR005976,NCBI_GP:ABG53146.1"
"Tery_4141"	1260.68849273121	508.537142051851	1840.04126542858	1143.81068436451	1.85204005820164	0.223850659834347	8.27355192775475	1.30026133101929e-16	1.98939983645952e-14	1826	2267	1968	316	656	1382	891	"   500.78"	"   348.73"	"   360.60"	"   104.11"	"   119.15"	"   247.57"	"   251.16"	" 8.97"	" 8.45"	" 8.50"	" 6.72"	" 6.91"	" 7.96"	" 7.98"	"Tery_4141"	"gene4181"	"CDS"	6388944	6389414	"+"	"CP000393.1"	"protein of unknown function DUF269"	"PFAM: protein of unknown function DUF269~KEGG: ava:Ava_4253 protein of unknown function DUF269"	"InterPro:IPR004952,NCBI_GP:ABG53149.1"
"Tery_0280"	637.163241935465	245.473905823666	987.440053001901	503.437361447608	2.00388772357188	0.245603120869103	8.15904829092084	3.3767463120863e-16	4.76900479153111e-14	883	1175	1236	154	314	490	467	"   242.16"	"   180.75"	"   226.47"	"    50.74"	"    57.03"	"    87.78"	"   131.64"	" 7.93"	" 7.51"	" 7.83"	" 5.69"	" 5.86"	" 6.47"	" 7.05"	"Tery_0280"	"gene283"	"CDS"	431615	432115	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_B0181 hypothetical protein"	"NCBI_GP:ABG49762.1"
"Tery_4133"	8086.24021070469	3020.22982941057	11914.2486895092	7410.23787379198	1.98012670963333	0.246557615140108	8.03109126646975	9.66094493015106e-16	1.31388851050054e-13	12159	12802	13821	2162	3379	7884	6449	"  3334.61"	"  1969.32"	"  2532.45"	"   712.31"	"   613.72"	"  1412.35"	"  1817.88"	"11.70"	"10.94"	"11.31"	" 9.48"	" 9.26"	"10.46"	"10.83"	"Tery_4133"	"gene4173"	"CDS"	6375963	6377432	"+"	"CP000393.1"	"nitrogenase cofactor biosynthesis protein NifB"	"TIGRFAM: nitrogenase cofactor biosynthesis protein NifB~PFAM: Dinitrogenase iron-molybdenum cofactor biosynthesis  Radical SAM~KEGG: ava:Ava_3912 nitrogenase cofactor biosynthesis protein NifB"	"InterPro:IPR000385,InterPro:IPR003731,InterPro:IPR005980,InterPro:IPR007197,NCBI_GP:ABG53141.1"
"Tery_3963"	1803.09520373301	836.007471594218	2539.46128224874	1665.63381809819	1.60235295173975	0.2020662598815	7.92983921550997	2.19429794729074e-15	2.87766502230414e-13	2361	3112	2968	560	1005	2018	1294	"   647.50"	"   478.72"	"   543.83"	"   184.50"	"   182.54"	"   361.51"	"   364.76"	" 9.34"	" 8.91"	" 9.09"	" 7.54"	" 7.52"	" 8.50"	" 8.51"	"Tery_3963"	"gene4001"	"CDS"	6126370	6127230	"+"	"CP000393.1"	"Aldose 1-epimerase"	"PFAM: Aldose 1-epimerase~KEGG: ava:Ava_4277 aldose 1-epimerase"	"InterPro:IPR008183,NCBI_GP:ABG52988.1"
"Tery_4136"	30722.431022931	11464.6834512723	47114.7237445712	25391.7395121295	2.0391724226871	0.258167320082096	7.89864659105053	2.8194805186037e-15	3.57004567734924e-13	46818	49669	57351	9213	11003	29046	20813	" 12839.84"	"  7640.53"	" 10508.54"	"  3035.38"	"  1998.45"	"  5203.33"	"  5866.89"	"13.65"	"12.90"	"13.36"	"11.57"	"10.97"	"12.35"	"12.52"	"Tery_4136"	"gene4176"	"CDS"	6380808	6381698	"+"	"CP000393.1"	"nitrogenase iron protein subunit NifH"	"KEGG: ava:Ava_3916 nitrogenase iron protein~TIGRFAM: nitrogenase iron protein~PFAM: NifH/frxC"	"InterPro:IPR000392,InterPro:IPR002110,InterPro:IPR005977,NCBI_GP:ABG53144.1"
"Tery_3064"	175.695913857044	33.4452920440443	330.502614477093	85.7364847399694	3.3630171060836	0.431003917061861	7.80275299818427	6.05710329990743e-15	7.4138944390867e-13	361	342	359	33	21	59	95	"    99.00"	"    52.61"	"    65.78"	"    10.87"	"     3.81"	"    10.57"	"    26.78"	" 6.64"	" 5.74"	" 6.06"	" 3.57"	" 2.27"	" 3.53"	" 4.80"	"Tery_3064"	"gene3090"	"CDS"	4722704	4723204	"+"	"CP000393.1"	"heat shock protein Hsp20"	"PFAM: heat shock protein Hsp20~KEGG: ava:Ava_3076 heat shock protein HSP20"	"InterPro:IPR002068,NCBI_GP:ABG52208.1"
"Tery_4142"	5329.80802830754	2200.78204550887	8151.70523867608	4225.98819555338	1.88814502317737	0.242925906093899	7.77251407039125	7.69434548229869e-15	8.94088751506387e-13	8479	8940	9065	1314	2936	4970	3378	"  2325.37"	"  1375.23"	"  1661.00"	"   432.92"	"   533.26"	"   890.33"	"   952.21"	"11.18"	"10.43"	"10.70"	" 8.76"	" 9.06"	" 9.80"	" 9.90"	"Tery_4142"	"gene4182"	"CDS"	6389619	6389930	"+"	"CP000393.1"	"nitrogen fixation protein NifW"	"PFAM: nitrogen fixation protein NifW~KEGG: ava:Ava_3937 nitrogen fixation protein NifW"	"InterPro:IPR004893,NCBI_GP:ABG53150.1"
