#chromosome	start	end	baseMean_HFe
CP000393.1	3826052	3827158	81.3790604881305
CP000393.1	3828573	3830141	72.1636087494658
CP000393.1	3827539	3828570	74.8676945640601
CP000393.1	2569444	2570484	678.934580857287
CP000393.1	3831730	3832440	102.99369909296699
CP000393.1	4682776	4683933	953.633959255672
CP000393.1	2883011	2883310	5662.122942725589
CP000393.1	2528196	2528942	18.9962824965307
CP000393.1	4684202	4685209	994.510749509903
CP000393.1	5868027	5869220	553.341267796783
CP000393.1	4721367	4721714	115.93611210767
CP000393.1	5867650	5867856	743.568901941761
CP000393.1	5876968	5881329	1442.4222649981698
CP000393.1	5897089	5899005	5509.88529260205
CP000393.1	2883903	2884400	385.409436832143
CP000393.1	4685403	4685561	198.65403873118197
CP000393.1	2526786	2527910	78.4233161492243
CP000393.1	5892400	5893881	246.251145295401
CP000393.1	5894131	5895816	1201.87594342919
CP000393.1	5887337	5891401	1018.29273162185
CP000393.1	269811	270872	2300.1330042559603
CP000393.1	4722059	4722535	119.847065362964
CP000393.1	5869316	5876971	2464.5209773005604
CP000393.1	6383569	6385107	40432.80539255
CP000393.1	5881443	5887172	1274.07692115748
CP000393.1	6716835	6718196	129.258547517609
CP000393.1	6602856	6603398	8971.23295622632
CP000393.1	5891768	5892256	195.969537434194
CP000393.1	5867072	5867284	859.312820916817
CP000393.1	6377943	6379145	6665.18985841738
CP000393.1	6375963	6377432	12813.017915530902
CP000393.1	2884846	2886438	917.651721931597
CP000393.1	5176866	5177915	1377.1447686785098
CP000393.1	6716014	6716829	114.112096563452
CP000393.1	6380808	6381698	50672.288517514804
CP000393.1	2539184	2541211	323.960716147342
CP000393.1	6713998	6715434	321.324066186212
CP000393.1	4511390	4512130	334.244722485314
CP000393.1	64428	64763	379.96860400991403
CP000393.1	4672724	4673209	142.526436539224
CP000393.1	1878803	1879288	6530.53914638505
CP000393.1	6381887	6383344	46377.1038741321
CP000393.1	4722704	4723204	355.373859007542
CP000393.1	6738117	6738773	490.34738816682096
CP000393.1	6126370	6127230	2731.59588153528
CP000393.1	2541678	2542307	27.078005203491998
CP000393.1	6662635	6662988	222.392836078403
CP000393.1	1565800	1566267	395.424058915196
CP000393.1	259770	261428	874.730619379113
CP000393.1	4024835	4025545	6564.50070635047
CP000393.1	28954	30639	1603.0114993703
CP000393.1	6388520	6388939	3441.4872427451396
CP000393.1	6388944	6389414	1978.95566720434
CP000393.1	6739030	6739482	347.0714978974
CP000393.1	2716582	2717496	558.267402472786
