#chromosome	start	end	gene_name
CP000393.1	1489	1689	Tery_0002
CP000393.1	9478	9756	Tery_0006
CP000393.1	11838	12341	Tery_0010
CP000393.1	21246	22433	Tery_0013
CP000393.1	22680	23072	Tery_0014
CP000393.1	23799	24329	Tery_0015
CP000393.1	24984	25247	Tery_0017
CP000393.1	25441	27636	Tery_0018
CP000393.1	31434	32471	Tery_0020
CP000393.1	45501	48125	Tery_0027
CP000393.1	56599	56982	Tery_0034
CP000393.1	57894	58106	Tery_0035
CP000393.1	59829	60332	Tery_0039
CP000393.1	63117	63416	Tery_0040
CP000393.1	66565	67806	Tery_0043
CP000393.1	68747	70330	Tery_0045
CP000393.1	73445	73846	Tery_0049
CP000393.1	75227	75730	Tery_0053
CP000393.1	81365	81982	Tery_0058
CP000393.1	82492	84570	Tery_0059
CP000393.1	90562	90864	Tery_0064
CP000393.1	92566	92754	Tery_0065
CP000393.1	92879	93088	Tery_0066
CP000393.1	96964	97182	Tery_0070
CP000393.1	102724	103299	Tery_0073
CP000393.1	105037	105312	Tery_0075
CP000393.1	105879	106097	Tery_0076
CP000393.1	106852	107070	Tery_0077
CP000393.1	107825	108043	Tery_0078
CP000393.1	108798	109016	Tery_0079
CP000393.1	109771	110394	Tery_0080
CP000393.1	110607	111539	Tery_0081
CP000393.1	113289	115082	Tery_0082
CP000393.1	115731	115994	Tery_0084
CP000393.1	122033	123379	Tery_0088
CP000393.1	132007	133308	Tery_0097
CP000393.1	139424	139738	Tery_0102
CP000393.1	140161	140898	Tery_0103
CP000393.1	141415	142320	Tery_0104
CP000393.1	149231	150202	Tery_0109
CP000393.1	151332	151466	Tery_0111
CP000393.1	151879	152058	Tery_0112
CP000393.1	154460	154756	Tery_0114
CP000393.1	155085	157763	Tery_0115
CP000393.1	158094	158963	Tery_0116
CP000393.1	159122	163132	Tery_0117
CP000393.1	164262	164930	Tery_0119
CP000393.1	165274	166119	Tery_0120
CP000393.1	166446	167438	Tery_0121
CP000393.1	167483	177388	Tery_0122
CP000393.1	178603	180135	Tery_0124
CP000393.1	180459	181211	Tery_0125
CP000393.1	181654	182427	Tery_0127
CP000393.1	182421	183602	Tery_0128
CP000393.1	184247	185407	Tery_0129
CP000393.1	186490	187761	Tery_0130
CP000393.1	188512	188796	Tery_0131
CP000393.1	189570	193661	Tery_0132
CP000393.1	194505	195692	Tery_0133
CP000393.1	199938	201053	Tery_0138
CP000393.1	204811	205926	Tery_0140
CP000393.1	212926	214536	Tery_0145
CP000393.1	214536	215744	Tery_0146
CP000393.1	219182	219649	Tery_0149
CP000393.1	220187	220516	Tery_0150
CP000393.1	228600	228776	Tery_0155
CP000393.1	230297	232696	Tery_0156
CP000393.1	239488	239967	Tery_0158
CP000393.1	242603	243415	Tery_0161
CP000393.1	244314	244883	Tery_0162
CP000393.1	246541	247155	Tery_0163
CP000393.1	247846	248388	Tery_0164
CP000393.1	256583	257716	Tery_0172
CP000393.1	262379	262978	Tery_0176
CP000393.1	266150	266914	Tery_0179
CP000393.1	272619	272692	Tery_R0001
CP000393.1	272764	274590	Tery_0184
CP000393.1	275667	276845	Tery_0185
CP000393.1	285862	287871	Tery_0190
CP000393.1	289976	291565	Tery_0193
CP000393.1	292667	292939	Tery_0194
CP000393.1	294279	294905	Tery_0196
CP000393.1	297094	297624	Tery_0198
CP000393.1	310956	311729	Tery_0205
CP000393.1	311780	312592	Tery_0206
CP000393.1	314229	314588	Tery_0208
CP000393.1	317874	319187	Tery_0210
CP000393.1	319663	320403	Tery_0211
CP000393.1	327191	327484	Tery_0215
CP000393.1	328879	329292	Tery_0216
CP000393.1	332920	335472	Tery_0218
CP000393.1	337202	338224	Tery_0220
CP000393.1	344301	345062	Tery_0223
CP000393.1	345347	347230	Tery_0224
CP000393.1	347561	350287	Tery_0225
CP000393.1	350401	351009	Tery_0226
CP000393.1	359583	361217	Tery_0231
CP000393.1	363849	364400	Tery_0234
CP000393.1	364533	365132	Tery_0235
CP000393.1	367817	367889	Tery_R0003
CP000393.1	368911	371385	Tery_0237
CP000393.1	372181	372642	Tery_0238
CP000393.1	375832	377736	Tery_0240
CP000393.1	379093	380244	Tery_0242
CP000393.1	380511	381323	Tery_0243
CP000393.1	385456	387327	Tery_0247
CP000393.1	389480	390406	Tery_0248
CP000393.1	390886	392010	Tery_0249
CP000393.1	392631	393239	Tery_0251
CP000393.1	395770	395910	Tery_0254
CP000393.1	399270	400796	Tery_0256
CP000393.1	402783	403595	Tery_0259
CP000393.1	404593	405453	Tery_0260
CP000393.1	407544	407945	Tery_0262
CP000393.1	408165	408737	Tery_0263
CP000393.1	409830	410546	Tery_0264
CP000393.1	410674	411099	Tery_0265
CP000393.1	411099	411773	Tery_0266
CP000393.1	411770	411994	Tery_0267
CP000393.1	412296	412368	Tery_R0004
CP000393.1	412469	412852	Tery_0268
CP000393.1	425178	426698	Tery_0275
CP000393.1	427229	427843	Tery_0276
CP000393.1	428293	429981	Tery_0277
CP000393.1	430086	430994	Tery_0278
CP000393.1	431013	431618	Tery_0279
CP000393.1	431615	432115	Tery_0280
CP000393.1	433208	434281	Tery_0281
CP000393.1	438503	439606	Tery_0284
CP000393.1	442807	443091	Tery_0287
CP000393.1	447471	448331	Tery_0292
CP000393.1	449414	450586	Tery_0293
CP000393.1	451430	452728	Tery_0294
CP000393.1	455679	455810	Tery_0296
CP000393.1	464021	469630	Tery_0303
CP000393.1	470844	471815	Tery_0305
CP000393.1	471882	474209	Tery_0306
CP000393.1	475370	476356	Tery_0308
CP000393.1	484911	486182	Tery_0313
CP000393.1	486705	488087	Tery_0314
CP000393.1	488541	489149	Tery_0316
CP000393.1	489261	490346	Tery_0317
CP000393.1	498095	498529	Tery_0322
CP000393.1	498617	499183	Tery_0323
CP000393.1	504317	505921	Tery_0331
CP000393.1	506652	507881	Tery_0332
CP000393.1	513120	513839	Tery_0335
CP000393.1	516434	517675	Tery_0337
CP000393.1	522487	523410	Tery_0340
CP000393.1	523930	524292	Tery_0341
CP000393.1	536247	536486	Tery_0346
CP000393.1	536956	538086	Tery_0347
CP000393.1	538091	539179	Tery_0348
CP000393.1	540346	541866	Tery_0349
CP000393.1	544282	545463	Tery_0352
CP000393.1	551119	551400	Tery_0357
CP000393.1	551450	551788	Tery_0358
CP000393.1	554156	554713	Tery_0361
CP000393.1	555242	555889	Tery_0362
CP000393.1	562495	563130	Tery_0364
CP000393.1	568161	568865	Tery_0369
CP000393.1	569567	570250	Tery_0370
CP000393.1	570659	571606	Tery_0371
CP000393.1	572149	572221	Tery_R0005
CP000393.1	572415	573554	Tery_0372
CP000393.1	573749	574606	Tery_0373
CP000393.1	577302	578246	Tery_0375
CP000393.1	578538	580040	Tery_0376
CP000393.1	591650	592441	Tery_0381
CP000393.1	592556	594907	Tery_0382
CP000393.1	595024	595416	Tery_0383
CP000393.1	595539	596810	Tery_0384
CP000393.1	605999	606187	Tery_0390
CP000393.1	606398	606628	Tery_0391
CP000393.1	609071	609604	Tery_0394
CP000393.1	612482	618103	Tery_0397
CP000393.1	634051	636180	Tery_0405
CP000393.1	641535	642221	Tery_0409
CP000393.1	644189	644608	Tery_0410
CP000393.1	645965	646633	Tery_0412
CP000393.1	648930	650492	Tery_0414
CP000393.1	650769	652265	Tery_0415
CP000393.1	666287	669340	Tery_0424
CP000393.1	669642	675599	Tery_0425
CP000393.1	675849	677618	Tery_0426
CP000393.1	678196	678477	Tery_0428
CP000393.1	679466	679681	Tery_0430
CP000393.1	680792	682300	Tery_0432
CP000393.1	682941	683198	Tery_0433
CP000393.1	683916	684992	Tery_0434
CP000393.1	685183	685695	Tery_0435
CP000393.1	688950	690572	Tery_0437
CP000393.1	692630	693079	Tery_0440
CP000393.1	698789	700753	Tery_0444
