#chromosome	start	end	geneName
CP000393.1	2883011	2883310	Tery_1885
CP000393.1	4721367	4721714	Tery_3062
CP000393.1	2883903	2884400	Tery_1886
CP000393.1	4722059	4722535	Tery_3063
CP000393.1	6383569	6385107	Tery_4138
CP000393.1	6602856	6603398	Tery_4282
CP000393.1	6377943	6379145	Tery_4134
CP000393.1	6375963	6377432	Tery_4133
CP000393.1	2884846	2886438	Tery_1887
CP000393.1	6380808	6381698	Tery_4136
CP000393.1	4511390	4512130	Tery_2902
CP000393.1	64428	64763	Tery_0041
CP000393.1	4672724	4673209	Tery_3022
CP000393.1	1878803	1879288	Tery_1204
CP000393.1	6381887	6383344	Tery_4137
CP000393.1	4722704	4723204	Tery_3064
CP000393.1	6126370	6127230	Tery_3963
CP000393.1	1565800	1566267	Tery_1001
CP000393.1	4024835	4025545	Tery_2606
CP000393.1	28954	30639	Tery_0019
CP000393.1	6388520	6388939	Tery_4140
CP000393.1	6388944	6389414	Tery_4141
CP000393.1	2716582	2717496	Tery_1780
CP000393.1	6396183	6398069	Tery_4148
CP000393.1	6385521	6388331	Tery_4139
CP000393.1	3608132	3609067	Tery_2334
CP000393.1	7273367	7274410	Tery_4741
CP000393.1	5792469	5793836	Tery_3770
CP000393.1	5793963	5799539	Tery_3771
CP000393.1	3217926	3219299	Tery_2062
CP000393.1	4720723	4721199	Tery_3061
CP000393.1	6196641	6197117	Tery_4005
CP000393.1	6391312	6391662	Tery_4144
CP000393.1	4673511	4674395	Tery_3023
CP000393.1	3035691	3036203	Tery_1958
CP000393.1	6258428	6259666	Tery_4050
CP000393.1	2473082	2473654	Tery_1619
CP000393.1	210882	211856	Tery_0144
CP000393.1	147658	148572	Tery_0108
CP000393.1	4154773	4155258	Tery_2686
CP000393.1	6394208	6395023	Tery_4147
CP000393.1	3248488	3248709	Tery_2080
CP000393.1	7413757	7414683	Tery_4821
CP000393.1	4759501	4759875	Tery_3107
CP000393.1	6234655	6236352	Tery_4032
CP000393.1	146668	146931	Tery_0107
CP000393.1	1066433	1066786	Tery_0653
CP000393.1	6305555	6305845	Tery_4087
CP000393.1	1531676	1533391	Tery_0972
CP000393.1	6949035	6949877	Tery_4503
CP000393.1	4753670	4755760	Tery_3103
CP000393.1	2499307	2499843	Tery_1638
CP000393.1	6389619	6389930	Tery_4142
CP000393.1	1880411	1881139	Tery_1206
CP000393.1	959820	960812	Tery_0597
CP000393.1	4760789	4761421	Tery_3109
CP000393.1	2113589	2114314	Tery_1380
CP000393.1	3556071	3556703	Tery_2286
CP000393.1	3142781	3143446	Tery_2014
CP000393.1	304605	306062	Tery_0201
CP000393.1	4761458	4762408	Tery_3110
CP000393.1	3015717	3016298	Tery_1945
CP000393.1	756838	757155	Tery_0477
CP000393.1	4752782	4753627	Tery_3102
CP000393.1	209440	210882	Tery_0143
CP000393.1	3914490	3914915	Tery_2536
CP000393.1	4402324	4402839	Tery_2832
CP000393.1	2677085	2678728	Tery_1758
CP000393.1	1180763	1180939	Tery_0730
CP000393.1	7161688	7162569	Tery_4657
CP000393.1	6837740	6838732	Tery_4436
CP000393.1	6303539	6304093	Tery_4084
CP000393.1	4468062	4468880	Tery_2864
CP000393.1	3609064	3609378	Tery_2335
CP000393.1	6569656	6570324	Tery_4258
CP000393.1	2115235	2116080	Tery_1381
CP000393.1	2650665	2652191	Tery_1741
CP000393.1	4752054	4752290	Tery_3101
CP000393.1	4760034	4760792	Tery_3108
CP000393.1	6968568	6970028	Tery_4516
CP000393.1	6492220	6494697	Tery_4209
CP000393.1	4755891	4756787	Tery_3104
