#chromosome	start	end	geneName
CP000393.1	6602327	6602572	Tery_4281
CP000393.1	2534182	2535216	Tery_1667
CP000393.1	2531396	2532139	Tery_1665
CP000393.1	2530383	2530733	Tery_1664
CP000393.1	6601516	6602184	Tery_4280
CP000393.1	1318857	1319852	Tery_0831
CP000393.1	2529480	2530019	Tery_1663
CP000393.1	2568704	2569144	Tery_1686
CP000393.1	5213167	5213691	Tery_3404
CP000393.1	4928195	4929331	Tery_3222
CP000393.1	1318026	1318814	Tery_0830
CP000393.1	2532407	2532922	Tery_1666
CP000393.1	641535	642221	Tery_0409
CP000393.1	3472646	3473185	Tery_2227
CP000393.1	256583	257716	Tery_0172
CP000393.1	5170315	5170887	Tery_3372
CP000393.1	7096147	7097130	Tery_4617
CP000393.1	2521887	2523671	Tery_1657
CP000393.1	1636298	1636651	Tery_1046
CP000393.1	6423763	6424380	Tery_4163
CP000393.1	5647774	5648262	Tery_3679
CP000393.1	3047084	3047227	Tery_1966
CP000393.1	3825145	3825366	Tery_2482
CP000393.1	7609930	7610943	Tery_4981
CP000393.1	2897004	2898995	Tery_1890
CP000393.1	4056388	4057014	Tery_2622
CP000393.1	4307061	4311179	Tery_2777
CP000393.1	1027704	1029122	Tery_0627
CP000393.1	6712499	6712870	Tery_4353
CP000393.1	3314390	3315124	Tery_2121
CP000393.1	4627682	4629046	Tery_2975
CP000393.1	6713061	6713747	Tery_4354
CP000393.1	7095389	7096027	Tery_4616
CP000393.1	5900218	5901993	Tery_3828
CP000393.1	3711695	3712375	Tery_2404
CP000393.1	6609186	6609947	Tery_4285
CP000393.1	3659861	3660556	Tery_2370
CP000393.1	4629834	4630664	Tery_2976
CP000393.1	4054788	4055312	Tery_2621
CP000393.1	3712586	3713398	Tery_2405
CP000393.1	6422438	6423289	Tery_4162
CP000393.1	297094	297624	Tery_0198
CP000393.1	7320747	7322795	Tery_4767
CP000393.1	5171618	5172202	Tery_3373
CP000393.1	6468582	6470834	Tery_4193
CP000393.1	2899102	2902572	Tery_1891
CP000393.1	1312665	1313972	Tery_0827
CP000393.1	6106686	6106904	Tery_3949
CP000393.1	4384041	4384712	Tery_2820
CP000393.1	4576166	4577068	Tery_2944
CP000393.1	4196545	4197528	Tery_2710
CP000393.1	6511382	6511732	Tery_4220
CP000393.1	5471840	5472277	Tery_3551
CP000393.1	2902686	2905277	Tery_1892
CP000393.1	5285155	5294736	Tery_3459
CP000393.1	4986242	4987276	Tery_3251
CP000393.1	4022248	4023663	Tery_2604
CP000393.1	3436077	3437288	Tery_2206
CP000393.1	5053846	5054205	Tery_3295
CP000393.1	3976704	3978320	Tery_2580
CP000393.1	1359705	1361627	Tery_0859
CP000393.1	3375683	3376036	Tery_2162
CP000393.1	2565356	2565520	Tery_1683
CP000393.1	7051997	7054231	Tery_4585
CP000393.1	285862	287871	Tery_0190
CP000393.1	3659573	3659785	Tery_2369
CP000393.1	5229829	5231175	Tery_3417
CP000393.1	6549951	6551546	Tery_4243
CP000393.1	3489738	3490052	Tery_2244
CP000393.1	1942378	1942674	Tery_1256
CP000393.1	498095	498529	Tery_0322
CP000393.1	2843174	2843704	Tery_1858
CP000393.1	272764	274590	Tery_0184
CP000393.1	310956	311729	Tery_0205
CP000393.1	3376185	3377561	Tery_2163
CP000393.1	4631340	4632689	Tery_2977
CP000393.1	5918586	5919080	Tery_3832
