#chromosome	start	end	padj
CP000393.1	3826052	3827158	6.682759801183228e-158
CP000393.1	3828573	3830141	1.8743931770405797e-109
CP000393.1	3827539	3828570	4.705733677016379e-107
CP000393.1	2569444	2570484	4.264716405604139e-105
CP000393.1	3831730	3832440	3.9921823243399994e-61
CP000393.1	4682776	4683933	1.4472468764570497e-44
CP000393.1	2883011	2883310	2.7105614803774396e-40
CP000393.1	2528196	2528942	4.895200759183939e-26
CP000393.1	4684202	4685209	1.3915793985734297e-24
CP000393.1	5868027	5869220	5.94139261295178e-22
CP000393.1	4721367	4721714	3.94952354273176e-20
CP000393.1	5867650	5867856	4.55389027525269e-20
CP000393.1	5876968	5881329	4.94053241961124e-20
CP000393.1	5897089	5899005	1.09730027611383e-19
CP000393.1	2883903	2884400	1.28469112365539e-19
CP000393.1	4685403	4685561	2.70603118946975e-19
CP000393.1	2526786	2527910	3.4136414067362797e-19
CP000393.1	5892400	5893881	1.5013520429931e-18
CP000393.1	5894131	5895816	1.91013727028744e-18
CP000393.1	5887337	5891401	3.0431245749676797e-18
CP000393.1	269811	270872	4.65176522998647e-18
CP000393.1	4722059	4722535	8.64309499397393e-18
CP000393.1	5869316	5876971	1.6520884312897698e-17
CP000393.1	6383569	6385107	5.33942024872518e-16
CP000393.1	5881443	5887172	5.634166037983941e-16
CP000393.1	6716835	6718196	1.73016215792507e-15
CP000393.1	6602856	6603398	2.72612655006991e-15
CP000393.1	5891768	5892256	5.9723404531881295e-15
CP000393.1	5867072	5867284	1.33987271978498e-14
CP000393.1	6377943	6379145	4.82354237510019e-14
CP000393.1	6375963	6377432	9.05570307576362e-14
CP000393.1	2884846	2886438	8.69778474738957e-13
CP000393.1	5176866	5177915	3.0746339418119197e-12
CP000393.1	6716014	6716829	3.6278552846527498e-12
CP000393.1	6380808	6381698	7.29247922376616e-11
CP000393.1	2539184	2541211	1.64321209248229e-10
CP000393.1	6713998	6715434	3.69278523559811e-10
CP000393.1	4511390	4512130	3.7476610488374603e-10
CP000393.1	64428	64763	4.78381772711856e-10
CP000393.1	4672724	4673209	7.17934246001778e-10
CP000393.1	1878803	1879288	2.2001355170457e-09
CP000393.1	6381887	6383344	3.40471339143794e-09
CP000393.1	4722704	4723204	5.5527792435884496e-09
CP000393.1	6738117	6738773	9.09643072723803e-09
CP000393.1	6126370	6127230	1.0578353344665e-08
CP000393.1	2541678	2542307	1.75255696017082e-08
CP000393.1	6662635	6662988	1.75255696017082e-08
CP000393.1	1565800	1566267	3.5638701716558903e-08
CP000393.1	259770	261428	4.37119854323487e-08
CP000393.1	4024835	4025545	1.20828065196148e-07
CP000393.1	28954	30639	1.49107792361816e-07
CP000393.1	6388520	6388939	1.88454424142351e-07
CP000393.1	6388944	6389414	2.4044675001887303e-07
CP000393.1	6739030	6739482	2.7547214251032603e-07
CP000393.1	2716582	2717496	4.38387675697132e-07
CP000393.1	6396183	6398069	4.38387675697132e-07
CP000393.1	6385521	6388331	5.33805361256186e-07
CP000393.1	2786301	2786687	7.344738983082759e-07
CP000393.1	271328	272389	9.5546811597681e-07
CP000393.1	5865822	5866112	1.1567427457098998e-06
CP000393.1	3608132	3609067	1.41593129145145e-06
CP000393.1	7273367	7274410	1.72804561267e-06
CP000393.1	2537397	2538692	2.30603437714324e-06
CP000393.1	5792469	5793836	2.30603437714324e-06
CP000393.1	5793963	5799539	2.30603437714324e-06
CP000393.1	3217926	3219299	6.42369370557102e-06
CP000393.1	4720723	4721199	6.4280027235252095e-06
CP000393.1	6196641	6197117	7.93870061991672e-06
CP000393.1	727178	728614	1.03748966301756e-05
CP000393.1	6391312	6391662	1.1544390366659699e-05
CP000393.1	4673511	4674395	1.57760281995266e-05
CP000393.1	446241	447479	1.8136972396800898e-05
CP000393.1	3035691	3036203	1.95413411071746e-05
CP000393.1	3955556	3956104	2.6182262747476602e-05
CP000393.1	6258428	6259666	3.05269039150437e-05
CP000393.1	2473082	2473654	3.6476878467588e-05
CP000393.1	6718583	6719845	4.63106167752303e-05
CP000393.1	3487533	3487862	6.14862468344225e-05
CP000393.1	210882	211856	7.276115099193109e-05
CP000393.1	258358	259317	8.55550171521142e-05
CP000393.1	5743982	5744932	8.55550171521142e-05
CP000393.1	147658	148572	8.89992942397009e-05
CP000393.1	4154773	4155258	0.000116151374814697
CP000393.1	6117291	6117749	0.00012043478099199099
CP000393.1	6394208	6395023	0.000120850064849097
