""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_2483"	7953.03843693147	18797.3269166475	75.5880006856953	8924.92561158409	-7.94226782260107	0.363542433040272	-21.8468797608593	8.3228807333187e-106	3.05616180527463e-102	40	167	71	11739	24142	15391	4037	"    10.97"	"    25.69"	"    13.01"	"  3867.62"	"  4384.86"	"  2757.16"	"  1137.97"	" 3.4568"	" 4.6837"	" 3.7026"	"11.9172"	"12.0983"	"11.4290"	"10.1523"	"Tery_2483"	"gene2505"	"CDS"	3826052	3827158	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4002 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000932,NCBI_GP:ABG51691.1"
"Tery_1664"	496.60858829232	1295.99429793607	8.69301554134416	429.096237775036	-7.28616076791636	0.385575223641808	-18.8968593445855	1.210468711066e-79	2.22242055351718e-76	10	11	7	771	1734	669	239	"     2.74"	"     1.69"	"     1.28"	"   254.02"	"   314.94"	"   119.85"	"    67.37"	" 1.4607"	" 0.7673"	" 0.3703"	" 7.9889"	" 8.2990"	" 6.9051"	" 6.0743"	"Tery_1664"	"gene1674"	"CDS"	2530383	2530733	"-"	"CP000393.1"	"hypothetical protein"	"KEGG: ava:Ava_3337 hypothetical protein"	"NCBI_GP:ABG50935.1"
"Tery_1663"	298.03931301358	784.171979369331	6.00398548577139	249.959637949541	-7.00382151712886	0.411714532119041	-17.0113536704209	6.76563162249931e-65	6.30610188390031e-62	4	9	8	460	1061	379	146	"     1.10"	"     1.38"	"     1.47"	"   151.56"	"   192.71"	"    67.89"	"    41.16"	" 0.1467"	" 0.4797"	" 0.5616"	" 7.2438"	" 7.5903"	" 6.0854"	" 5.3634"	"Tery_1663"	"gene1673"	"CDS"	2529480	2530019	"-"	"CP000393.1"	"putative transcriptional regulator%2C Crp/Fnr family"	"PFAM: regulatory protein%2C Crp~KEGG: ana:all4500 transcriptional regulator"	"InterPro:IPR001808,InterPro:IPR012318,NCBI_GP:ABG50934.1"
"Tery_1687"	20690.3229238234	46492.7543333338	630.629904007498	24977.4310440369	-6.20226609077776	0.364614793322973	-17.0104620118467	6.86939203039249e-65	6.30610188390031e-62	343	1243	705	30891	56348	45509	9757	"    94.07"	"   191.21"	"   129.18"	" 10177.58"	" 10234.38"	"  8152.52"	"  2750.36"	" 6.5558"	" 7.5791"	" 7.0133"	"13.3131"	"13.3211"	"12.9930"	"11.4254"	"Tery_1687"	"gene1697"	"CDS"	2569444	2570484	"+"	"CP000393.1"	"fructose-bisphosphate aldolase"	"PFAM: fructose-bisphosphate aldolase%2C class-I~KEGG: xcb:XC_0979 fructose-bisphosphate aldolase"	"InterPro:IPR000741,NCBI_GP:ABG50958.1"
"Tery_4280"	5309.756243623	10775.1724026522	1007.28768897045	6298.04291657264	-3.41918312585729	0.215808692221145	-15.8435839199357	1.55688756925913e-56	1.14337823086391e-53	826	1640	1001	6403	14430	8256	4497	"   226.53"	"   252.28"	"   183.42"	"  2109.58"	"  2620.89"	"  1478.99"	"  1267.64"	" 7.8236"	" 7.9789"	" 7.5190"	"11.0427"	"11.3558"	"10.5304"	"10.3079"	"Tery_4280"	"gene4322"	"CDS"	6601516	6602184	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_4529 hypothetical protein"	"NCBI_GP:ABG53277.1"
"Tery_4281"	1173.79781900941	2316.09267603571	151.838872212175	1564.44138217897	-3.92305450236643	0.250940512577053	-15.6334043557906	4.31139876588258e-55	2.63857604472014e-52	102	274	162	1540	2805	2269	979	"    27.97"	"    42.15"	"    29.68"	"   507.38"	"   509.47"	"   406.47"	"   275.97"	" 4.8065"	" 5.3978"	" 4.8921"	" 8.9870"	" 8.9929"	" 8.6670"	" 8.1084"	"Tery_4281"	"gene4323"	"CDS"	6602327	6602572	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_4530 hypothetical protein"	"NCBI_GP:ABG53278.1"
"Tery_1665"	3923.41595461409	8976.59902161179	272.100061151249	4347.20672781064	-5.04586587859198	0.326317261837213	-15.463067599253	6.15940417737338e-54	3.23104744847358e-51	253	375	283	6327	10222	7766	1796	"    69.39"	"    57.69"	"    51.85"	"  2084.54"	"  1856.60"	"  1391.21"	"   506.27"	" 6.1168"	" 5.8504"	" 5.6967"	"11.0255"	"10.8585"	"10.4421"	" 8.9838"	"Tery_1665"	"gene1675"	"CDS"	2531396	2532139	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr2406 hypothetical protein"	"NCBI_GP:ABG50936.1"
"Tery_1885"	2411.21956763276	135.928678727004	5267.50592844498	402.080915320178	5.28034128630804	0.349019675635867	15.1290647918	1.04165179993127e-51	4.78118176168454e-49	6450	5001	5059	99	149	336	408	"  1768.91"	"   769.30"	"   926.97"	"    32.62"	"    27.06"	"    60.19"	"   115.01"	"10.7887"	" 9.5874"	" 9.8564"	" 5.0280"	" 4.7588"	" 5.9117"	" 6.8457"	"Tery_1885"	"gene1896"	"CDS"	2883011	2883310	"+"	"CP000393.1"	"4Fe-4S ferredoxin%2C iron-sulfur binding"	"PFAM: 4Fe-4S ferredoxin%2C iron-sulfur binding~KEGG: ava:Ava_0445 4Fe-4S ferredoxin%2C iron-sulfur binding"	"InterPro:IPR001450,NCBI_GP:ABG51141.1"
"Tery_1686"	200.589761198393	541.102586792164	23.3046073041783	126.004666445945	-4.55469018097681	0.302755847351004	-15.0441030976894	3.77414036917482e-51	1.53984927062333e-48	22	33	23	371	635	192	73	"     6.03"	"     5.08"	"     4.21"	"   122.23"	"   115.33"	"    34.40"	"    20.58"	" 2.5954"	" 2.3466"	" 2.0787"	" 6.9336"	" 6.8498"	" 5.1045"	" 4.3637"	"Tery_1686"	"gene1696"	"CDS"	2568704	2569144	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr1356 hypothetical protein"	"NCBI_GP:ABG50957.1"
"Tery_2486"	1129.46801432534	2641.90616644653	95.7046135081507	1167.67496342993	-4.78477043466038	0.364520559992944	-13.1262018108197	2.33055837804665e-39	8.55781036418731e-37	70	133	127	1864	3005	2202	409	"    19.20"	"    20.46"	"    23.27"	"   614.13"	"   545.79"	"   394.47"	"   115.29"	" 4.2636"	" 4.3554"	" 4.5410"	" 9.2624"	" 9.0922"	" 8.6238"	" 6.8493"	"Tery_2486"	"gene2508"	"CDS"	3831730	3832440	"+"	"CP000393.1"	"Phycobilisome linker polypeptide"	"PFAM: Phycobilisome linker polypeptide~KEGG: syn:sll1471 phycobilisome rod-core linker polypeptide"	"InterPro:IPR001297,NCBI_GP:ABG51694.1"
