#chromosome	start	end	coverage
CP000393.1	0	1000	1.179
CP000393.1	1000	2000	6.49
CP000393.1	2000	3000	7.526
CP000393.1	3000	4000	18.576
CP000393.1	4000	5000	20.923
CP000393.1	5000	6000	10.122
CP000393.1	6000	7000	14.128
CP000393.1	7000	8000	22.41
CP000393.1	8000	9000	29.609
CP000393.1	9000	10000	10.894
CP000393.1	10000	11000	5.577
CP000393.1	11000	12000	6.888
CP000393.1	12000	13000	3.22
CP000393.1	13000	14000	2.957
CP000393.1	14000	15000	5.138
CP000393.1	15000	16000	2.099
CP000393.1	16000	17000	0.588
CP000393.1	17000	18000	0.166
CP000393.1	18000	19000	0.915
CP000393.1	19000	20000	0.858
CP000393.1	20000	21000	3.46
CP000393.1	21000	22000	66.204
CP000393.1	22000	23000	16.323
CP000393.1	23000	24000	10.418
CP000393.1	24000	25000	117.148
CP000393.1	25000	26000	124.205
CP000393.1	26000	27000	49.331
CP000393.1	27000	28000	78.094
CP000393.1	28000	29000	24.68
CP000393.1	29000	30000	14.737
CP000393.1	30000	31000	13.23
CP000393.1	31000	32000	11.145
CP000393.1	32000	33000	12.747
CP000393.1	33000	34000	11.456
CP000393.1	34000	35000	39.847
CP000393.1	35000	36000	30.282
CP000393.1	36000	37000	1.071
CP000393.1	37000	38000	5.149
CP000393.1	38000	39000	49.753
CP000393.1	39000	40000	23.728
CP000393.1	40000	41000	0.712
CP000393.1	41000	42000	1.024
CP000393.1	42000	43000	2.418
CP000393.1	43000	44000	16.525
CP000393.1	44000	45000	33.366
CP000393.1	45000	46000	37.356
CP000393.1	46000	47000	39.785
CP000393.1	47000	48000	53.408
CP000393.1	48000	49000	77.543
CP000393.1	49000	50000	26.79
CP000393.1	50000	51000	3.908
CP000393.1	51000	52000	2.841
CP000393.1	52000	53000	2.933
CP000393.1	53000	54000	0.962
CP000393.1	54000	55000	6.656
CP000393.1	55000	56000	14.451
CP000393.1	56000	57000	96.384
CP000393.1	57000	58000	18.933
CP000393.1	58000	59000	3.082
CP000393.1	59000	60000	5.499
CP000393.1	60000	61000	8.492
CP000393.1	61000	62000	11.051
CP000393.1	62000	63000	15.608
CP000393.1	63000	64000	10.572
CP000393.1	64000	65000	6.664
CP000393.1	65000	66000	16.523
CP000393.1	66000	67000	16.227
CP000393.1	67000	68000	11.976
CP000393.1	68000	69000	20.969
CP000393.1	69000	70000	74.67
CP000393.1	70000	71000	114.319
CP000393.1	71000	72000	25.72
CP000393.1	72000	73000	4.285
CP000393.1	73000	74000	2.265
CP000393.1	74000	75000	3.381
CP000393.1	75000	76000	5.273
CP000393.1	76000	77000	2.013
CP000393.1	77000	78000	26.544
CP000393.1	78000	79000	1.002
CP000393.1	79000	80000	0.245
CP000393.1	80000	81000	4.322
CP000393.1	81000	82000	13.425
CP000393.1	82000	83000	131.997
CP000393.1	83000	84000	115.178
CP000393.1	84000	85000	34.1
CP000393.1	85000	86000	5.159
CP000393.1	86000	87000	3.663
CP000393.1	87000	88000	6.915
CP000393.1	88000	89000	11.009
CP000393.1	89000	90000	4.67
CP000393.1	90000	91000	4.736
CP000393.1	91000	92000	12.042
CP000393.1	92000	93000	4.974
CP000393.1	93000	94000	13.713
CP000393.1	94000	95000	14.797
CP000393.1	95000	96000	2.969
CP000393.1	96000	97000	6.713
CP000393.1	97000	98000	4.071
CP000393.1	98000	99000	0.964
CP000393.1	99000	100000	3.218
CP000393.1	100000	101000	6.588
CP000393.1	101000	102000	6.115
CP000393.1	102000	103000	227.016
CP000393.1	103000	104000	680.769
CP000393.1	104000	105000	348.159
CP000393.1	105000	106000	187.091
CP000393.1	106000	107000	165.035
CP000393.1	107000	108000	162.629
CP000393.1	108000	109000	159.461
CP000393.1	109000	110000	149.443
CP000393.1	110000	111000	8.264
CP000393.1	111000	112000	2.98
CP000393.1	112000	113000	5.626
CP000393.1	113000	114000	16.925
CP000393.1	114000	115000	13.149
CP000393.1	115000	116000	1.601
CP000393.1	116000	117000	0.426
CP000393.1	117000	118000	8.601
CP000393.1	118000	119000	17.848
CP000393.1	119000	120000	2.962
CP000393.1	120000	121000	2.789
CP000393.1	121000	122000	6.301
CP000393.1	122000	123000	2.494
CP000393.1	123000	124000	6.723
CP000393.1	124000	125000	1.469
CP000393.1	125000	126000	0.533
CP000393.1	126000	127000	5.857
CP000393.1	127000	128000	0.339
CP000393.1	128000	129000	0.0
CP000393.1	129000	130000	0.625
CP000393.1	130000	131000	0.189
CP000393.1	131000	132000	2.611
CP000393.1	132000	133000	0.904
CP000393.1	133000	134000	3.485
CP000393.1	134000	135000	6.46
CP000393.1	135000	136000	1.734
CP000393.1	136000	137000	4.371
CP000393.1	137000	138000	6.132
CP000393.1	138000	139000	11.63
CP000393.1	139000	140000	22.11
CP000393.1	140000	141000	55.298
CP000393.1	141000	142000	59.944
CP000393.1	142000	143000	19.604
CP000393.1	143000	144000	1.626
CP000393.1	144000	145000	3.087
CP000393.1	145000	146000	2.703
CP000393.1	146000	147000	0.128
CP000393.1	147000	148000	0.183
CP000393.1	148000	149000	7.116
CP000393.1	149000	150000	22.343
CP000393.1	150000	151000	13.224
CP000393.1	151000	152000	12.975
CP000393.1	152000	153000	8.822
CP000393.1	153000	154000	0.259
CP000393.1	154000	155000	1.177
CP000393.1	155000	156000	4.457
CP000393.1	156000	157000	5.311
CP000393.1	157000	158000	66.809
CP000393.1	158000	159000	120.788
CP000393.1	159000	160000	108.26
CP000393.1	160000	161000	113.183
CP000393.1	161000	162000	99.929
CP000393.1	162000	163000	257.482
CP000393.1	163000	164000	53.914
CP000393.1	164000	165000	10.25
CP000393.1	165000	166000	5.535
CP000393.1	166000	167000	4.51
CP000393.1	167000	168000	6.204
CP000393.1	168000	169000	3.088
CP000393.1	169000	170000	1.347
CP000393.1	170000	171000	3.199
CP000393.1	171000	172000	0.63
CP000393.1	172000	173000	2.067
CP000393.1	173000	174000	1.938
CP000393.1	174000	175000	1.327
CP000393.1	175000	176000	2.295
CP000393.1	176000	177000	1.558
CP000393.1	177000	178000	1.015
CP000393.1	178000	179000	4.542
CP000393.1	179000	180000	6.405
CP000393.1	180000	181000	10.063
CP000393.1	181000	182000	9.515
CP000393.1	182000	183000	2.792
