""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_1885"	2411.21956763276	5.28034128630804	0.349019675635867	15.1290647918	1.04165179993127e-51	4.78118176168454e-49	6450	5001	5059	99	149	336	408	"  1768.91"	"   769.30"	"   926.97"	"    32.62"	"    27.06"	"    60.19"	"   115.01"	"10.7887"	" 9.5874"	" 9.8564"	" 5.0280"	" 4.7588"	" 5.9117"	" 6.8457"	"Tery_1885"	"gene1896"	"CDS"	2883011	2883310	"+"	"CP000393.1"	"4Fe-4S ferredoxin%2C iron-sulfur binding"	"PFAM: 4Fe-4S ferredoxin%2C iron-sulfur binding~KEGG: ava:Ava_0445 4Fe-4S ferredoxin%2C iron-sulfur binding"	"InterPro:IPR001450,NCBI_GP:ABG51141.1"
"Tery_0847"	1362.78180237484	3.15777101087428	0.266846810354894	11.8336472025826	2.61526069225542e-32	8.00269771830158e-30	1379	4202	2870	142	378	1269	692	"   378.19"	"   646.39"	"   525.88"	"    46.78"	"    68.66"	"   227.33"	"   195.06"	" 8.5630"	" 9.3363"	" 9.0386"	" 5.5483"	" 6.1015"	" 7.8287"	" 7.6079"	"Tery_0847"	"gene853"	"CDS"	1341178	1343412	"-"	"CP000393.1"	"methionine synthase (B12-independent)"	"PFAM: Methionine synthase%2C vitamin-B12 independent Cobalamin-independent synthase MetE-like~KEGG: cya:CYA_0148 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"	"InterPro:IPR002629,InterPro:IPR013215,NCBI_GP:ABG50257.1"
"Tery_4138"	23275.6606217579	2.21606490511348	0.233882522713206	9.47511972850952	2.6645496051381e-21	5.14959271056163e-19	35772	39961	47842	5777	9079	18703	14387	"  9810.47"	"  6147.16"	"  8766.19"	"  1903.33"	"  1649.00"	"  3350.47"	"  4055.49"	"13.2601"	"12.5857"	"13.0977"	"10.8943"	"10.6874"	"11.7102"	"11.9857"	"Tery_4138"	"gene4178"	"CDS"	6383569	6385107	"+"	"CP000393.1"	"nitrogenase molybdenum-iron protein beta chain"	"KEGG: ana:all1440 nitrogenase molybdenum-iron protein beta chain~TIGRFAM: nitrogenase molybdenum-iron protein beta chain~PFAM: oxidoreductase/nitrogenase%2C component 1"	"InterPro:IPR000318,InterPro:IPR000510,InterPro:IPR005976,NCBI_GP:ABG53146.1"
"Tery_4141"	1260.68849273121	1.85204005820149	0.223850659829241	8.27355192794282	1.30026132896733e-16	1.98939983332001e-14	1826	2267	1968	316	656	1382	891	"   500.78"	"   348.73"	"   360.60"	"   104.11"	"   119.15"	"   247.57"	"   251.16"	" 8.9681"	" 8.4460"	" 8.4943"	" 6.7021"	" 6.8967"	" 7.9518"	" 7.9725"	"Tery_4141"	"gene4181"	"CDS"	6388944	6389414	"+"	"CP000393.1"	"protein of unknown function DUF269"	"PFAM: protein of unknown function DUF269~KEGG: ava:Ava_4253 protein of unknown function DUF269"	"InterPro:IPR004952,NCBI_GP:ABG53149.1"
"Tery_0280"	637.163241935465	2.00388772357172	0.245603120864751	8.1590482910648	3.37674630806215e-16	4.76900478584778e-14	883	1175	1236	154	314	490	467	"   242.16"	"   180.75"	"   226.47"	"    50.74"	"    57.03"	"    87.78"	"   131.64"	" 7.9199"	" 7.4979"	" 7.8233"	" 5.6653"	" 5.8339"	" 6.4560"	" 7.0406"	"Tery_0280"	"gene283"	"CDS"	431615	432115	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_B0181 hypothetical protein"	"NCBI_GP:ABG49762.1"
"Tery_4133"	8086.24021070469	1.98012670963333	0.246557615136573	8.03109126658487	9.66094492108462e-16	1.31388850926751e-13	12159	12802	13821	2162	3379	7884	6449	"  3334.61"	"  1969.32"	"  2532.45"	"   712.31"	"   613.72"	"  1412.35"	"  1817.88"	"11.7033"	"10.9435"	"11.3063"	" 9.4764"	" 9.2615"	"10.4639"	"10.8280"	"Tery_4133"	"gene4173"	"CDS"	6375963	6377432	"+"	"CP000393.1"	"nitrogenase cofactor biosynthesis protein NifB"	"TIGRFAM: nitrogenase cofactor biosynthesis protein NifB~PFAM: Dinitrogenase iron-molybdenum cofactor biosynthesis  Radical SAM~KEGG: ava:Ava_3912 nitrogenase cofactor biosynthesis protein NifB"	"InterPro:IPR000385,InterPro:IPR003731,InterPro:IPR005980,InterPro:IPR007197,NCBI_GP:ABG53141.1"
"Tery_3963"	1803.09520373301	1.60235295173971	0.202066259874999	7.92983921576491	2.19429794278608e-15	2.87766501639661e-13	2361	3112	2968	560	1005	2018	1294	"   647.50"	"   478.72"	"   543.83"	"   184.50"	"   182.54"	"   361.51"	"   364.76"	" 9.3388"	" 8.9031"	" 9.0870"	" 7.5276"	" 7.5121"	" 8.4979"	" 8.5108"	"Tery_3963"	"gene4001"	"CDS"	6126370	6127230	"+"	"CP000393.1"	"Aldose 1-epimerase"	"PFAM: Aldose 1-epimerase~KEGG: ava:Ava_4277 aldose 1-epimerase"	"InterPro:IPR008183,NCBI_GP:ABG52988.1"
"Tery_4136"	30722.431022931	2.03917242268711	0.258167320079134	7.8986465911412	2.8194805165532e-15	3.57004567475288e-13	46818	49669	57351	9213	11003	29046	20813	" 12839.84"	"  7640.53"	" 10508.54"	"  3035.38"	"  1998.45"	"  5203.33"	"  5866.89"	"13.6483"	"12.8995"	"13.3593"	"11.5677"	"10.9647"	"12.3452"	"12.5184"	"Tery_4136"	"gene4176"	"CDS"	6380808	6381698	"+"	"CP000393.1"	"nitrogenase iron protein subunit NifH"	"KEGG: ava:Ava_3916 nitrogenase iron protein~TIGRFAM: nitrogenase iron protein~PFAM: NifH/frxC"	"InterPro:IPR000392,InterPro:IPR002110,InterPro:IPR005977,NCBI_GP:ABG53144.1"
"Tery_3064"	175.695913857044	3.363017106083	0.431003917064283	7.80275299813902	6.05710330208014e-15	7.4138944417461e-13	361	342	359	33	21	59	95	"    99.00"	"    52.61"	"    65.78"	"    10.87"	"     3.81"	"    10.57"	"    26.78"	" 6.6296"	" 5.7175"	" 6.0398"	" 3.4439"	" 1.9352"	" 3.4032"	" 4.7436"	"Tery_3064"	"gene3090"	"CDS"	4722704	4723204	"+"	"CP000393.1"	"heat shock protein Hsp20"	"PFAM: heat shock protein Hsp20~KEGG: ava:Ava_3076 heat shock protein HSP20"	"InterPro:IPR002068,NCBI_GP:ABG52208.1"
"Tery_4142"	5329.80802830754	1.88814502317734	0.242925906090153	7.77251407051098	7.69434547502331e-15	8.94088751662849e-13	8479	8940	9065	1314	2936	4970	3378	"  2325.37"	"  1375.23"	"  1661.00"	"   432.92"	"   533.26"	"   890.33"	"   952.21"	"11.1832"	"10.4255"	"10.6978"	" 8.7580"	" 9.0587"	" 9.7982"	" 9.8952"	"Tery_4142"	"gene4182"	"CDS"	6389619	6389930	"+"	"CP000393.1"	"nitrogen fixation protein NifW"	"PFAM: nitrogen fixation protein NifW~KEGG: ava:Ava_3937 nitrogen fixation protein NifW"	"InterPro:IPR004893,NCBI_GP:ABG53150.1"
