#chromosome	start	end	log2FoldChange
CP000393.1	6602327	6602572	-3.97039295299344
CP000393.1	2534182	2535216	-6.65073085688557
CP000393.1	2531396	2532139	-5.22820937287923
CP000393.1	2530383	2530733	-7.6968433736623005
CP000393.1	6601516	6602184	-3.53980850496687
CP000393.1	1318857	1319852	-2.12648488100052
CP000393.1	2529480	2530019	-7.41563396680894
CP000393.1	2568704	2569144	-4.548022469975099
CP000393.1	5213167	5213691	-2.9708293027138595
CP000393.1	4928195	4929331	-1.48721338933062
CP000393.1	1318026	1318814	-2.18626690035808
CP000393.1	431615	432115	1.92233671070407
CP000393.1	2532407	2532922	-2.24343201253582
CP000393.1	641535	642221	-1.8369169087194601
CP000393.1	3472646	3473185	-1.77288489727945
CP000393.1	256583	257716	-1.23336473830561
CP000393.1	5170315	5170887	-1.70372961353065
CP000393.1	5163224	5164828	2.10817326510137
CP000393.1	430086	430994	1.8951786248792801
CP000393.1	7096147	7097130	-1.2737232133191
CP000393.1	428293	429981	1.5863792500053897
CP000393.1	2392917	2393282	1.06213471807277
CP000393.1	2521887	2523671	-1.6274748413117
CP000393.1	427229	427843	1.52802867817803
CP000393.1	1636298	1636651	-1.3815246001791697
CP000393.1	5165518	5166480	1.4698094242877902
CP000393.1	425178	426698	1.6384794248576702
CP000393.1	2322739	2323605	1.3149173209567
CP000393.1	6423763	6424380	-0.923068573335386
CP000393.1	5647774	5648262	-1.3026832334943999
CP000393.1	3047084	3047227	-1.4343398695411798
CP000393.1	3825145	3825366	-4.14235509994075
CP000393.1	431013	431618	1.75694691200756
CP000393.1	2321453	2322700	1.11849815869374
CP000393.1	504317	505921	0.871299720010512
CP000393.1	3963239	3963814	1.31151145176623
CP000393.1	2783783	2785003	1.1455859163378
CP000393.1	7609930	7610943	-0.854096489555735
CP000393.1	2319290	2320687	1.3415329801660199
CP000393.1	2897004	2898995	-0.7713224871135609
CP000393.1	4056388	4057014	-1.09050071333945
CP000393.1	4307061	4311179	-0.910274642303317
CP000393.1	3958010	3958405	3.0426163002902697
CP000393.1	1027704	1029122	-0.740651205624627
CP000393.1	5920770	5922191	1.06666038026086
CP000393.1	3791090	3792550	0.875314248230302
CP000393.1	6712499	6712870	-0.8933925371150679
CP000393.1	4059509	4061926	0.5321297014032821
CP000393.1	5977433	5977909	1.21016267475252
CP000393.1	3314390	3315124	-0.698445608279616
CP000393.1	4627682	4629046	-1.0249231553528801
CP000393.1	6713061	6713747	-0.897209533771933
CP000393.1	7095389	7096027	-0.761396527001934
CP000393.1	2391936	2392385	0.8499256824187629
CP000393.1	506652	507881	0.984244916526178
CP000393.1	5900218	5901993	-1.2181019983905
CP000393.1	3711695	3712375	-0.902237079918008
CP000393.1	212926	214536	0.520621956161625
CP000393.1	3935162	3935752	1.1696456616480702
CP000393.1	6609186	6609947	-0.44405148534251704
CP000393.1	3659861	3660556	-1.0837018378432
CP000393.1	4629834	4630664	-1.07540862627162
CP000393.1	6486600	6487574	0.642424703195422
CP000393.1	2582888	2583367	0.599174956845202
CP000393.1	4054788	4055312	-1.2045987736674801
CP000393.1	4640787	4641197	0.9237169880371091
CP000393.1	1105112	1105870	1.1002975414996399
CP000393.1	3712586	3713398	-0.852106218270755
CP000393.1	6422438	6423289	-0.735737194233568
CP000393.1	1977141	1978658	0.637046257185944
CP000393.1	297094	297624	-0.651671147979723
CP000393.1	1086982	1089591	1.1606497333338202
