#chromosome	start	end	baseMean_LFe
CP000393.1	6602327	6602572	2578.70695561399
CP000393.1	2534182	2535216	60102.931982235896
CP000393.1	2531396	2532139	10957.72907495
CP000393.1	2530383	2530733	1872.55741741951
CP000393.1	6601516	6602184	12605.3092147701
CP000393.1	1318857	1319852	790.2832275255021
CP000393.1	2529480	2530019	1120.2469322439501
CP000393.1	2568704	2569144	580.957135589603
CP000393.1	5213167	5213691	772.724654094764
CP000393.1	4928195	4929331	644.5370943359179
CP000393.1	1318026	1318814	684.9360096938391
CP000393.1	431615	432115	279.518870581222
CP000393.1	2532407	2532922	24044.9026405283
CP000393.1	641535	642221	2492.8526571173998
CP000393.1	3472646	3473185	129.06021382976002
CP000393.1	256583	257716	474.85269961486296
CP000393.1	5170315	5170887	13566.1296674104
CP000393.1	5163224	5164828	124.235477430665
CP000393.1	430086	430994	205.410203243412
CP000393.1	7096147	7097130	5455.26612046036
CP000393.1	428293	429981	626.015822016625
CP000393.1	2392917	2393282	641.595332561436
CP000393.1	2521887	2523671	247.54062644070598
CP000393.1	427229	427843	215.722656017078
CP000393.1	1636298	1636651	44664.523496088
CP000393.1	5165518	5166480	222.42233469759998
CP000393.1	425178	426698	165.481053695702
CP000393.1	2322739	2323605	1683.4877463188
CP000393.1	6423763	6424380	1085.02961469647
CP000393.1	5647774	5648262	194.554071694813
CP000393.1	3047084	3047227	1465.8011120467002
CP000393.1	3825145	3825366	40.2734397186772
CP000393.1	431013	431618	145.45203396713498
CP000393.1	2321453	2322700	1669.97039317476
CP000393.1	504317	505921	494.174218652396
CP000393.1	3963239	3963814	84.7951828644432
CP000393.1	2783783	2785003	3493.96520048739
CP000393.1	7609930	7610943	416.036601012081
CP000393.1	2319290	2320687	1768.1592305891397
CP000393.1	2897004	2898995	1469.1586990516198
CP000393.1	4056388	4057014	416.70611791724195
CP000393.1	4307061	4311179	973.62449820182
CP000393.1	3958010	3958405	130.646563896824
CP000393.1	1027704	1029122	308.293209046179
CP000393.1	5920770	5922191	3622.3204179092895
CP000393.1	3791090	3792550	505.01711610794797
CP000393.1	6712499	6712870	264.532332630705
CP000393.1	4059509	4061926	474.528001319127
CP000393.1	5977433	5977909	504.160298398386
CP000393.1	3314390	3315124	4345.67144686978
CP000393.1	4627682	4629046	77.4663227398291
CP000393.1	6713061	6713747	420.704635462543
CP000393.1	7095389	7096027	10604.714290618
CP000393.1	2391936	2392385	335.27992843384203
CP000393.1	506652	507881	66.6669133997562
CP000393.1	5900218	5901993	139.458879907587
CP000393.1	3711695	3712375	601.52070871867
CP000393.1	212926	214536	320.307675673272
CP000393.1	3935162	3935752	411.34561285297303
CP000393.1	6609186	6609947	1014.6418146739699
CP000393.1	3659861	3660556	1183.21208788595
CP000393.1	4629834	4630664	186.195055799894
CP000393.1	6486600	6487574	282.959545734123
CP000393.1	2582888	2583367	359.189817258663
CP000393.1	4054788	4055312	113.424225871621
CP000393.1	4640787	4641197	1726.80736815423
CP000393.1	1105112	1105870	1003.47857660989
CP000393.1	3712586	3713398	920.445439866856
CP000393.1	6422438	6423289	778.7608962941879
CP000393.1	1977141	1978658	1641.805111488
CP000393.1	297094	297624	400.35271426680396
CP000393.1	1086982	1089591	435.453602722637
CP000393.1	1712154	1715477	232.205336045861
CP000393.1	7320747	7322795	222.889455071516
CP000393.1	5171618	5172202	355.979122367417
CP000393.1	359583	361217	538.338437847883
CP000393.1	6373903	6374769	916.636183321015
CP000393.1	7698675	7699313	357.424981423209
CP000393.1	2687863	2688063	896.4797354829531
CP000393.1	973082	974287	759.000892276253
CP000393.1	1715631	1719581	332.014470936054
CP000393.1	3861798	3862712	1318.4173829312801
CP000393.1	6468582	6470834	800.296177156055
CP000393.1	4637845	4638954	1491.2506549786701
CP000393.1	4510029	4510775	159.852391539915
CP000393.1	5161799	5162062	137.856399951518
CP000393.1	5974812	5977262	305.446180449121
CP000393.1	1562383	1562916	16907.3510587627
CP000393.1	2899102	2902572	5646.199222292939
CP000393.1	1312665	1313972	32.3469356361382
CP000393.1	7100809	7101771	384.483897328771
CP000393.1	7439656	7440087	576.1417419045259
CP000393.1	5158360	5158881	22.905328295674
CP000393.1	772170	774218	1095.71758860716
CP000393.1	6106686	6106904	5232.79442953928
CP000393.1	2508813	2509298	296.936103115592
CP000393.1	3353978	3355360	1524.37621402957
CP000393.1	6373632	6373910	235.933726755591
CP000393.1	3956896	3957825	93.02236758173349
CP000393.1	4384041	4384712	729.8041472597749
CP000393.1	4835143	4836300	1461.3714229123002
CP000393.1	4576166	4577068	354.48952662916395
CP000393.1	7169309	7170043	720.065710975683
CP000393.1	4196545	4197528	5937.68160581313
CP000393.1	6511382	6511732	96.89700478846659
CP000393.1	102724	103299	1482.5517079035099
CP000393.1	5471840	5472277	69.5917207108675
CP000393.1	6821260	6822414	653.646262996489
CP000393.1	5162136	5162609	172.837160751898
CP000393.1	2902686	2905277	7585.701264925529
CP000393.1	5285155	5294736	215.447731675406
CP000393.1	5160194	5161171	69.4132931433159
CP000393.1	675849	677618	2026.2088700437803
CP000393.1	2416673	2417824	931.4785254171879
CP000393.1	1076583	1078646	1047.03273534197
CP000393.1	4986242	4987276	930.871520759801
CP000393.1	4774821	4776155	141.813664757293
CP000393.1	4174532	4176070	199.044260335038
CP000393.1	4022248	4023663	609.867533140644
CP000393.1	1172915	1173760	41.10200670081711
CP000393.1	7704154	7704384	127.295335713311
CP000393.1	2294607	2296907	2979.36717714757
