#chromosome	start	end	gc_skew
CP000393.1	0	1000	0.10119047619047619
CP000393.1	1000	2000	0.043478260869565216
CP000393.1	2000	3000	-0.07335907335907337
CP000393.1	3000	4000	0.08759124087591241
CP000393.1	4000	5000	0.04519774011299435
CP000393.1	5000	6000	0.1693121693121693
CP000393.1	6000	7000	0.13089005235602094
CP000393.1	7000	8000	0.16709511568123395
CP000393.1	8000	9000	0.19021739130434784
CP000393.1	9000	10000	0.1491442542787286
CP000393.1	10000	11000	0.28804347826086957
CP000393.1	11000	12000	0.026143790849673203
CP000393.1	12000	13000	0.02054794520547945
CP000393.1	13000	14000	0.21107266435986158
CP000393.1	14000	15000	0.12056737588652482
CP000393.1	15000	16000	0.11913357400722022
CP000393.1	16000	17000	0.12612612612612611
CP000393.1	17000	18000	0.24285714285714285
CP000393.1	18000	19000	0.08053691275167785
CP000393.1	19000	20000	0.14695340501792115
CP000393.1	20000	21000	0.02356902356902357
CP000393.1	21000	22000	-0.25477707006369427
CP000393.1	22000	23000	-0.14728682170542637
CP000393.1	23000	24000	-0.03225806451612903
CP000393.1	24000	25000	-0.1838006230529595
CP000393.1	25000	26000	-0.14432989690721648
CP000393.1	26000	27000	-0.40792540792540793
CP000393.1	27000	28000	-0.09090909090909091
CP000393.1	28000	29000	-0.19696969696969696
CP000393.1	29000	30000	0.14646464646464646
CP000393.1	30000	31000	0.21613832853025935
CP000393.1	31000	32000	-0.0625
CP000393.1	32000	33000	-0.04195804195804196
CP000393.1	33000	34000	0.0027548209366391185
CP000393.1	34000	35000	0.2033898305084746
CP000393.1	35000	36000	0.08552631578947369
CP000393.1	36000	37000	0.02681992337164751
CP000393.1	37000	38000	0.0410958904109589
CP000393.1	38000	39000	0.17681159420289855
CP000393.1	39000	40000	0.23295454545454544
CP000393.1	40000	41000	0.02702702702702703
CP000393.1	41000	42000	-0.14563106796116504
CP000393.1	42000	43000	-0.05531914893617021
CP000393.1	43000	44000	0.09352517985611511
CP000393.1	44000	45000	-0.06766917293233082
CP000393.1	45000	46000	-0.24210526315789474
CP000393.1	46000	47000	-0.11330049261083744
CP000393.1	47000	48000	-0.07021791767554479
CP000393.1	48000	49000	0.06622516556291391
CP000393.1	49000	50000	-0.07331378299120235
CP000393.1	50000	51000	-0.04
CP000393.1	51000	52000	-0.2509090909090909
CP000393.1	52000	53000	-0.08487084870848709
CP000393.1	53000	54000	0.2260536398467433
CP000393.1	54000	55000	0.01764705882352941
CP000393.1	55000	56000	0.034055727554179564
CP000393.1	56000	57000	0.050746268656716415
CP000393.1	57000	58000	0.025454545454545455
CP000393.1	58000	59000	-0.09293680297397769
CP000393.1	59000	60000	0.06289308176100629
CP000393.1	60000	61000	-0.10526315789473684
CP000393.1	61000	62000	-0.05722070844686648
CP000393.1	62000	63000	-0.07514450867052024
CP000393.1	63000	64000	-0.016835016835016835
CP000393.1	64000	65000	0.08960573476702509
CP000393.1	65000	66000	-0.1111111111111111
CP000393.1	66000	67000	-0.17478510028653296
CP000393.1	67000	68000	-0.11398963730569948
CP000393.1	68000	69000	-0.18652849740932642
CP000393.1	69000	70000	-0.08108108108108109
CP000393.1	70000	71000	0.08196721311475409
CP000393.1	71000	72000	0.07651715039577836
CP000393.1	72000	73000	0.07602339181286549
CP000393.1	73000	74000	-0.18518518518518517
CP000393.1	74000	75000	-0.05956112852664577
CP000393.1	75000	76000	-0.01764705882352941
CP000393.1	76000	77000	0.09422492401215805
CP000393.1	77000	78000	0.1388101983002833
CP000393.1	78000	79000	0.12786885245901639
CP000393.1	79000	80000	0.14285714285714285
CP000393.1	80000	81000	0.18620689655172415
CP000393.1	81000	82000	0.1346153846153846
CP000393.1	82000	83000	-0.04891304347826087
CP000393.1	83000	84000	-0.015151515151515152
CP000393.1	84000	85000	-0.015105740181268883
CP000393.1	85000	86000	0.10795454545454546
CP000393.1	86000	87000	0.056856187290969896
CP000393.1	87000	88000	0.13736263736263737
CP000393.1	88000	89000	-0.10903426791277258
CP000393.1	89000	90000	0.15384615384615385
CP000393.1	90000	91000	-0.044444444444444446
CP000393.1	91000	92000	-0.15129151291512916
CP000393.1	92000	93000	-0.11842105263157894
