#chromosome	start	end	log2FoldChange
CP000393.1	3826052	3827158	-7.86454177627575
CP000393.1	3828573	3830141	-8.201139276824959
CP000393.1	3827539	3828570	-8.043998888873531
CP000393.1	2569444	2570484	-6.26325783236461
CP000393.1	3831730	3832440	-4.81013347309311
CP000393.1	4682776	4683933	-2.01025379541199
CP000393.1	2883011	2883310	5.21897859420123
CP000393.1	2528196	2528942	-3.41750560971871
CP000393.1	4684202	4685209	-1.9475001406346002
CP000393.1	5868027	5869220	-2.52815119789884
CP000393.1	4721367	4721714	3.7723704503440603
CP000393.1	5867650	5867856	-2.80480164515914
CP000393.1	5876968	5881329	-2.72449369127169
CP000393.1	5897089	5899005	-2.3361439215380098
CP000393.1	2883903	2884400	3.7717674487740696
CP000393.1	4685403	4685561	-2.22242006511033
CP000393.1	2526786	2527910	-1.5178792768149998
CP000393.1	5892400	5893881	-2.76418150367364
CP000393.1	5894131	5895816	-2.70728472228213
CP000393.1	5887337	5891401	-2.75660526180036
CP000393.1	269811	270872	-1.9066983911708302
CP000393.1	4722059	4722535	3.82600432513753
CP000393.1	5869316	5876971	-2.52129330289562
CP000393.1	6383569	6385107	2.04740246608804
CP000393.1	5881443	5887172	-2.76642483731776
CP000393.1	6716835	6718196	-1.9970561052592501
CP000393.1	6602856	6603398	2.07831894754812
CP000393.1	5891768	5892256	-2.46173373733446
CP000393.1	5867072	5867284	-2.33020504462592
CP000393.1	6377943	6379145	1.87036100111148
CP000393.1	6375963	6377432	2.07385461690476
CP000393.1	2884846	2886438	1.82517628315723
CP000393.1	5176866	5177915	-1.7979883535293502
CP000393.1	6716014	6716829	-2.07694999612737
CP000393.1	6380808	6381698	1.9532904924441001
CP000393.1	2539184	2541211	-1.30041486371577
CP000393.1	6713998	6715434	-2.01967592126198
CP000393.1	4511390	4512130	0.94196636907765
CP000393.1	64428	64763	1.21973620977814
CP000393.1	4672724	4673209	1.32209970447317
CP000393.1	1878803	1879288	1.51129346271821
CP000393.1	6381887	6383344	1.6702913129002
CP000393.1	4722704	4723204	3.4309445995756502
CP000393.1	6738117	6738773	-0.923377141717679
CP000393.1	6126370	6127230	1.26669897937834
CP000393.1	2541678	2542307	-1.5859907896524599
CP000393.1	6662635	6662988	-1.03222931281297
CP000393.1	1565800	1566267	0.9592841918931692
CP000393.1	259770	261428	-1.3621268239580402
CP000393.1	4024835	4025545	1.19231172269158
CP000393.1	28954	30639	0.7223273412491821
CP000393.1	6388520	6388939	1.53663056569677
CP000393.1	6388944	6389414	1.40850548242935
CP000393.1	6739030	6739482	-0.695814676162303
CP000393.1	2716582	2717496	0.9456722762355809
CP000393.1	6396183	6398069	1.1485349252997599
CP000393.1	6385521	6388331	1.51813287761013
CP000393.1	2786301	2786687	-1.4083789764156598
CP000393.1	271328	272389	-1.2838363731865101
CP000393.1	5865822	5866112	-1.13735806511575
CP000393.1	3608132	3609067	1.43645325781176
CP000393.1	7273367	7274410	0.9422925875765121
CP000393.1	2537397	2538692	-1.17728543992153
CP000393.1	5792469	5793836	0.7525438520295401
CP000393.1	5793963	5799539	0.593726321069927
CP000393.1	3217926	3219299	1.29677530719422
CP000393.1	4720723	4721199	3.83914365740686
CP000393.1	6196641	6197117	0.9586709396498408
CP000393.1	727178	728614	-1.26206741526672
CP000393.1	6391312	6391662	1.5393278632053
CP000393.1	4673511	4674395	0.892136312738192
CP000393.1	446241	447479	-0.810214893886366
CP000393.1	3035691	3036203	1.0325374346890501
CP000393.1	3955556	3956104	-1.357016887988
CP000393.1	6258428	6259666	0.498488622360105
CP000393.1	2473082	2473654	0.6937177938471739
CP000393.1	6718583	6719845	-0.851835315308458
CP000393.1	3487533	3487862	-0.7259547517918921
CP000393.1	210882	211856	0.77320987617587
CP000393.1	258358	259317	-0.867311970895127
CP000393.1	5743982	5744932	-0.668145758464318
CP000393.1	147658	148572	0.844953285278587
CP000393.1	4154773	4155258	1.0815282036173899
CP000393.1	6117291	6117749	-0.647078723879265
CP000393.1	6394208	6395023	1.20597276915003
CP000393.1	3248488	3248709	1.5970127052604801
CP000393.1	129597	129836	-1.04123097295266
CP000393.1	7413757	7414683	0.689306441742059
CP000393.1	3599249	3599467	-0.842497025807874
CP000393.1	4759501	4759875	0.690328359662901
CP000393.1	6416012	6417022	-0.614456489361235
CP000393.1	6234655	6236352	1.12650358029726
CP000393.1	5241202	5242893	-0.388831684626894
CP000393.1	3490104	3490517	-0.773538192118451
CP000393.1	146668	146931	0.8947424006222041
CP000393.1	1066433	1066786	0.8700833929445941
CP000393.1	3457034	3458482	-0.6829036397885611
CP000393.1	6305555	6305845	0.8999631972108909
CP000393.1	3326951	3327271	-1.2299867708658
CP000393.1	7597822	7598313	-0.7286582311815999
CP000393.1	1531676	1533391	0.8091556617855971
CP000393.1	5476434	5477198	-0.6453882855922309
CP000393.1	6949035	6949877	0.9874138217911841
CP000393.1	4753670	4755760	0.49269823615803204
CP000393.1	289075	289680	-0.791357484301941
CP000393.1	131093	131992	-0.7775014209598191
CP000393.1	2499307	2499843	0.8308448005740671
CP000393.1	6389619	6389930	1.1920618505698102
CP000393.1	3489228	3489707	-0.617855242482692
CP000393.1	1880411	1881139	0.49823878199206
CP000393.1	959820	960812	0.5801351563511761
CP000393.1	966890	968791	-0.773964220677582
CP000393.1	4760789	4761421	0.9285377197449929
CP000393.1	2113589	2114314	0.5950517053136999
CP000393.1	3556071	3556703	0.818434550223165
CP000393.1	3142781	3143446	0.6001806945336601
CP000393.1	659042	662110	-1.4141840242704902
CP000393.1	304605	306062	0.591624235898357
CP000393.1	4182225	4183586	-0.537216619941847
CP000393.1	5282994	5284496	-0.8328791838115931
CP000393.1	5963776	5964636	-0.653874860907031
CP000393.1	2447515	2447886	-0.581421936987556
CP000393.1	4761458	4762408	1.07482303976288
CP000393.1	3015717	3016298	0.951105403894563
CP000393.1	6895590	6896672	-0.514798995504668
CP000393.1	756838	757155	0.5568473888235009
CP000393.1	4752782	4753627	0.733897313882334
CP000393.1	209440	210882	0.6331231546187
CP000393.1	5216566	5217576	-0.7454640786426979
CP000393.1	3975715	3976170	-0.485786963841144
CP000393.1	7066918	7068804	-0.547670636371419
CP000393.1	461870	463597	-0.4778996007106429
CP000393.1	3914490	3914915	0.7324183996074749
CP000393.1	4402324	4402839	0.705810519756383
CP000393.1	4065176	4065517	-0.639113894205093
CP000393.1	2677085	2678728	0.692276804766881
CP000393.1	3605596	3605820	-0.549658334891445
