""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"LFe_d5_rep3_RAW"	"LFe_d7_rep1_RAW"	"LFe_d7_rep2_RAW"	"LFe_d7_rep3_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"MFe_d5_rep3_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"LFe_d5_rep3_CPM"	"LFe_d7_rep1_CPM"	"LFe_d7_rep2_CPM"	"LFe_d7_rep3_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"MFe_d5_rep3_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"LFe_d5_rep3_logCPM"	"LFe_d7_rep1_logCPM"	"LFe_d7_rep2_logCPM"	"LFe_d7_rep3_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"MFe_d5_rep3_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_2483"	12386.1722397277	19171.6898679608	81.3790604881305	11119.9301625011	-7.86454177627575	0.290411387893495	-27.0806934718413	1.66237805999583e-161	6.68275980118323e-158	40	167	71	11739	24609	24142	19545	26604	14132	16076	15391	4037	"    11.08"	"    26.13"	"    13.19"	"  3933.36"	"  4197.11"	"  4449.96"	"  3722.65"	"  3825.85"	"  3691.00"	"  2926.77"	"  2830.28"	"  1151.96"	" 3.59"	" 4.76"	" 3.83"	"11.94"	"12.04"	"12.12"	"11.86"	"11.90"	"11.85"	"11.52"	"11.47"	"10.17"	"Tery_2483"	"gene2505"	"CDS"	3826052	3827158	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4002 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000932,NCBI_GP:ABG51691.1"
"Tery_2485"	13975.1079800879	21491.9212129777	72.1636087494658	12844.4258856467	-8.20113927682496	0.36342687491211	-22.5661332250354	9.32533918925659e-113	1.87439317704058e-109	28	185	43	13726	27303	26958	22289	25370	17558	17202	19219	4607	"     7.76"	"    28.95"	"     7.99"	"  4599.14"	"  4656.58"	"  4969.02"	"  4245.29"	"  3648.39"	"  4585.80"	"  3131.77"	"  3534.22"	"  1314.61"	" 3.13"	" 4.90"	" 3.17"	"12.17"	"12.19"	"12.28"	"12.05"	"11.83"	"12.16"	"11.61"	"11.79"	"10.36"	"Tery_2485"	"gene2507"	"CDS"	3828573	3830141	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like photosystem I reaction centre%2C subunit XI PsaL~KEGG: ana:all4002 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000932,InterPro:IPR003757,NCBI_GP:ABG51693.1"
"Tery_4281"	1780.55542077385	2578.70695561399	163.42100045692	1801.38677141052	-3.97039295299344	0.177788068684305	-22.3321676329338	1.79982599919663e-110	2.41176683892349e-107	102	274	162	1540	3058	2805	3021	4212	1796	2315	2269	979	"    28.26"	"    42.87"	"    30.10"	"   516.00"	"   521.55"	"   517.03"	"   575.40"	"   605.72"	"   469.08"	"   421.47"	"   417.25"	"   279.36"	" 4.87"	" 5.46"	" 4.96"	" 9.01"	" 9.03"	" 9.02"	" 9.17"	" 9.24"	" 8.88"	" 8.72"	" 8.71"	" 8.13"	"Tery_4281"	"gene4323"	"CDS"	6602327	6602572	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_4530 hypothetical protein"	"NCBI_GP:ABG53278.1"
"Tery_2484"	13607.8434048103	19956.2289440253	74.8676945640601	14444.0480366266	-8.04399888887353	0.360888993819971	-22.289399307329	4.68232206668297e-110	4.70573367701638e-107	32	172	57	14120	31485	22759	18453	27599	11535	16106	25389	4817	"     8.87"	"    26.91"	"    10.59"	"  4731.15"	"  5369.83"	"  4195.04"	"  3514.66"	"  3968.94"	"  3012.71"	"  2932.23"	"  4668.84"	"  1374.54"	" 3.30"	" 4.80"	" 3.54"	"12.21"	"12.39"	"12.03"	"11.78"	"11.95"	"11.56"	"11.52"	"12.19"	"10.43"	"Tery_2484"	"gene2506"	"CDS"	3827539	3828570	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4003 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000169,InterPro:IPR000932,NCBI_GP:ABG51692.1"
"Tery_1687"	33651.0950922646	52215.1041570434	678.934580857287	29495.2374741142	-6.26325783236461	0.283705625226639	-22.0766078478747	5.30437363881111e-108	4.26471640560414e-105	343	1243	705	30891	61698	56348	57764	67709	49337	39417	45509	9757	"    95.04"	"   194.50"	"   131.01"	" 10350.57"	" 10522.71"	" 10386.31"	" 11002.05"	"  9737.05"	" 12885.84"	"  7176.20"	"  8368.75"	"  2784.17"	" 6.59"	" 7.61"	" 7.04"	"13.34"	"13.36"	"13.34"	"13.43"	"13.25"	"13.65"	"12.81"	"13.03"	"11.44"	"Tery_1687"	"gene1697"	"CDS"	2569444	2570484	"+"	"CP000393.1"	"fructose-bisphosphate aldolase"	"PFAM: fructose-bisphosphate aldolase%2C class-I~KEGG: xcb:XC_0979 fructose-bisphosphate aldolase"	"InterPro:IPR000741,NCBI_GP:ABG50958.1"
"Tery_1667"	39989.0266639407	60102.9319822359	598.149022477613	39152.0936688134	-6.65073085688557	0.316820235889371	-20.9921277225736	7.74022348102858e-98	5.18594973228915e-95	452	852	603	40970	84850	68259	58677	76395	44912	54818	64135	9007	"   125.24"	"   133.32"	"   112.06"	" 13727.71"	" 14471.33"	" 12581.80"	" 11175.94"	" 10986.16"	" 11730.12"	"  9980.08"	" 11793.93"	"  2570.16"	" 6.98"	" 7.07"	" 6.82"	"13.74"	"13.82"	"13.62"	"13.45"	"13.42"	"13.52"	"13.28"	"13.53"	"11.33"	"Tery_1667"	"gene1677"	"CDS"	2534182	2535216	"-"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4001 photosystem II chlorophyll a-binding protein"	"InterPro:IPR000169,InterPro:IPR000932,NCBI_GP:ABG50938.1"
"Tery_1665"	6912.28443323456	10957.72907495	292.683063076585	5440.99651996169	-5.22820937287923	0.268365861292032	-19.4816484768529	1.57137680461176e-84	9.02419250648466e-82	253	375	283	6327	13510	10222	12693	20256	7576	7913	7766	1796	"    70.10"	"    58.68"	"    52.59"	"  2119.97"	"  2304.16"	"  1884.16"	"  2417.58"	"  2912.96"	"  1978.70"	"  1440.63"	"  1428.11"	"   512.49"	" 6.15"	" 5.90"	" 5.74"	"11.05"	"11.17"	"10.88"	"11.24"	"11.51"	"10.95"	"10.49"	"10.48"	" 9.00"	"Tery_1665"	"gene1675"	"CDS"	2531396	2532139	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr2406 hypothetical protein"	"NCBI_GP:ABG50936.1"
"Tery_1664"	1093.29775602741	1872.55741741951	9.34568088175516	618.730508388865	-7.6968433736623	0.40857030499967	-18.8384796434692	3.65309070957047e-79	1.83567808155916e-76	10	11	7	771	1651	1734	2779	3280	1791	1061	669	239	"     2.77"	"     1.72"	"     1.30"	"   258.34"	"   281.58"	"   319.62"	"   529.30"	"   471.69"	"   467.77"	"   193.16"	"   123.02"	"    68.20"	" 1.91"	" 1.44"	" 1.20"	" 8.02"	" 8.14"	" 8.32"	" 9.05"	" 8.88"	" 8.87"	" 7.60"	" 6.95"	" 6.11"	"Tery_1664"	"gene1674"	"CDS"	2530383	2530733	"-"	"CP000393.1"	"hypothetical protein"	"KEGG: ava:Ava_3337 hypothetical protein"	"NCBI_GP:ABG50935.1"
"Tery_4280"	8487.58776566165	12605.3092147701	1083.74916174019	7655.98347136627	-3.53980850496687	0.193966048283192	-18.2496294392651	2.08317478439797e-74	9.30484737031091e-72	826	1640	1001	6403	11160	14430	16948	18801	11599	10707	8256	4497	"   228.87"	"   256.62"	"   186.02"	"  2145.44"	"  1903.36"	"  2659.80"	"  3228.01"	"  2703.72"	"  3029.43"	"  1949.30"	"  1518.21"	"  1283.23"	" 7.84"	" 8.01"	" 7.55"	"11.07"	"10.90"	"11.38"	"11.66"	"11.40"	"11.57"	"10.93"	"10.57"	"10.33"	"Tery_4280"	"gene4322"	"CDS"	6601516	6602184	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_4529 hypothetical protein"	"NCBI_GP:ABG53277.1"
"Tery_0831"	588.975714738153	790.283227525502	179.568047788814	595.768356112792	-2.12648488100052	0.123169686328632	-17.2646772463705	8.67876977550345e-67	3.48886544975239e-64	117	271	196	468	956	830	915	1189	628	606	718	445	"    32.42"	"    42.40"	"    36.42"	"   156.81"	"   163.05"	"   152.99"	"   174.28"	"   170.99"	"   164.02"	"   110.33"	"   132.03"	"   126.98"	" 5.06"	" 5.44"	" 5.23"	" 7.30"	" 7.36"	" 7.27"	" 7.45"	" 7.43"	" 7.37"	" 6.80"	" 7.06"	" 7.00"	"Tery_0831"	"gene837"	"CDS"	1318857	1319852	"-"	"CP000393.1"	"Twin-arginine translocation pathway signal"	"TIGRFAM: Twin-arginine translocation pathway signal~PFAM: multicopper oxidase%2C type 2  multicopper oxidase%2C type 3~KEGG: ava:Ava_1760 multicopper oxidase%2C types 2 and 3"	"InterPro:IPR001287,InterPro:IPR006311,InterPro:IPR011706,InterPro:IPR011707,NCBI_GP:ABG50245.1"
"Tery_2486"	1829.3016423073	2893.58406462547	102.993699092967	1427.0447408853	-4.81013347309311	0.285508337841162	-16.8476112097614	1.09238819820249e-63	3.99218232434e-61	70	133	127	1864	3225	3005	3509	3916	2437	2007	2202	409	"    19.40"	"    20.81"	"    23.60"	"   624.57"	"   550.03"	"   553.90"	"   668.34"	"   563.15"	"   636.50"	"   365.39"	"   404.93"	"   116.71"	" 4.35"	" 4.45"	" 4.62"	" 9.29"	" 9.11"	" 9.12"	" 9.39"	" 9.14"	" 9.32"	" 8.52"	" 8.67"	" 6.88"	"Tery_2486"	"gene2508"	"CDS"	3831730	3832440	"+"	"CP000393.1"	"Phycobilisome linker polypeptide"	"PFAM: Phycobilisome linker polypeptide~KEGG: syn:sll1471 phycobilisome rod-core linker polypeptide"	"InterPro:IPR001297,NCBI_GP:ABG51694.1"
