""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_1686"	200.589761198393	-2.08662841670121	0.292457905672253	-7.13479914965821	9.69285903623274e-13	3.08039060171477e-09	22	33	23	371	635	192	73	"     6.03"	"     5.08"	"     4.21"	"   122.23"	"   115.33"	"    34.40"	"    20.58"	" 2.81"	" 2.60"	" 2.38"	" 6.95"	" 6.86"	" 5.15"	" 4.43"	"Tery_1686"	"gene1696"	"CDS"	2568704	2569144	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr1356 hypothetical protein"	"NCBI_GP:ABG50957.1"
"Tery_1046"	25349.2545798152	-1.36651081203271	0.22357045399346	-6.11221557958049	9.82573249396976e-10	1.04087259552786e-06	14892	19343	18674	32325	54259	23717	12949	"  4084.13"	"  2975.51"	"  3421.68"	" 10650.04"	"  9854.95"	"  4248.69"	"  3650.14"	"12.00"	"11.54"	"11.74"	"13.38"	"13.27"	"12.05"	"11.83"	"Tery_1046"	"gene1052"	"CDS"	1636298	1636651	"-"	"CP000393.1"	"protein of unknown function DUF1257"	"PFAM: protein of unknown function DUF1257~KEGG: ava:Ava_4766 protein of unknown function DUF1257"	"InterPro:IPR009666,NCBI_GP:ABG50418.1"
"Tery_1663"	298.03931301358	-1.64361511574597	0.294493662382355	-5.58115615273238	2.38925012619878e-08	1.89825922526493e-05	4	9	8	460	1061	379	146	"     1.10"	"     1.38"	"     1.47"	"   151.56"	"   192.71"	"    67.89"	"    41.16"	" 1.07"	" 1.25"	" 1.30"	" 7.25"	" 7.60"	" 6.11"	" 5.40"	"Tery_1663"	"gene1673"	"CDS"	2529480	2530019	"-"	"CP000393.1"	"putative transcriptional regulator%2C Crp/Fnr family"	"PFAM: regulatory protein%2C Crp~KEGG: ana:all4500 transcriptional regulator"	"InterPro:IPR001808,InterPro:IPR012318,NCBI_GP:ABG50934.1"
"Tery_1657"	122.797637838762	-1.46584102812528	0.273905753458576	-5.35162554862858	8.71676284426592e-08	5.54037446381542e-05	64	95	92	155	283	102	66	"    17.55"	"    14.61"	"    16.86"	"    51.07"	"    51.40"	"    18.27"	"    18.60"	" 4.21"	" 3.96"	" 4.16"	" 5.70"	" 5.71"	" 4.27"	" 4.29"	"Tery_1657"	"gene1667"	"CDS"	2521887	2523671	"-"	"CP000393.1"	"TPR repeat"	"PFAM: TPR repeat Tetratricopeptide TPR_2~SMART: Tetratricopeptide region~KEGG: pmt:PMT0296 TPR repeat"	"InterPro:IPR001023,InterPro:IPR001440,InterPro:IPR013026,InterPro:IPR013105,NCBI_GP:ABG50930.1"
"Tery_1664"	496.60858829232	-1.59066684607993	0.30251582831208	-5.25812766543565	1.45529480022661e-07	5.78115859390021e-05	10	11	7	771	1734	669	239	"     2.74"	"     1.69"	"     1.28"	"   254.02"	"   314.94"	"   119.85"	"    67.37"	" 1.90"	" 1.43"	" 1.19"	" 7.99"	" 8.30"	" 6.92"	" 6.10"	"Tery_1664"	"gene1674"	"CDS"	2530383	2530733	"-"	"CP000393.1"	"hypothetical protein"	"KEGG: ava:Ava_3337 hypothetical protein"	"NCBI_GP:ABG50935.1"
"Tery_3822"	2801.95141311588	-1.84817281194119	0.348659908621735	-5.30078958388731	1.15302918034365e-07	5.78115859390021e-05	984	1254	873	4846	7079	3108	845	"   269.86"	"   192.90"	"   159.96"	"  1596.60"	"  1285.74"	"   556.77"	"   238.19"	" 8.08"	" 7.60"	" 7.33"	"10.64"	"10.33"	" 9.12"	" 7.90"	"Tery_3822"	"gene3859"	"CDS"	5887337	5891401	"+"	"CP000393.1"	"beta-ketoacyl synthase"	"PFAM: beta-ketoacyl synthase  Thioesterase  acyl transferase region phosphopantetheine-binding~KEGG: ava:Ava_3986 short-chain dehydrogenase/reductase SDR"	"InterPro:IPR000379,InterPro:IPR000794,InterPro:IPR001031,InterPro:IPR001227,InterPro:IPR003965,InterPro:IPR006162,InterPro:IPR006163,NCBI_GP:ABG52866.1"
"Tery_4984"	871.750948631706	-1.09962216422746	0.208339358259352	-5.27803374943007	1.30577419753641e-07	5.78115859390021e-05	652	1069	898	812	1645	704	485	"   178.81"	"   164.44"	"   164.54"	"   267.53"	"   298.78"	"   126.12"	"   136.71"	" 7.49"	" 7.37"	" 7.37"	" 8.07"	" 8.23"	" 6.99"	" 7.11"	"Tery_4984"	"gene5029"	"CDS"	7616499	7616936	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_B0254 hypothetical protein"	"NCBI_GP:ABG53898.1"
"Tery_1662"	79.0297871094994	-1.90463663242429	0.366332353723106	-5.19920398257783	2.00143790628046e-07	6.3605696661593e-05	17	19	22	147	213	85	26	"     4.66"	"     2.92"	"     4.03"	"    48.43"	"    38.69"	"    15.23"	"     7.33"	" 2.50"	" 1.97"	" 2.33"	" 5.63"	" 5.31"	" 4.02"	" 3.06"	"Tery_1662"	"gene1672"	"CDS"	2528196	2528942	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_1216 hypothetical protein"	"NCBI_GP:ABG50933.1"
"Tery_3824"	599.969264042162	-1.58909513993605	0.324292919448133	-4.90018450800684	9.57466944338399e-07	0.000202855329940496	194	324	259	870	1612	751	199	"    53.20"	"    49.84"	"    47.46"	"   286.64"	"   292.78"	"   134.53"	"    56.10"	" 5.76"	" 5.67"	" 5.60"	" 8.17"	" 8.20"	" 7.08"	" 5.84"	"Tery_3824"	"gene3861"	"CDS"	5892400	5893881	"+"	"CP000393.1"	"putative flavin-binding monooxygenase"	"KEGG: pae:PA2097 probable flavin-binding monooxygenase"	"InterPro:IPR000103,InterPro:IPR000759,InterPro:IPR013027,NCBI_GP:ABG52868.1"
"Tery_3820"	4129.03958841161	-1.70214062856132	0.353553613461782	-4.81437768912892	1.4765930790748e-06	0.000293288300331231	1356	1832	1246	7173	9994	5055	1313	"   371.88"	"   281.81"	"   228.31"	"  2363.27"	"  1815.19"	"   905.56"	"   370.12"	" 8.54"	" 8.14"	" 7.84"	"11.21"	"10.83"	" 9.82"	" 8.54"	"Tery_3820"	"gene3857"	"CDS"	5876968	5881329	"+"	"CP000393.1"	"AMP-dependent synthetase and ligase"	"PFAM: AMP-dependent synthetase and ligase condensation domain  phosphopantetheine-binding~KEGG: mlo:mll6983 similar to coenzyme a synthetase"	"InterPro:IPR000873,InterPro:IPR001242,InterPro:IPR002086,InterPro:IPR006163,NCBI_GP:ABG52864.1"
"Tery_2405"	560.90756004173	-1.02160608975642	0.21346518776073	-4.78582058495423	1.70290129961413e-06	0.000300656685009649	380	697	546	523	1079	505	319	"   104.22"	"   107.22"	"   100.04"	"   172.31"	"   195.98"	"    90.47"	"    89.92"	" 6.72"	" 6.76"	" 6.66"	" 7.44"	" 7.62"	" 6.52"	" 6.51"	"Tery_2405"	"gene2425"	"CDS"	3712586	3713398	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_0577 hypothetical protein"	"NCBI_GP:ABG51623.1"
"Tery_0624"	128.926060755536	-2.02837296047965	0.448925655744369	-4.51828255864856	6.23432520416705e-06	0.000733803166623811	154	88	93	127	322	53	54	"    42.23"	"    13.54"	"    17.04"	"    41.84"	"    58.48"	"     9.49"	"    15.22"	" 5.43"	" 3.86"	" 4.17"	" 5.42"	" 5.89"	" 3.39"	" 4.02"	"Tery_0624"	"gene629"	"CDS"	1017941	1018180	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG50066.1"
"Tery_0192"	956.049223764127	-1.08577193814144	0.242140351227903	-4.48406030897142	7.3235948775683e-06	0.000750786597448776	690	1071	829	1134	1545	766	599	"   189.23"	"   164.75"	"   151.90"	"   373.62"	"   280.62"	"   137.22"	"   168.85"	" 7.57"	" 7.37"	" 7.26"	" 8.55"	" 8.14"	" 7.11"	" 7.41"	"Tery_0192"	"gene193"	"CDS"	289075	289680	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: cch:Cag_0159 hypothetical protein"	"NCBI_GP:ABG49682.1"
"Tery_1773"	455.459571690603	-1.05232552424677	0.234071703941947	-4.49574000840256	6.93284071244601e-06	0.000750786597448776	331	690	468	448	737	407	218	"    90.78"	"   106.14"	"    85.75"	"   147.60"	"   133.86"	"    72.91"	"    61.45"	" 6.52"	" 6.74"	" 6.44"	" 7.22"	" 7.08"	" 6.21"	" 5.96"	"Tery_1773"	"gene1784"	"CDS"	2702305	2704974	"-"	"CP000393.1"	"Na-Ca exchanger/integrin-beta4"	"PFAM: Na-Ca exchanger/integrin-beta4 FG-GAP~KEGG: ava:Ava_0582 integrins alpha chain"	"InterPro:IPR003644,InterPro:IPR013517,NCBI_GP:ABG51033.1"
"Tery_2404"	372.851319869988	-1.00756154963264	0.223798953138155	-4.50208339004454	6.72905678918196e-06	0.000750786597448776	244	393	378	387	680	331	230	"    66.92"	"    60.45"	"    69.26"	"   127.50"	"   123.51"	"    59.30"	"    64.83"	" 6.09"	" 5.94"	" 6.13"	" 7.01"	" 6.96"	" 5.91"	" 6.04"	"Tery_2404"	"gene2424"	"CDS"	3711695	3712375	"-"	"CP000393.1"	"protein of unknown function DUF218"	"PFAM: protein of unknown function DUF218~KEGG: ava:Ava_0298 protein of unknown function DUF218"	"InterPro:IPR003848,NCBI_GP:ABG51622.1"
"Tery_0174"	1394.94255459424	-1.12477569932066	0.254345684486846	-4.42223229220479	9.76863485427492e-06	0.000872860488101332	764	1147	812	1894	2637	1586	772	"   209.53"	"   176.44"	"   148.78"	"   624.01"	"   478.95"	"   284.12"	"   217.62"	" 7.72"	" 7.47"	" 7.23"	" 9.29"	" 8.91"	" 8.16"	" 7.77"	"Tery_0174"	"gene173"	"CDS"	259770	261428	"+"	"CP000393.1"	"GUN4-like"	"PFAM: GUN4-like~KEGG: ana:alr4949 serine/threonine kinase"	"InterPro:IPR000585,InterPro:IPR008629,NCBI_GP:ABG49666.1"
"Tery_3819"	6630.17113589347	-1.57705962002866	0.356831845343434	-4.41961568343435	9.88765814085839e-06	0.000872860488101332	2471	2897	2096	11580	14788	8370	2361	"   677.67"	"   445.64"	"   384.05"	"  3815.23"	"  2685.92"	"  1499.41"	"   665.53"	" 9.41"	" 8.80"	" 8.59"	"11.90"	"11.39"	"10.55"	" 9.38"	"Tery_3819"	"gene3856"	"CDS"	5869316	5876971	"+"	"CP000393.1"	"beta-ketoacyl synthase"	"PFAM: beta-ketoacyl synthase  acyl transferase region short-chain dehydrogenase/reductase SDR phosphopantetheine-binding  Alcohol dehydrogenase%2C zinc-binding Alcohol dehydrogenase GroES-like Methyltransferase type 11 Methyltransferase type 12~KEGG: ana:alr2680 polyketide synthase"	"InterPro:IPR000051,InterPro:IPR000794,InterPro:IPR001227,InterPro:IPR001601,InterPro:IPR002198,InterPro:IPR006162,InterPro:IPR006163,InterPro:IPR013149,InterPro:IPR013154,InterPro:IPR013216,InterPro:IPR013217,NCBI_GP:ABG52863.1"
"Tery_2245"	313.363529264038	-1.05375973266361	0.246354438858346	-4.27741321628679	1.89077632208367e-05	0.00143245468204736	187	434	284	313	589	299	166	"    51.28"	"    66.76"	"    52.04"	"   103.12"	"   106.98"	"    53.56"	"    46.79"	" 5.71"	" 6.08"	" 5.73"	" 6.70"	" 6.75"	" 5.77"	" 5.58"	"Tery_2245"	"gene2265"	"CDS"	3490104	3490517	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_3631 hypothetical protein"	"NCBI_GP:ABG51474.1"
"Tery_1047"	21742.7215376826	-0.985731866597458	0.23109250430045	-4.26552938002645	1.99428766939834e-05	0.0014739177240344	18665	27287	22594	18944	38559	15835	13497	"  5118.88"	"  4197.53"	"  4139.95"	"  6241.43"	"  7003.39"	"  2836.70"	"  3804.61"	"12.32"	"12.04"	"12.02"	"12.61"	"12.77"	"11.47"	"11.89"	"Tery_1047"	"gene1053"	"CDS"	1636808	1638328	"-"	"CP000393.1"	"AAA ATPase%2C central region"	"PFAM: AAA ATPase%2C central region~SMART: ATPase~KEGG: ava:Ava_4767 AAA ATPase%2C central region"	"InterPro:IPR003593,InterPro:IPR003959,NCBI_GP:ABG50419.1"
