#chromosome	start	end	baseMean_LFe
CP000393.1	3826052	3827158	19171.689867960802
CP000393.1	3828573	3830141	21491.9212129777
CP000393.1	3827539	3828570	19956.2289440253
CP000393.1	2569444	2570484	52215.104157043395
CP000393.1	3831730	3832440	2893.58406462547
CP000393.1	4682776	4683933	3842.16660321387
CP000393.1	2883011	2883310	152.226629324794
CP000393.1	2528196	2528942	199.366739252448
CP000393.1	4684202	4685209	3832.2781160786603
CP000393.1	5868027	5869220	3191.3579548605894
CP000393.1	4721367	4721714	8.67351372405756
CP000393.1	5867650	5867856	5195.5923095360795
CP000393.1	5876968	5881329	9530.166036049399
CP000393.1	5897089	5899005	27821.030654457998
CP000393.1	2883903	2884400	27.944578722076997
CP000393.1	4685403	4685561	929.616150876581
CP000393.1	2526786	2527910	226.201732139038
CP000393.1	5892400	5893881	1672.11601421023
CP000393.1	5894131	5895816	7848.122117025891
CP000393.1	5887337	5891401	6878.30616341343
CP000393.1	269811	270872	8627.33534010168
CP000393.1	4722059	4722535	8.132725980565361
CP000393.1	5869316	5876971	14144.9328618497
CP000393.1	6383569	6385107	9780.89399872243
CP000393.1	5881443	5887172	8665.31104573292
CP000393.1	6716835	6718196	516.6791590428389
CP000393.1	6602856	6603398	2125.39003798181
CP000393.1	5891768	5892256	1078.73703527599
CP000393.1	5867072	5867284	4322.106469046839
CP000393.1	6377943	6379145	1822.44621586454
CP000393.1	6375963	6377432	3043.21482422336
CP000393.1	2884846	2886438	258.573302575296
CP000393.1	5176866	5177915	4789.91548372526
CP000393.1	6716014	6716829	482.952526296519
CP000393.1	6380808	6381698	13084.6006259876
CP000393.1	2539184	2541211	800.2532444614011
CP000393.1	6713998	6715434	1303.0349152443598
CP000393.1	4511390	4512130	173.26674425424198
CP000393.1	64428	64763	162.503191244172
CP000393.1	4672724	4673209	56.360653226561006
CP000393.1	1878803	1879288	2291.10588169678
CP000393.1	6381887	6383344	14570.6471357597
CP000393.1	4722704	4723204	33.1174855904668
CP000393.1	6738117	6738773	931.2030397448689
CP000393.1	6126370	6127230	1134.2622605796198
CP000393.1	2541678	2542307	81.24222791505291
CP000393.1	6662635	6662988	455.11674229108297
CP000393.1	1565800	1566267	203.09365739281998
CP000393.1	259770	261428	2248.1741783587304
CP000393.1	4024835	4025545	2873.59610211109
CP000393.1	28954	30639	972.8357794248241
CP000393.1	6388520	6388939	1185.33151701714
CP000393.1	6388944	6389414	744.3324441938499
CP000393.1	6739030	6739482	560.350143418829
CP000393.1	2716582	2717496	289.895960289164
CP000393.1	6396183	6398069	78.87976920172271
CP000393.1	6385521	6388331	1616.9934992211402
CP000393.1	2786301	2786687	177.533781528226
CP000393.1	271328	272389	4113.8185317198495
CP000393.1	5865822	5866112	23901.323595036898
CP000393.1	3608132	3609067	299.715461842964
CP000393.1	7273367	7274410	534.657883094499
CP000393.1	2537397	2538692	222.227122295793
CP000393.1	5792469	5793836	510.46467279307
CP000393.1	5793963	5799539	907.090462735576
CP000393.1	3217926	3219299	4517.4134011058895
CP000393.1	4720723	4721199	9.135931160085061
CP000393.1	6196641	6197117	1637.01236367542
